b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,63.71,64.65,63.01,64.44,11162
14-Sep-17,63.87,64.70,63.86,64.64,13549
13-Sep-17,64.90,64.90,63.86,64.77,6266
12-Sep-17,64.01,64.90,63.66,64.90,7644
11-Sep-17,64.01,64.83,63.52,64.19,5124
8-Sep-17,63.90,64.98,63.90,64.87,6521
7-Sep-17,65.25,65.25,64.10,64.25,4317
6-Sep-17,64.88,65.27,64.15,65.00,14030
5-Sep-17,64.75,65.42,64.10,64.69,14985
4-Sep-17,64.79,64.79,63.80,64.44,5796
1-Sep-17,63.50,64.80,63.50,64.80,7304
31-Aug-17,63.82,64.70,63.82,63.83,19828
30-Aug-17,64.69,64.95,63.75,63.75,41470
29-Aug-17,64.03,64.95,63.50,64.50,14629
28-Aug-17,62.20,64.00,62.20,64.00,13256
25-Aug-17,62.46,62.50,61.65,62.50,1902
24-Aug-17,61.02,62.50,61.02,62.50,5927
23-Aug-17,61.70,61.70,61.02,61.11,7077
22-Aug-17,61.90,62.00,61.50,61.72,5012
21-Aug-17,62.55,62.55,61.45,62.47,1580
18-Aug-17,61.50,61.96,61.50,61.96,4587
17-Aug-17,63.00,63.00,61.00,61.90,8791
16-Aug-17,63.11,63.77,62.89,63.77,3219
14-Aug-17,63.11,63.78,63.11,63.20,5361
11-Aug-17,63.11,63.50,63.11,63.30,7793
10-Aug-17,63.56,64.38,63.55,64.00,18895
9-Aug-17,64.00,64.50,63.50,63.55,7320
8-Aug-17,63.75,64.42,63.05,63.95,8110
7-Aug-17,64.00,64.64,63.15,63.76,38911
4-Aug-17,62.41,65.10,62.31,64.00,60252
3-Aug-17,61.90,62.73,61.90,62.73,8128
2-Aug-17,61.80,62.10,61.51,62.07,9567
1-Aug-17,62.00,62.46,61.89,61.90,10502
31-Jul-17,61.50,62.00,60.51,62.00,19920
28-Jul-17,61.55,62.00,61.55,61.80,5899
27-Jul-17,61.55,62.00,61.55,62.00,4807
26-Jul-17,61.60,62.20,61.60,61.95,5942
25-Jul-17,61.20,62.00,61.20,62.00,15627
24-Jul-17,61.40,62.00,61.10,62.00,3022
21-Jul-17,62.10,62.25,61.42,62.14,10351
20-Jul-17,62.15,63.00,62.00,62.40,5923
19-Jul-17,62.80,63.00,62.11,62.92,11668
18-Jul-17,62.55,62.88,62.07,62.87,12674
17-Jul-17,61.34,62.50,61.33,62.48,9527
14-Jul-17,62.45,62.45,62.10,62.25,48791
13-Jul-17,62.29,62.45,62.08,62.45,203177
12-Jul-17,62.19,62.50,61.90,62.25,10394
11-Jul-17,61.90,62.23,61.90,62.20,31193
10-Jul-17,62.20,62.30,62.17,62.24,115142
7-Jul-17,62.25,62.25,62.07,62.19,2652
6-Jul-17,61.82,62.25,61.69,62.10,4247
5-Jul-17,61.49,62.25,61.10,62.11,8610
4-Jul-17,61.25,61.25,60.90,61.01,17697
3-Jul-17,60.05,61.30,60.05,61.26,2913
30-Jun-17,60.10,61.20,59.80,60.50,21697
29-Jun-17,60.66,61.32,60.11,60.49,35472
28-Jun-17,62.01,62.24,60.10,61.92,18049
27-Jun-17,62.52,62.52,61.81,62.25,51592
26-Jun-17,62.86,62.87,62.61,62.85,7847
23-Jun-17,62.95,62.95,62.00,62.00,30184
22-Jun-17,62.39,62.87,62.22,62.80,13637
21-Jun-17,63.00,63.00,62.00,62.87,13697
20-Jun-17,62.90,62.99,62.26,62.87,26253
