b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,68.01,68.01,66.50,67.50,3768
14-Sep-17,68.35,68.35,66.01,68.08,4307
13-Sep-17,68.20,69.00,68.00,68.80,6089
12-Sep-17,66.89,68.80,65.00,68.20,12564
11-Sep-17,63.90,66.25,63.80,66.25,64098
8-Sep-17,62.00,63.39,62.00,63.30,647
7-Sep-17,63.50,63.50,60.10,62.00,6833
6-Sep-17,63.80,63.80,63.30,63.30,9036
5-Sep-17,63.79,63.99,63.30,63.88,4711
4-Sep-17,62.99,63.99,62.99,63.79,6572
1-Sep-17,62.00,63.27,62.00,63.27,11998
31-Aug-17,62.00,62.80,61.00,62.00,26999
30-Aug-17,59.50,61.50,59.40,61.50,7202
29-Aug-17,59.97,59.97,59.00,59.68,10193
28-Aug-17,60.00,60.00,59.00,59.00,7873
25-Aug-17,59.50,59.50,59.20,59.20,4056
24-Aug-17,59.50,59.50,59.02,59.35,4257
23-Aug-17,59.85,59.95,59.00,59.50,822
22-Aug-17,58.65,59.50,58.65,59.49,5989
21-Aug-17,57.95,59.87,57.40,58.49,8930
18-Aug-17,56.25,56.60,55.00,56.10,1372
17-Aug-17,57.99,57.99,56.11,57.00,279
16-Aug-17,58.00,58.00,56.01,58.00,1580
14-Aug-17,59.00,59.00,57.00,58.00,1002
11-Aug-17,59.30,59.30,56.00,58.00,354
10-Aug-17,59.50,59.50,56.55,58.00,979
9-Aug-17,59.82,59.82,56.01,57.50,4926
8-Aug-17,59.89,59.90,58.67,59.03,5242
7-Aug-17,59.94,59.94,58.03,59.94,2361
4-Aug-17,60.40,60.40,58.15,59.95,887
3-Aug-17,61.00,61.00,59.40,60.19,1444
2-Aug-17,61.50,61.50,60.00,60.95,4892
1-Aug-17,61.20,61.20,59.58,60.50,3206
31-Jul-17,61.00,61.50,58.50,60.99,5953
28-Jul-17,60.70,60.70,58.03,59.99,32899
27-Jul-17,56.25,59.80,56.25,59.80,8306
26-Jul-17,58.87,59.39,58.00,59.00,2074
25-Jul-17,57.80,59.89,57.70,58.89,4693
24-Jul-17,59.90,59.90,53.91,56.60,14705
21-Jul-17,61.10,61.30,58.50,60.00,2052
20-Jul-17,61.10,61.10,61.00,61.00,408
19-Jul-17,61.00,61.29,60.00,61.00,1269
18-Jul-17,61.49,61.49,59.60,60.00,678
17-Jul-17,60.90,61.00,59.55,61.00,981
14-Jul-17,60.99,61.00,59.50,60.89,440
13-Jul-17,61.00,61.00,60.00,60.99,177
12-Jul-17,61.00,61.00,60.50,60.50,709
11-Jul-17,62.00,62.38,60.00,60.10,1443
10-Jul-17,62.50,62.50,62.00,62.00,1480
7-Jul-17,59.90,61.27,59.90,61.27,254
6-Jul-17,60.49,60.49,59.10,59.89,800
5-Jul-17,61.65,61.65,59.50,59.50,1384
4-Jul-17,61.80,61.99,61.05,61.67,1269
3-Jul-17,60.97,62.00,60.97,61.77,3697
30-Jun-17,60.00,61.00,59.11,60.97,2509
29-Jun-17,59.50,60.00,59.00,60.00,383
28-Jun-17,59.50,60.00,59.00,59.20,747
27-Jun-17,59.98,59.98,59.00,59.00,106
26-Jun-17,60.00,60.00,57.60,59.98,795
23-Jun-17,60.00,60.00,59.00,59.97,378
22-Jun-17,59.00,60.80,58.51,59.50,6001
21-Jun-17,58.00,58.00,57.50,57.90,1246
20-Jun-17,61.00,61.00,57.50,57.50,6361
19-Jun-17,60.10,60.40,60.00,60.40,1540
16-Jun-17,60.00,60.88,60.00,60.50,574
14-Jun-17,59.00,60.60,58.43,60.40,11516
13-Jun-17,58.00,60.00,58.00,58.99,4882
12-Jun-17,58.87,58.98,55.01,57.90,1023
9-Jun-17,59.87,59.87,59.86,59.86,2
8-Jun-17,59.85,59.85,59.70,59.70,12
7-Jun-17,59.87,59.87,58.00,59.60,5237
6-Jun-17,59.87,59.87,58.00,59.80,910
5-Jun-17,58.67,59.80,58.66,59.00,616
2-Jun-17,58.99,58.99,57.75,57.85,186
1-Jun-17,56.99,59.30,56.99,58.70,1405
31-May-17,58.40,59.25,56.99,56.99,1857
30-May-17,57.19,58.40,54.65,58.40,2937
29-May-17,56.80,57.20,53.75,57.20,373
26-May-17,56.80,56.80,54.80,54.80,183
25-May-17,55.00,56.62,54.00,56.62,1130
24-May-17,55.00,55.00,54.98,54.98,19
23-May-17,55.00,55.00,54.06,55.00,532
22-May-17,55.00,55.00,54.00,55.00,249
19-May-17,51.50,55.00,51.45,55.00,455
18-May-17,52.80,53.00,51.50,51.50,385
17-May-17,55.00,55.00,50.00,52.00,2808
16-May-17,55.90,55.90,53.55,53.55,1132
