b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,37.50,37.99,37.42,37.99,916679
14-Sep-17,37.80,37.84,37.14,37.78,696158
13-Sep-17,37.85,38.10,37.52,37.90,501220
12-Sep-17,37.62,38.03,37.50,37.87,582375
11-Sep-17,36.33,37.50,36.33,37.50,1135146
8-Sep-17,36.15,36.40,36.15,36.33,97449
7-Sep-17,36.40,36.48,36.12,36.12,202425
6-Sep-17,36.17,36.45,36.17,36.40,215952
5-Sep-17,36.30,36.43,36.01,36.20,353965
4-Sep-17,36.57,36.57,36.13,36.30,150197
1-Sep-17,36.10,36.62,36.03,36.59,529906
31-Aug-17,35.70,36.00,35.70,36.00,563301
30-Aug-17,35.90,35.99,35.70,35.80,426544
29-Aug-17,35.95,35.95,35.50,35.72,99603
28-Aug-17,36.00,36.00,35.20,35.80,115322
25-Aug-17,35.70,36.00,35.61,36.00,936356
24-Aug-17,35.93,36.11,35.50,35.69,959925
23-Aug-17,35.52,36.18,35.52,35.93,1621548
22-Aug-17,33.30,35.70,33.30,35.38,1223639
21-Aug-17,34.30,34.32,33.53,34.00,790255
18-Aug-17,34.00,34.55,33.90,34.20,944805
17-Aug-17,35.61,35.85,34.02,34.02,1865021
16-Aug-17,35.92,35.98,35.77,35.85,934512
14-Aug-17,35.95,36.02,35.90,36.00,626480
11-Aug-17,35.95,35.98,35.85,35.95,502284
10-Aug-17,35.95,36.00,35.90,35.95,417177
9-Aug-17,35.98,36.00,35.90,36.00,752850
8-Aug-17,35.85,36.04,35.85,36.00,310689
7-Aug-17,36.20,36.20,35.81,35.81,1618302
4-Aug-17,36.10,36.35,36.00,36.20,579854
3-Aug-17,36.39,36.40,35.90,36.00,2876713
2-Aug-17,36.98,36.99,36.10,36.50,4984851
1-Aug-17,36.85,37.10,36.65,36.89,2170265
31-Jul-17,36.37,36.87,36.26,36.80,2882875
28-Jul-17,35.50,36.39,35.40,36.25,4035250
27-Jul-17,36.00,36.34,33.90,35.50,24385299
