b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.09,1.11,1.09,1.11,64100
14-Sep-17,1.09,1.09,1.09,1.09,100
13-Sep-17,-,-,-,1.09,0
12-Sep-17,1.07,1.09,1.05,1.09,9960
11-Sep-17,1.08,1.09,1.07,1.09,19881
8-Sep-17,1.11,1.15,1.09,1.10,17699
7-Sep-17,1.11,1.17,1.11,1.17,1020
6-Sep-17,1.15,1.15,1.10,1.15,4665
5-Sep-17,1.14,1.15,1.12,1.15,3150
4-Sep-17,1.15,1.15,1.14,1.15,3886
1-Sep-17,1.14,1.15,1.14,1.15,874
31-Aug-17,1.15,1.15,1.15,1.15,957
30-Aug-17,-,-,-,1.15,0
29-Aug-17,1.15,1.15,1.15,1.15,3600
28-Aug-17,1.15,1.15,1.13,1.15,15564
25-Aug-17,1.14,1.15,1.11,1.15,41800
24-Aug-17,1.14,1.17,1.14,1.17,44175
23-Aug-17,1.14,1.17,1.13,1.13,13655
22-Aug-17,1.13,1.13,1.13,1.13,1019
21-Aug-17,1.15,1.15,1.15,1.15,5600
18-Aug-17,1.23,1.23,1.15,1.17,35038
17-Aug-17,1.12,1.23,1.12,1.23,34101
16-Aug-17,1.11,1.14,1.11,1.14,150
14-Aug-17,-,-,-,1.12,0
11-Aug-17,1.15,1.15,1.12,1.12,16868
10-Aug-17,1.15,1.15,1.15,1.15,1565
9-Aug-17,-,-,-,1.15,0
8-Aug-17,1.17,1.17,1.15,1.15,15501
7-Aug-17,-,-,-,1.15,0
4-Aug-17,1.18,1.18,1.14,1.15,74442
3-Aug-17,1.18,1.18,1.16,1.16,4332
2-Aug-17,1.16,1.18,1.16,1.18,10127
1-Aug-17,1.17,1.20,1.16,1.16,16681
31-Jul-17,1.20,1.20,1.17,1.20,11570
28-Jul-17,1.24,1.24,1.20,1.20,49500
27-Jul-17,1.27,1.27,1.25,1.27,3400
26-Jul-17,1.26,1.27,1.24,1.27,3702
25-Jul-17,1.27,1.27,1.24,1.26,16550
24-Jul-17,1.27,1.27,1.25,1.26,21450
21-Jul-17,1.27,1.28,1.25,1.25,30290
20-Jul-17,1.25,1.27,1.24,1.27,7774
19-Jul-17,1.33,1.36,1.24,1.30,63261
18-Jul-17,-,-,-,1.39,0
17-Jul-17,1.39,1.39,1.39,1.39,33
14-Jul-17,1.33,1.39,1.33,1.39,1360
13-Jul-17,-,-,-,1.39,0
12-Jul-17,1.39,1.39,1.33,1.39,60
11-Jul-17,1.33,1.39,1.33,1.39,3145
10-Jul-17,1.35,1.38,1.35,1.38,17170
7-Jul-17,1.40,1.41,1.34,1.40,6499
6-Jul-17,1.40,1.42,1.40,1.42,2110
5-Jul-17,-,-,-,1.42,0
4-Jul-17,1.40,1.42,1.39,1.42,4299
3-Jul-17,1.40,1.40,1.40,1.40,52
30-Jun-17,1.37,1.40,1.37,1.40,2144
29-Jun-17,1.37,1.38,1.37,1.37,2070
28-Jun-17,1.35,1.38,1.35,1.37,4226
27-Jun-17,1.38,1.38,1.35,1.35,1100
26-Jun-17,-,-,-,1.40,0
23-Jun-17,1.38,1.40,1.37,1.40,1621
22-Jun-17,1.39,1.39,1.38,1.38,2525
21-Jun-17,1.37,1.40,1.37,1.39,5909
20-Jun-17,-,-,-,1.40,0
19-Jun-17,-,-,-,1.40,0
16-Jun-17,-,-,-,1.40,0
14-Jun-17,-,-,-,1.40,0
13-Jun-17,1.37,1.40,1.35,1.40,545
12-Jun-17,1.41,1.41,1.37,1.40,1071
9-Jun-17,-,-,-,1.41,0
8-Jun-17,1.28,1.41,1.28,1.41,60
7-Jun-17,-,-,-,1.42,0
6-Jun-17,1.38,1.42,1.38,1.42,3001
5-Jun-17,1.39,1.42,1.39,1.39,5710
2-Jun-17,1.37,1.42,1.37,1.42,2001
1-Jun-17,1.37,1.37,1.37,1.37,2500
31-May-17,1.37,1.37,1.32,1.37,689
30-May-17,1.40,1.40,1.33,1.36,38132
29-May-17,1.43,1.44,1.41,1.44,16990
26-May-17,-,-,-,1.45,0
25-May-17,1.46,1.46,1.43,1.45,6904
24-May-17,1.46,1.46,1.44,1.46,35468
23-May-17,1.49,1.49,1.47,1.49,6010
22-May-17,1.44,1.48,1.44,1.47,1553
19-May-17,1.48,1.48,1.44,1.45,8783
18-May-17,1.45,1.48,1.44,1.48,3705
17-May-17,1.45,1.48,1.44,1.48,3010
16-May-17,1.48,1.48,1.48,1.48,2000
15-May-17,1.46,1.49,1.45,1.49,10800
12-May-17,1.49,1.49,1.45,1.49,11800
11-May-17,1.47,1.49,1.45,1.49,7950
10-May-17,1.45,1.49,1.45,1.45,6566
9-May-17,1.50,1.50,1.46,1.49,6050
8-May-17,-,-,-,1.49,0
5-May-17,1.49,1.49,1.49,1.49,8200
4-May-17,1.45,1.49,1.45,1.49,12389
2-May-17,1.46,1.46,1.46,1.46,2700
28-Apr-17,1.49,1.49,1.48,1.48,2999
27-Apr-17,1.49,1.49,1.49,1.49,19950
26-Apr-17,1.49,1.49,1.49,1.49,1000
25-Apr-17,1.50,1.50,1.45,1.49,7190
24-Apr-17,1.49,1.51,1.46,1.51,69090
21-Apr-17,1.48,1.48,1.44,1.48,3134
20-Apr-17,1.48,1.48,1.48,1.48,10475
19-Apr-17,1.45,1.48,1.43,1.48,18774
18-Apr-17,1.47,1.47,1.47,1.47,5000
13-Apr-17,1.52,1.52,1.47,1.52,10986
12-Apr-17,1.49,1.53,1.49,1.53,1800
11-Apr-17,1.49,1.49,1.49,1.49,7470
10-Apr-17,1.50,1.50,1.48,1.49,10456
7-Apr-17,1.48,1.50,1.48,1.50,1196
6-Apr-17,1.50,1.51,1.49,1.49,9520
5-Apr-17,1.48,1.51,1.48,1.51,5200
4-Apr-17,1.49,1.49,1.48,1.48,6500
3-Apr-17,1.52,1.52,1.51,1.51,266
31-Mar-17,1.49,1.49,1.48,1.49,6085
30-Mar-17,1.49,1.50,1.49,1.49,60785
29-Mar-17,1.50,1.52,1.47,1.47,42776
28-Mar-17,1.49,1.52,1.49,1.50,30524
27-Mar-17,1.50,1.50,1.48,1.48,27161
24-Mar-17,1.55,1.56,1.49,1.49,28427
23-Mar-17,1.53,1.57,1.51,1.53,43147
22-Mar-17,1.51,1.51,1.51,1.51,12400
21-Mar-17,1.54,1.57,1.54,1.55,18220
20-Mar-17,1.55,1.55,1.51,1.55,10452
17-Mar-17,1.50,1.53,1.46,1.53,21222
16-Mar-17,1.50,1.50,1.50,1.50,1160
15-Mar-17,1.50,1.50,1.45,1.50,20450
14-Mar-17,1.54,1.54,1.49,1.50,9485
