b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,9.65,9.80,8.77,9.80,194256
14-Sep-17,9.90,9.90,9.65,9.73,14541
13-Sep-17,9.70,9.92,9.60,9.90,43606
12-Sep-17,9.99,10.10,9.74,9.74,10792
11-Sep-17,10.15,10.18,9.83,9.98,29967
8-Sep-17,9.99,10.15,9.95,10.15,21414
7-Sep-17,10.00,10.05,9.82,9.99,50445
6-Sep-17,10.00,10.00,9.60,9.97,118267
5-Sep-17,10.01,10.18,10.00,10.00,13573
4-Sep-17,10.11,10.29,9.99,10.04,92352
1-Sep-17,10.25,10.37,10.19,10.29,37662
31-Aug-17,10.27,10.65,10.00,10.65,305998
30-Aug-17,10.37,10.37,10.03,10.34,137134
29-Aug-17,10.21,10.29,9.98,10.25,51402
28-Aug-17,10.45,10.45,10.16,10.33,42197
25-Aug-17,10.38,10.50,10.32,10.44,22735
24-Aug-17,10.35,10.60,10.19,10.40,81683
23-Aug-17,10.25,10.37,10.16,10.27,42230
22-Aug-17,10.36,10.36,10.20,10.29,18009
21-Aug-17,10.27,10.36,10.20,10.27,22251
18-Aug-17,10.10,10.37,10.08,10.30,36706
17-Aug-17,10.18,10.24,10.10,10.20,13827
16-Aug-17,10.18,10.20,10.03,10.18,14596
14-Aug-17,10.24,10.24,10.00,10.18,96939
11-Aug-17,9.99,10.24,9.97,10.24,45317
10-Aug-17,10.18,10.20,10.04,10.10,8262
9-Aug-17,10.19,10.20,10.08,10.18,39639
8-Aug-17,10.27,10.30,10.00,10.19,12510
7-Aug-17,10.37,10.41,10.18,10.37,21750
4-Aug-17,10.20,10.37,10.20,10.37,18773
3-Aug-17,9.90,10.20,9.83,10.20,18241
2-Aug-17,10.12,10.15,9.90,9.95,25863
1-Aug-17,10.24,10.25,10.08,10.25,177397
31-Jul-17,10.13,10.24,9.91,10.24,11472
28-Jul-17,10.00,10.14,9.94,10.11,7115
27-Jul-17,10.18,10.18,9.62,10.00,146400
26-Jul-17,10.60,10.60,10.37,10.40,246415
25-Jul-17,10.32,10.69,10.32,10.60,38223
24-Jul-17,10.65,10.65,10.33,10.57,53090
21-Jul-17,10.53,10.75,10.52,10.65,31543
20-Jul-17,10.85,10.88,10.55,10.60,74663
19-Jul-17,10.59,10.89,10.51,10.80,106859
18-Jul-17,10.56,10.74,10.41,10.55,400828
17-Jul-17,9.99,10.42,9.96,10.40,149304
14-Jul-17,9.77,9.94,9.77,9.85,20735
13-Jul-17,9.66,9.87,9.53,9.84,52721
12-Jul-17,9.60,9.71,9.40,9.63,56804
11-Jul-17,9.50,9.64,9.36,9.60,32286
10-Jul-17,9.77,9.77,9.50,9.52,14896
7-Jul-17,9.68,9.76,9.52,9.73,16610
6-Jul-17,9.77,9.77,9.65,9.68,36310
5-Jul-17,9.67,9.80,9.65,9.65,116817
4-Jul-17,9.79,9.79,9.52,9.65,18393
3-Jul-17,9.82,9.89,9.79,9.79,7508
30-Jun-17,9.93,9.93,9.63,9.80,142279
29-Jun-17,9.88,9.97,9.70,9.86,197713
28-Jun-17,9.82,9.94,9.74,9.82,182226
27-Jun-17,9.60,9.84,9.53,9.84,208581
26-Jun-17,9.32,9.55,9.23,9.55,666391
23-Jun-17,9.28,9.35,9.20,9.34,12542
22-Jun-17,9.29,9.29,9.15,9.28,5444
21-Jun-17,9.29,9.35,9.20,9.27,13072
20-Jun-17,9.17,9.35,9.17,9.31,30513
19-Jun-17,9.10,9.17,9.00,9.17,25346
16-Jun-17,8.99,9.12,8.99,9.10,4589
14-Jun-17,9.00,9.10,9.00,9.10,16938
13-Jun-17,8.97,9.12,8.91,8.98,16843
12-Jun-17,9.12,9.12,8.97,8.97,33224
9-Jun-17,9.34,9.45,8.91,9.12,67789
8-Jun-17,9.40,9.50,9.27,9.34,18542
7-Jun-17,9.29,9.41,9.29,9.30,9499
6-Jun-17,9.28,9.30,9.09,9.20,8464
5-Jun-17,9.46,9.46,9.12,9.25,7654
2-Jun-17,9.50,9.50,9.23,9.36,23025
1-Jun-17,9.16,9.49,9.03,9.47,11537
31-May-17,9.12,9.34,9.10,9.16,27893
30-May-17,9.41,9.60,9.22,9.36,9386
29-May-17,9.71,9.74,9.40,9.49,14524
26-May-17,9.73,9.73,9.58,9.70,11061
25-May-17,9.62,9.74,9.60,9.70,37891
24-May-17,9.63,9.75,9.50,9.61,31414
23-May-17,9.51,9.76,9.42,9.60,34948
22-May-17,9.63,9.79,9.34,9.48,20711
19-May-17,9.34,9.65,9.31,9.64,68009
18-May-17,9.35,9.49,9.02,9.35,88640
17-May-17,9.58,9.70,9.34,9.45,146260
16-May-17,10.06,10.06,9.75,9.95,36931
15-May-17,10.27,10.29,9.92,10.00,68187
12-May-17,10.10,10.49,9.90,10.20,217934
11-May-17,9.13,10.38,9.12,10.10,474765
10-May-17,9.04,9.19,9.00,9.12,51633
9-May-17,9.04,9.04,8.93,9.00,26115
8-May-17,9.05,9.05,8.92,9.00,11609
5-May-17,8.90,9.05,8.86,8.97,40150
4-May-17,9.09,9.09,8.90,9.04,47823
2-May-17,9.09,9.09,8.90,9.05,28174
28-Apr-17,8.90,9.24,8.80,9.09,218052
27-Apr-17,8.70,9.13,8.61,8.84,222158
26-Apr-17,8.52,8.72,8.50,8.67,90800
25-Apr-17,8.50,8.60,8.41,8.51,26524
24-Apr-17,8.50,8.50,8.34,8.50,53008
21-Apr-17,8.42,8.55,8.42,8.50,51115
20-Apr-17,8.68,8.68,8.43,8.47,14970
19-Apr-17,8.69,8.69,8.59,8.68,17497
18-Apr-17,8.82,8.83,8.55,8.69,33994
13-Apr-17,8.85,8.91,8.70,8.72,11607
12-Apr-17,8.77,8.94,8.77,8.82,85708
11-Apr-17,8.77,8.88,8.61,8.74,91001
10-Apr-17,8.50,8.77,8.49,8.69,74115
7-Apr-17,8.30,8.49,8.30,8.47,50558
6-Apr-17,8.35,8.42,8.20,8.30,206570
5-Apr-17,8.25,8.42,8.25,8.37,54473
4-Apr-17,8.49,8.49,8.20,8.20,77239
3-Apr-17,8.18,8.52,8.17,8.49,45975
31-Mar-17,8.35,8.51,8.25,8.30,36236
30-Mar-17,8.40,8.55,8.31,8.50,68545
29-Mar-17,8.65,8.65,8.32,8.58,55859
28-Mar-17,8.62,8.68,8.37,8.65,48401
27-Mar-17,8.79,8.88,8.52,8.65,61049
24-Mar-17,8.69,8.91,8.60,8.78,57082
23-Mar-17,8.63,8.75,8.51,8.65,90087
22-Mar-17,8.10,8.60,7.90,8.60,143689
21-Mar-17,8.63,8.63,8.33,8.35,119513
20-Mar-17,8.70,8.87,8.50,8.64,272246
17-Mar-17,9.05,9.08,8.76,8.88,86666
16-Mar-17,9.09,9.30,8.92,9.00,70819
15-Mar-17,9.15,9.18,9.00,9.02,51532
14-Mar-17,9.05,9.29,9.00,9.14,232879
13-Mar-17,9.21,9.33,8.65,9.10,180592
10-Mar-17,9.45,9.65,9.10,9.21,175423
9-Mar-17,8.76,9.33,8.71,9.33,566415
8-Mar-17,8.93,9.00,8.74,8.75,98524
7-Mar-17,8.61,9.04,8.60,8.90,885696
6-Mar-17,8.32,8.60,8.32,8.50,123203
3-Mar-17,8.39,8.43,8.21,8.28,66469
2-Mar-17,8.30,8.32,8.21,8.27,69107
1-Mar-17,8.20,8.37,8.20,8.29,75844
28-Feb-17,8.40,8.42,8.16,8.19,246104
27-Feb-17,8.50,8.58,8.18,8.24,1009238
24-Feb-17,8.76,9.01,8.35,8.35,290881
23-Feb-17,8.39,9.12,8.32,8.66,150998
22-Feb-17,8.20,8.48,8.20,8.31,160342
21-Feb-17,8.20,8.29,8.18,8.20,49520
20-Feb-17,8.16,8.30,8.16,8.23,36774
17-Feb-17,8.39,8.39,8.15,8.21,65340
16-Feb-17,8.42,8.42,8.25,8.38,103846
15-Feb-17,8.37,8.56,8.32,8.45,46370
14-Feb-17,8.47,8.66,8.37,8.45,140254
13-Feb-17,8.48,8.78,8.40,8.50,222966
10-Feb-17,8.13,8.45,8.10,8.44,309714
9-Feb-17,7.90,8.10,7.85,8.10,70675
8-Feb-17,7.86,7.90,7.80,7.90,539771
7-Feb-17,7.86,7.86,7.79,7.83,7879
6-Feb-17,7.75,7.87,7.69,7.86,19766
3-Feb-17,7.70,7.90,7.70,7.75,24465
2-Feb-17,7.88,7.90,7.82,7.89,46143
1-Feb-17,7.67,7.90,7.65,7.88,38188
31-Jan-17,7.65,7.72,7.61,7.68,29793
30-Jan-17,7.69,7.78,7.56,7.67,59862
27-Jan-17,7.65,7.78,7.56,7.69,40103
26-Jan-17,7.90,7.90,7.30,7.65,290019
25-Jan-17,7.99,8.11,7.95,7.96,48338
24-Jan-17,7.99,7.99,7.88,7.96,171670
23-Jan-17,8.12,8.17,7.85,8.00,261697
20-Jan-17,8.25,8.25,8.15,8.17,40491
19-Jan-17,8.25,8.34,8.21,8.30,24159
18-Jan-17,8.24,8.39,8.18,8.39,40178
17-Jan-17,8.22,8.30,8.18,8.27,32907
16-Jan-17,8.30,8.30,8.20,8.30,18144
13-Jan-17,8.30,8.45,8.27,8.39,31161
12-Jan-17,8.17,8.47,8.15,8.25,59767
11-Jan-17,8.20,8.20,8.15,8.20,13893
10-Jan-17,8.20,8.20,8.15,8.20,34469
9-Jan-17,8.23,8.25,8.20,8.24,22345
5-Jan-17,8.30,8.30,8.21,8.26,27137
4-Jan-17,8.20,8.46,8.20,8.33,50753
3-Jan-17,8.20,8.47,8.20,8.35,69707
2-Jan-17,8.07,8.42,8.07,8.32,29144
30-Dec-16,8.16,8.17,8.08,8.11,50049
29-Dec-16,8.15,8.15,8.10,8.15,44209
28-Dec-16,8.15,8.15,8.03,8.13,44469
27-Dec-16,8.20,8.20,8.02,8.15,181274
23-Dec-16,8.13,8.20,8.03,8.20,47764
22-Dec-16,7.99,8.18,7.99,8.10,29722
21-Dec-16,8.20,8.20,7.88,8.00,112057
20-Dec-16,8.25,8.29,8.15,8.20,35847
19-Dec-16,8.27,8.34,8.27,8.27,47613
16-Dec-16,8.55,8.70,8.28,8.28,403522
15-Dec-16,8.94,8.94,8.65,8.66,312683
14-Dec-16,8.95,9.05,8.78,8.89,24557
13-Dec-16,8.84,9.00,8.81,8.99,21886
12-Dec-16,8.92,9.05,8.78,8.81,45117
9-Dec-16,8.92,9.09,8.92,8.95,122521
8-Dec-16,9.06,9.17,8.53,9.02,848730
7-Dec-16,8.30,8.99,8.30,8.99,77124
6-Dec-16,8.18,8.35,8.16,8.30,20527
5-Dec-16,8.39,8.39,8.12,8.17,51806
2-Dec-16,8.16,8.28,8.11,8.28,23158
1-Dec-16,8.23,8.23,8.11,8.22,8264
30-Nov-16,8.00,8.20,7.97,8.18,20169
29-Nov-16,7.95,8.10,7.95,8.02,11402
28-Nov-16,8.00,8.09,7.95,8.01,14055
25-Nov-16,8.11,8.11,7.99,8.01,21481
24-Nov-16,8.08,8.11,7.96,8.00,62983
23-Nov-16,8.20,8.24,8.01,8.08,9391
22-Nov-16,8.19,8.36,8.16,8.16,20806
21-Nov-16,7.97,8.37,7.97,8.06,28547
18-Nov-16,8.18,8.18,7.82,7.97,17665
17-Nov-16,8.06,8.14,7.75,7.99,23251
16-Nov-16,8.20,8.20,8.05,8.14,9513
15-Nov-16,8.15,8.45,8.03,8.29,25423
14-Nov-16,8.20,8.23,7.95,8.15,19938
10-Nov-16,8.40,8.59,8.12,8.12,19205
9-Nov-16,8.03,8.58,8.03,8.38,19183
8-Nov-16,8.40,8.44,8.22,8.40,14012
7-Nov-16,8.58,8.70,8.33,8.39,11304
4-Nov-16,8.80,8.80,8.48,8.77,31691
3-Nov-16,9.00,9.00,8.70,8.85,15975
2-Nov-16,8.95,9.10,8.78,8.92,17055
31-Oct-16,9.20,9.20,8.92,9.09,26148
28-Oct-16,9.24,9.36,9.15,9.15,13808
27-Oct-16,9.12,9.36,9.05,9.20,72636
26-Oct-16,8.70,9.10,8.70,9.10,25578
25-Oct-16,8.68,8.79,8.68,8.70,30672
24-Oct-16,8.78,8.78,8.65,8.68,28083
21-Oct-16,8.55,8.89,8.55,8.78,14451
20-Oct-16,8.62,8.64,8.52,8.60,11616
19-Oct-16,8.65,8.75,8.46,8.62,41036
18-Oct-16,8.90,8.96,8.63,8.65,41488
17-Oct-16,9.05,9.05,8.86,8.90,13555
14-Oct-16,9.00,9.06,8.90,8.98,5578
13-Oct-16,9.08,9.08,8.88,9.00,5545
12-Oct-16,8.85,9.15,8.68,9.00,25133
11-Oct-16,8.90,8.94,8.79,8.79,31716
10-Oct-16,9.02,9.02,8.70,8.72,44278
7-Oct-16,9.16,9.18,9.00,9.01,45200
6-Oct-16,9.07,9.18,9.05,9.17,8012
5-Oct-16,9.14,9.25,9.09,9.17,8995
4-Oct-16,9.48,9.48,9.25,9.30,8954
3-Oct-16,9.48,9.48,9.03,9.48,31397
30-Sep-16,9.37,9.66,9.30,9.48,77226
29-Sep-16,8.60,9.36,8.55,9.36,98117
28-Sep-16,8.40,8.58,8.26,8.50,30615
27-Sep-16,8.15,8.38,8.14,8.37,38752
26-Sep-16,8.00,8.15,7.97,8.13,40921
23-Sep-16,8.20,8.20,7.56,7.88,74540
22-Sep-16,8.28,8.43,8.14,8.15,350878
21-Sep-16,8.30,8.38,8.15,8.20,61025
20-Sep-16,8.45,8.53,8.10,8.30,29838
19-Sep-16,8.58,8.67,8.33,8.40,28042
