b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,-,-,-,13.00,0
14-Sep-17,-,-,-,13.00,0
13-Sep-17,-,-,-,13.00,0
12-Sep-17,-,-,-,13.00,0
11-Sep-17,-,-,-,13.00,0
8-Sep-17,13.31,13.31,12.70,13.00,2260
7-Sep-17,13.31,13.31,13.31,13.31,43
6-Sep-17,13.31,13.31,13.31,13.31,102
5-Sep-17,12.93,13.31,12.90,13.31,390
4-Sep-17,13.05,13.05,13.00,13.00,60
1-Sep-17,13.30,13.33,13.00,13.33,1291
31-Aug-17,13.64,13.64,13.30,13.30,100
30-Aug-17,13.55,13.55,13.55,13.55,20
29-Aug-17,13.50,13.50,13.50,13.50,1028
28-Aug-17,13.46,13.55,13.45,13.55,752
25-Aug-17,13.55,13.55,13.55,13.55,15
24-Aug-17,13.55,13.55,13.55,13.55,47
23-Aug-17,-,-,-,13.55,0
22-Aug-17,13.55,13.55,13.55,13.55,5
21-Aug-17,-,-,-,13.55,0
18-Aug-17,-,-,-,13.55,0
17-Aug-17,-,-,-,13.55,0
16-Aug-17,13.55,13.55,13.55,13.55,38
14-Aug-17,-,-,-,13.55,0
11-Aug-17,13.55,13.55,13.55,13.55,30
10-Aug-17,13.55,13.55,13.55,13.55,144
9-Aug-17,13.55,13.55,13.55,13.55,26
8-Aug-17,-,-,-,13.50,0
7-Aug-17,13.66,13.66,13.50,13.50,116
4-Aug-17,-,-,-,13.66,0
3-Aug-17,-,-,-,13.66,0
2-Aug-17,-,-,-,13.66,0
1-Aug-17,13.66,13.66,13.66,13.66,77
31-Jul-17,13.66,13.66,13.66,13.66,64
28-Jul-17,13.66,13.66,13.66,13.66,10
27-Jul-17,13.66,13.66,13.66,13.66,52
26-Jul-17,13.66,13.66,13.66,13.66,17
25-Jul-17,-,-,-,13.65,0
24-Jul-17,13.65,13.65,13.65,13.65,30
21-Jul-17,-,-,-,13.65,0
20-Jul-17,-,-,-,13.65,0
19-Jul-17,-,-,-,13.65,0
