b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,12.29,12.60,12.01,12.37,32015
14-Sep-17,12.28,12.28,11.20,12.00,52322
13-Sep-17,12.29,12.29,11.77,11.79,4860
12-Sep-17,11.99,12.30,11.99,12.29,5330
11-Sep-17,11.31,12.17,11.31,11.99,9148
8-Sep-17,11.70,11.70,11.40,11.40,5495
7-Sep-17,11.42,11.50,11.31,11.40,9664
6-Sep-17,11.70,11.70,11.50,11.50,994
5-Sep-17,11.10,11.70,11.10,11.70,5181
4-Sep-17,11.00,11.28,10.95,11.07,24405
1-Sep-17,11.32,11.61,11.30,11.30,22129
31-Aug-17,12.02,12.37,11.70,11.70,12068
30-Aug-17,12.01,12.60,12.01,12.38,705
29-Aug-17,12.20,12.65,12.01,12.65,2314
28-Aug-17,12.05,12.39,12.05,12.20,4353
25-Aug-17,11.95,12.05,11.85,12.05,19318
24-Aug-17,12.10,12.20,11.85,12.05,5973
23-Aug-17,12.40,12.40,12.10,12.20,7142
22-Aug-17,12.46,12.65,12.41,12.65,1088
21-Aug-17,12.45,12.90,12.45,12.50,1874
18-Aug-17,12.10,12.99,12.10,12.99,2401
17-Aug-17,12.09,12.45,12.09,12.45,327
16-Aug-17,12.46,12.72,12.30,12.40,3651
14-Aug-17,12.08,13.24,12.08,12.64,4349
11-Aug-17,12.20,12.34,12.05,12.10,3795
10-Aug-17,12.23,12.54,11.82,12.25,17556
9-Aug-17,13.25,13.25,12.22,12.50,4155
8-Aug-17,12.70,12.89,12.70,12.75,2786
7-Aug-17,12.90,12.90,12.65,12.70,3581
4-Aug-17,12.95,12.95,12.70,12.70,2934
3-Aug-17,13.35,13.37,12.94,12.95,2172
2-Aug-17,13.00,13.20,12.95,13.00,1685
1-Aug-17,13.20,13.97,12.94,12.94,11773
31-Jul-17,13.00,13.00,12.97,12.97,11487
28-Jul-17,13.00,13.00,12.95,12.99,31075
27-Jul-17,13.23,13.23,12.70,12.90,10777
26-Jul-17,13.11,13.15,12.90,13.00,24864
25-Jul-17,13.21,13.21,13.11,13.11,49556
24-Jul-17,13.30,13.40,13.10,13.23,52393
21-Jul-17,13.33,13.80,13.29,13.29,6446
20-Jul-17,13.27,13.55,12.77,13.29,17638
19-Jul-17,13.45,13.55,13.20,13.55,30303
18-Jul-17,13.99,13.99,13.30,13.30,3310
17-Jul-17,13.71,13.99,13.70,13.75,2496
14-Jul-17,13.85,14.00,13.85,14.00,1423
13-Jul-17,13.90,14.00,13.83,13.90,1866
12-Jul-17,13.88,14.05,13.88,13.95,1779
11-Jul-17,13.80,14.04,13.70,13.88,3324
10-Jul-17,13.56,14.45,13.56,13.86,1984
7-Jul-17,13.41,13.89,13.30,13.56,3221
6-Jul-17,14.00,14.00,12.70,13.71,6628
5-Jul-17,14.00,14.00,13.90,14.00,10980
4-Jul-17,14.30,14.30,13.80,13.80,3786
3-Jul-17,14.90,14.90,14.11,14.12,5700
30-Jun-17,14.90,14.90,14.65,14.90,2209
29-Jun-17,15.10,15.10,14.90,14.90,39970
28-Jun-17,15.05,15.69,15.05,15.15,1857
27-Jun-17,15.00,15.05,15.00,15.05,3510
26-Jun-17,14.94,15.00,14.94,15.00,7886
23-Jun-17,14.82,14.85,14.82,14.85,4106
22-Jun-17,14.84,14.84,14.83,14.83,619
21-Jun-17,14.79,14.85,14.70,14.84,2514
20-Jun-17,14.65,14.80,14.65,14.79,836
19-Jun-17,14.75,14.75,14.51,14.51,270
16-Jun-17,14.90,14.90,14.60,14.80,1481
14-Jun-17,14.85,14.94,14.60,14.60,991
13-Jun-17,14.90,14.90,14.60,14.60,390
12-Jun-17,14.60,14.90,14.45,14.90,3058
9-Jun-17,15.19,15.20,14.81,14.81,10219
8-Jun-17,15.20,15.20,15.00,15.19,6083
7-Jun-17,14.48,15.90,14.48,15.12,24076
6-Jun-17,14.34,14.35,14.25,14.35,12854
5-Jun-17,14.34,14.34,14.25,14.34,10655
2-Jun-17,14.45,14.45,14.25,14.35,6531
1-Jun-17,14.45,14.45,14.25,14.35,13607
31-May-17,14.45,14.45,14.35,14.45,3369
30-May-17,14.44,14.44,14.25,14.35,28315
29-May-17,14.16,14.45,14.16,14.45,18625
26-May-17,14.35,14.45,14.21,14.45,15895
25-May-17,14.35,14.40,14.28,14.40,11393
24-May-17,14.48,14.48,14.26,14.45,12385
23-May-17,14.80,14.80,14.10,14.48,16488
22-May-17,14.47,14.47,14.44,14.45,291
19-May-17,14.44,14.47,14.35,14.47,608
18-May-17,14.48,14.48,14.44,14.44,982
17-May-17,14.30,14.30,14.25,14.30,15052
16-May-17,14.11,14.29,14.05,14.25,41539
15-May-17,14.39,14.39,14.05,14.05,11106
12-May-17,14.30,14.30,14.20,14.25,2388
11-May-17,14.30,14.30,14.23,14.24,5509
10-May-17,14.39,14.39,14.30,14.30,14508
9-May-17,14.39,14.39,14.30,14.30,28726
8-May-17,14.20,14.39,14.20,14.39,1244
5-May-17,14.10,14.30,14.10,14.30,1928
4-May-17,14.35,14.35,14.05,14.29,8642
2-May-17,14.35,14.35,14.25,14.35,575
28-Apr-17,14.38,14.38,14.30,14.38,1747
27-Apr-17,14.39,14.39,14.20,14.38,4698
26-Apr-17,14.48,14.48,14.20,14.34,4314
25-Apr-17,14.48,14.48,14.22,14.40,7952
24-Apr-17,14.45,14.47,14.32,14.46,2364
21-Apr-17,14.36,14.48,14.22,14.45,9619
20-Apr-17,14.44,14.44,14.20,14.22,2528
19-Apr-17,14.45,14.45,14.20,14.44,2720
18-Apr-17,14.15,14.50,14.11,14.30,6910
13-Apr-17,14.30,14.95,14.00,14.20,259969
12-Apr-17,14.00,14.50,13.51,14.10,19295
11-Apr-17,15.00,15.00,14.75,14.75,1462
10-Apr-17,15.00,15.00,14.80,15.00,8850
7-Apr-17,14.90,14.93,14.55,14.71,2969
6-Apr-17,14.80,14.90,14.75,14.90,1760
5-Apr-17,14.70,14.80,14.60,14.80,856
4-Apr-17,14.60,14.60,14.35,14.60,1630
3-Apr-17,14.50,14.70,14.50,14.70,1618
31-Mar-17,14.48,14.48,14.25,14.45,632
30-Mar-17,14.30,14.49,14.30,14.40,1419
29-Mar-17,14.50,14.50,14.25,14.50,1285
28-Mar-17,14.89,14.89,14.33,14.50,5337
27-Mar-17,14.84,14.84,14.31,14.70,781
24-Mar-17,14.90,14.95,14.45,14.80,1580
23-Mar-17,14.26,14.94,14.26,14.65,1021
22-Mar-17,14.50,14.50,14.16,14.26,2159
21-Mar-17,14.16,14.87,14.16,14.45,2343
20-Mar-17,14.98,14.98,14.98,14.98,1
17-Mar-17,14.98,14.98,14.98,14.98,53
