b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,11.86,11.86,11.19,11.80,30308
14-Sep-17,12.15,12.16,11.85,11.86,6588
13-Sep-17,12.32,12.32,12.12,12.15,4005
12-Sep-17,12.55,12.55,11.97,12.20,6515
11-Sep-17,12.50,12.50,12.20,12.36,8102
8-Sep-17,12.20,12.64,11.70,12.06,27040
7-Sep-17,13.86,13.86,12.06,12.06,124250
6-Sep-17,13.90,14.10,13.90,14.00,14421
5-Sep-17,13.90,13.90,13.86,13.90,4750
4-Sep-17,13.85,13.98,13.74,13.90,9554
1-Sep-17,13.60,13.70,13.60,13.70,2995
31-Aug-17,13.50,13.54,13.48,13.54,1179
30-Aug-17,13.50,13.51,13.45,13.50,3850
29-Aug-17,13.65,13.69,13.49,13.51,3000
28-Aug-17,13.71,13.71,13.51,13.63,3463
25-Aug-17,13.70,13.70,13.51,13.60,2154
24-Aug-17,13.79,13.79,13.63,13.70,1738
23-Aug-17,13.69,13.87,13.60,13.70,4995
22-Aug-17,13.61,13.62,13.34,13.62,1295
21-Aug-17,13.53,13.84,13.23,13.48,3871
18-Aug-17,13.89,13.89,13.59,13.61,8735
17-Aug-17,13.90,13.90,13.87,13.89,2650
16-Aug-17,13.88,13.90,13.75,13.90,6287
14-Aug-17,13.70,13.90,13.70,13.88,1668
11-Aug-17,13.90,14.00,13.75,13.87,9651
10-Aug-17,13.85,13.88,13.66,13.86,14410
9-Aug-17,13.88,13.88,13.83,13.85,3388
8-Aug-17,13.88,13.88,13.83,13.88,1257
7-Aug-17,13.90,13.90,13.86,13.88,2968
4-Aug-17,13.90,13.90,13.82,13.90,1453
3-Aug-17,14.08,14.08,13.72,13.84,3750
2-Aug-17,13.90,14.03,13.85,14.00,11964
1-Aug-17,13.69,13.89,13.69,13.79,3563
31-Jul-17,13.71,13.79,13.63,13.79,1905
28-Jul-17,13.75,13.75,13.62,13.74,6088
27-Jul-17,13.90,13.90,13.75,13.85,5443
26-Jul-17,13.86,13.86,13.75,13.85,2174
25-Jul-17,13.92,13.92,13.83,13.85,3814
24-Jul-17,13.98,13.98,13.90,13.92,4163
21-Jul-17,13.99,13.99,13.85,13.90,6274
20-Jul-17,14.00,14.00,13.95,13.99,1277
19-Jul-17,14.00,14.00,13.90,14.00,511
18-Jul-17,14.00,14.00,13.95,13.99,586
