b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,6.40,6.49,6.36,6.46,239080
14-Sep-17,6.43,6.49,6.38,6.38,159929
13-Sep-17,6.53,6.60,6.40,6.49,373533
12-Sep-17,6.58,6.67,6.54,6.55,685680
11-Sep-17,6.30,6.63,6.30,6.52,578461
8-Sep-17,6.39,6.43,6.30,6.30,535287
7-Sep-17,6.46,6.47,6.38,6.39,423722
6-Sep-17,6.50,6.55,6.45,6.46,293674
5-Sep-17,6.59,6.60,6.51,6.51,291125
4-Sep-17,6.48,6.57,6.47,6.53,242009
1-Sep-17,6.47,6.62,6.40,6.55,954877
31-Aug-17,6.59,6.67,6.47,6.47,755398
30-Aug-17,6.76,6.82,6.55,6.61,673517
29-Aug-17,6.95,6.96,6.63,6.70,722954
28-Aug-17,6.85,7.04,6.70,6.97,1902370
25-Aug-17,6.69,6.73,6.57,6.58,333472
24-Aug-17,6.61,6.70,6.55,6.65,372223
23-Aug-17,6.44,6.84,6.44,6.57,1165089
22-Aug-17,6.32,6.44,6.22,6.40,316473
21-Aug-17,6.26,6.34,6.20,6.30,337643
18-Aug-17,6.28,6.42,6.20,6.24,538893
17-Aug-17,6.60,6.67,6.38,6.38,553656
16-Aug-17,6.66,6.74,6.60,6.60,358607
14-Aug-17,6.65,6.75,6.56,6.66,304133
11-Aug-17,6.62,6.83,6.60,6.61,595857
10-Aug-17,7.03,7.10,6.70,6.70,1282029
9-Aug-17,6.61,7.00,6.45,6.90,1284672
8-Aug-17,6.97,7.18,6.60,6.62,2777728
7-Aug-17,6.25,6.94,6.24,6.93,2257333
4-Aug-17,6.25,6.30,6.20,6.22,208465
3-Aug-17,6.14,6.34,6.14,6.25,406741
2-Aug-17,6.15,6.24,6.11,6.16,234577
1-Aug-17,6.19,6.24,6.13,6.15,249641
31-Jul-17,6.25,6.33,6.16,6.20,254760
28-Jul-17,6.15,6.30,6.14,6.27,268828
27-Jul-17,6.49,6.49,6.13,6.22,617152
26-Jul-17,6.13,6.49,6.10,6.46,1051251
25-Jul-17,6.20,6.22,6.10,6.11,444363
24-Jul-17,6.18,6.27,6.16,6.20,190951
21-Jul-17,6.17,6.30,6.17,6.17,148831
20-Jul-17,6.21,6.27,6.14,6.20,327453
19-Jul-17,6.43,6.47,6.17,6.28,452856
18-Jul-17,6.55,6.62,6.42,6.43,331866
17-Jul-17,6.53,6.67,6.40,6.54,667639
14-Jul-17,6.17,6.58,6.10,6.45,1367768
13-Jul-17,6.06,6.18,5.93,6.09,645048
12-Jul-17,6.17,6.28,6.01,6.05,615623
11-Jul-17,6.30,6.35,6.15,6.18,331987
10-Jul-17,6.38,6.42,6.29,6.30,205580
7-Jul-17,6.40,6.43,6.32,6.38,178943
