b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,47.80,47.89,47.38,47.89,2840697
14-Sep-17,47.85,47.96,47.59,47.63,845986
13-Sep-17,47.53,47.99,47.52,47.72,1298176
12-Sep-17,48.45,48.57,47.60,47.61,1730961
11-Sep-17,48.10,48.65,47.90,48.12,1984599
8-Sep-17,48.04,48.31,47.01,47.70,1298750
7-Sep-17,49.00,49.38,48.25,48.25,1984746
6-Sep-17,48.80,49.48,48.60,49.06,1467664
5-Sep-17,48.86,49.51,48.58,48.85,1018375
4-Sep-17,48.35,48.93,48.30,48.87,1128413
1-Sep-17,48.65,48.84,48.37,48.60,1135165
31-Aug-17,47.75,48.67,47.70,48.50,2207515
30-Aug-17,48.49,48.69,47.88,48.45,1744800
29-Aug-17,48.47,48.49,47.65,48.10,1808347
28-Aug-17,47.55,48.50,47.20,48.47,1598483
25-Aug-17,46.77,47.77,46.30,47.55,2265756
24-Aug-17,45.84,46.74,45.78,46.70,1838116
23-Aug-17,45.51,46.00,45.50,45.75,2200582
22-Aug-17,45.29,45.70,45.27,45.57,675004
21-Aug-17,44.75,45.19,44.50,45.00,942238
18-Aug-17,44.80,45.05,44.46,44.90,840801
17-Aug-17,45.55,45.88,44.86,44.95,2054612
16-Aug-17,45.67,46.43,45.67,45.75,1191624
14-Aug-17,45.79,46.18,45.54,45.66,942454
11-Aug-17,45.65,45.95,45.41,45.50,812601
10-Aug-17,46.51,46.75,45.71,46.14,1268003
9-Aug-17,46.50,46.77,46.02,46.51,1075584
8-Aug-17,45.72,46.85,45.72,46.84,2043494
7-Aug-17,45.83,46.07,45.69,45.80,1081679
4-Aug-17,46.20,46.45,45.51,45.95,1746366
3-Aug-17,44.78,46.30,44.58,46.20,2043200
2-Aug-17,44.09,44.79,44.02,44.79,1285208
1-Aug-17,44.29,44.45,43.85,44.00,2776555
31-Jul-17,44.50,44.70,44.05,44.29,2754835
28-Jul-17,44.30,44.63,44.20,44.50,1756725
27-Jul-17,44.38,44.75,44.00,44.30,1587994
26-Jul-17,44.60,45.10,44.32,44.32,2100451
25-Jul-17,44.60,44.65,44.22,44.43,2372885
24-Jul-17,45.00,45.57,44.45,44.45,1482164
21-Jul-17,45.50,46.08,44.93,45.39,1257927
20-Jul-17,44.90,45.67,44.71,45.50,2300278
19-Jul-17,44.40,44.94,44.39,44.80,1715646
18-Jul-17,44.17,44.66,44.11,44.29,1683806
17-Jul-17,44.28,44.94,44.01,44.19,1749798
14-Jul-17,44.40,44.48,43.89,44.20,1789614
13-Jul-17,44.00,44.50,43.95,44.39,2311269
12-Jul-17,44.15,44.15,43.83,43.97,3800261
11-Jul-17,44.00,44.15,43.30,44.15,3123824
10-Jul-17,44.30,44.85,43.61,43.95,1745244
7-Jul-17,44.41,44.58,43.93,44.00,1137050
6-Jul-17,44.33,44.97,44.14,44.58,1220078
5-Jul-17,44.32,44.68,44.15,44.44,1274438
4-Jul-17,44.98,45.00,44.12,44.15,413327
3-Jul-17,44.99,45.15,44.79,44.98,578056
30-Jun-17,45.65,45.65,44.59,44.59,1060049
29-Jun-17,45.60,46.00,44.68,45.59,1377671
28-Jun-17,45.83,46.00,45.26,45.60,2554840
27-Jun-17,45.20,46.10,45.20,45.97,1436999
26-Jun-17,44.89,45.47,44.89,45.30,1145240
23-Jun-17,44.30,44.78,44.07,44.76,1385860
22-Jun-17,44.23,44.48,44.05,44.30,1513284
21-Jun-17,44.31,44.67,43.93,44.23,2932080
20-Jun-17,44.79,45.00,44.49,44.60,1064994
19-Jun-17,44.52,45.08,44.10,44.60,2876725
16-Jun-17,44.10,44.46,43.68,44.35,3827706
14-Jun-17,44.85,45.10,43.96,44.15,2556538
13-Jun-17,44.86,45.41,44.80,45.25,2079529
12-Jun-17,45.11,45.40,44.63,45.00,1326912
9-Jun-17,45.54,45.63,45.00,45.45,1430871
8-Jun-17,44.50,45.75,44.30,45.53,1707216
7-Jun-17,44.75,44.99,44.31,44.35,1803954
6-Jun-17,44.00,44.70,43.92,44.42,1974343
5-Jun-17,44.66,45.15,43.96,44.20,1258882
2-Jun-17,44.71,45.01,44.60,44.95,2700932
1-Jun-17,44.12,44.70,43.70,44.49,1001071
31-May-17,44.10,44.79,43.55,44.33,5770547
30-May-17,45.48,45.48,44.14,44.15,3489085
29-May-17,45.92,46.10,45.55,45.99,472133
26-May-17,46.41,46.55,45.87,46.00,1222922
25-May-17,46.95,47.16,46.44,46.78,1049811
24-May-17,46.17,46.86,46.04,46.60,2704928
23-May-17,46.70,47.05,46.17,46.41,2117865
22-May-17,46.01,46.73,45.57,46.70,2597362
19-May-17,44.20,46.13,44.04,46.05,1994443
18-May-17,44.50,44.89,43.20,44.00,3151839
17-May-17,44.64,46.17,44.49,44.50,5148263
16-May-17,45.06,45.35,44.19,44.87,2161586
15-May-17,44.60,45.14,43.98,45.06,1686793
12-May-17,44.50,44.69,44.04,44.15,1340192
11-May-17,43.81,45.13,43.50,44.03,1320761
10-May-17,45.09,45.35,43.85,43.91,1218989
9-May-17,44.80,45.30,44.52,45.06,1661783
8-May-17,44.90,44.99,44.15,44.65,3258955
5-May-17,44.20,44.65,43.51,44.56,3214574
4-May-17,44.40,45.22,43.45,44.20,4155035
2-May-17,43.25,44.37,43.24,44.00,3062685
28-Apr-17,42.50,43.42,42.21,42.80,2406712
27-Apr-17,41.98,43.33,41.91,42.99,4835177
26-Apr-17,40.20,42.29,40.19,41.90,3880326
25-Apr-17,39.43,40.19,39.39,40.10,3016178
24-Apr-17,39.80,39.89,39.03,39.20,1343641
21-Apr-17,39.50,40.20,38.75,38.90,4856141
20-Apr-17,38.70,39.58,38.35,39.27,5279806
19-Apr-17,37.45,38.79,37.40,38.70,2749628
18-Apr-17,37.40,37.80,37.02,37.37,1194493
13-Apr-17,37.11,37.60,37.11,37.33,636903
12-Apr-17,37.90,38.03,37.15,37.15,1995777
11-Apr-17,37.41,38.17,37.35,37.90,4010624
10-Apr-17,37.45,37.72,37.24,37.60,1929298
7-Apr-17,36.76,37.45,36.55,37.45,2435919
6-Apr-17,36.24,36.94,36.10,36.94,1465423
5-Apr-17,36.00,36.55,35.95,36.38,1623617
4-Apr-17,35.15,35.88,35.15,35.80,1433007
3-Apr-17,35.11,35.55,35.02,35.44,1193417
31-Mar-17,35.51,35.96,34.61,34.80,1726788
30-Mar-17,35.70,36.04,35.09,35.79,2324412
29-Mar-17,36.19,36.30,35.33,35.53,1373507
28-Mar-17,35.40,35.95,35.40,35.83,1272706
27-Mar-17,35.67,35.67,34.85,35.20,1417890
24-Mar-17,36.60,36.77,35.81,35.95,2267181
23-Mar-17,36.70,37.12,36.12,36.31,7668011
22-Mar-17,36.70,38.00,35.95,38.00,2178242
21-Mar-17,37.56,38.17,36.95,37.05,1519817
20-Mar-17,38.00,38.17,37.27,37.67,994540
17-Mar-17,37.70,38.25,37.62,38.06,4206268
16-Mar-17,37.58,37.75,37.43,37.66,2485663
15-Mar-17,37.78,37.78,36.96,36.96,1919093
14-Mar-17,38.01,38.16,36.82,36.92,1801206
13-Mar-17,36.50,37.86,36.31,37.86,1818749
10-Mar-17,36.00,36.65,35.99,36.50,2194931
9-Mar-17,36.40,36.46,35.26,35.77,2524239
8-Mar-17,36.02,36.94,36.02,36.30,1186791
7-Mar-17,36.29,36.41,36.05,36.21,1784223
6-Mar-17,36.20,36.66,36.14,36.41,2451080
3-Mar-17,36.60,36.70,36.30,36.30,2570017
2-Mar-17,36.75,36.85,36.53,36.70,4213709
1-Mar-17,36.20,36.94,36.20,36.69,2661930
28-Feb-17,36.95,37.10,36.07,36.07,2549628
27-Feb-17,36.95,37.27,36.64,36.93,871566
24-Feb-17,37.50,37.70,36.84,36.95,1272190
23-Feb-17,38.00,38.06,37.41,37.50,1166786
22-Feb-17,37.96,38.14,37.75,38.10,1053427
21-Feb-17,37.01,37.94,37.01,37.92,1607436
20-Feb-17,37.27,37.27,36.95,37.23,606585
17-Feb-17,37.23,37.35,36.87,37.27,1707770
16-Feb-17,37.35,37.47,36.95,37.26,2041631
15-Feb-17,37.38,37.60,36.76,37.35,2103968
14-Feb-17,37.03,37.39,36.85,37.30,2812484
13-Feb-17,36.99,37.49,36.86,37.00,1039729
10-Feb-17,36.90,36.98,36.42,36.97,2009299
9-Feb-17,36.45,36.80,36.31,36.61,2511090
8-Feb-17,36.02,36.50,36.00,36.30,1435077
7-Feb-17,35.87,36.20,35.70,36.01,2226742
6-Feb-17,35.90,35.95,35.60,35.89,801245
3-Feb-17,35.35,35.75,35.25,35.75,1268276
2-Feb-17,35.50,35.71,35.26,35.40,967846
1-Feb-17,35.34,35.68,35.34,35.50,1437549
31-Jan-17,35.10,35.43,35.00,35.20,1524313
30-Jan-17,35.40,35.41,35.00,35.15,1129482
27-Jan-17,35.41,35.63,35.21,35.40,1091132
26-Jan-17,35.80,35.97,35.33,35.50,1699959
25-Jan-17,34.75,35.76,34.75,35.70,2609292
24-Jan-17,34.59,34.78,34.41,34.75,1465979
23-Jan-17,34.51,34.86,34.33,34.64,399388
20-Jan-17,34.33,34.88,34.31,34.69,2421375
19-Jan-17,34.15,34.64,34.12,34.33,931586
18-Jan-17,34.80,34.85,34.11,34.30,1346383
17-Jan-17,34.81,35.20,34.41,34.41,1871889
16-Jan-17,33.71,34.99,33.67,34.98,2066151
13-Jan-17,33.67,34.03,33.33,33.62,1398475
12-Jan-17,34.30,34.46,33.70,33.70,1782396
11-Jan-17,34.30,34.50,34.05,34.50,1861260
10-Jan-17,33.76,34.39,33.71,34.30,2297644
9-Jan-17,32.87,33.75,32.56,33.75,3373415
5-Jan-17,33.17,33.35,32.80,32.82,2869504
4-Jan-17,33.85,34.10,33.10,33.17,2779327
3-Jan-17,33.33,33.88,33.18,33.82,2078785
2-Jan-17,33.42,33.45,32.88,33.30,574007
30-Dec-16,33.30,33.89,33.16,33.21,1698009
29-Dec-16,32.39,33.20,32.35,33.18,2786456
28-Dec-16,32.45,32.85,32.39,32.39,1499790
27-Dec-16,32.70,32.80,32.41,32.45,473267
23-Dec-16,33.00,33.10,32.51,32.60,629980
22-Dec-16,32.51,33.05,32.45,32.86,1870684
21-Dec-16,33.16,33.19,32.50,32.54,1085858
20-Dec-16,33.13,33.43,33.07,33.10,1503563
19-Dec-16,32.62,33.34,32.37,33.00,1860110
16-Dec-16,32.80,33.10,32.31,33.00,3858494
15-Dec-16,32.85,32.97,32.43,32.81,1760561
14-Dec-16,31.95,33.05,31.85,32.86,4703713
13-Dec-16,31.55,32.47,31.36,31.88,3403927
12-Dec-16,32.18,32.19,31.20,31.50,2398798
9-Dec-16,32.70,32.70,31.04,32.00,4957827
8-Dec-16,31.90,33.51,31.50,32.24,10491645
7-Dec-16,30.30,31.42,30.17,31.41,5906544
6-Dec-16,29.83,30.39,29.61,30.32,2029149
5-Dec-16,29.25,29.82,29.07,29.82,1091903
2-Dec-16,29.28,29.28,28.89,29.14,2546313
1-Dec-16,29.68,29.74,29.26,29.26,3465513
30-Nov-16,29.35,29.85,29.35,29.57,6775093
29-Nov-16,29.00,29.28,28.82,29.28,1933955
28-Nov-16,29.12,29.25,28.83,29.00,2437205
25-Nov-16,28.84,29.16,28.68,29.16,2680693
24-Nov-16,28.75,28.95,28.52,28.74,974398
23-Nov-16,28.80,28.94,28.42,28.66,1732034
22-Nov-16,28.76,29.02,28.50,28.81,3728725
21-Nov-16,27.86,29.35,27.86,28.56,6171325
18-Nov-16,27.91,28.10,27.41,27.80,1888653
17-Nov-16,27.37,28.10,27.23,27.92,3236974
16-Nov-16,27.30,27.44,27.05,27.21,2832542
15-Nov-16,27.51,27.78,27.02,27.25,2565442
14-Nov-16,27.90,28.28,27.63,27.63,5879556
10-Nov-16,27.68,28.38,27.51,28.00,4136520
9-Nov-16,26.60,27.42,26.56,27.39,2563045
8-Nov-16,27.44,27.63,27.28,27.40,1417208
7-Nov-16,27.67,27.67,27.22,27.28,1497645
4-Nov-16,27.20,27.36,27.02,27.26,1483181
3-Nov-16,26.99,27.36,26.69,27.25,3750914
2-Nov-16,26.86,27.26,26.56,27.00,5854341
31-Oct-16,27.59,27.88,26.75,27.24,3141014
28-Oct-16,27.00,27.60,26.78,27.60,3584418
27-Oct-16,26.14,27.00,26.01,27.00,3448233
26-Oct-16,26.00,26.24,25.93,26.19,1794359
25-Oct-16,26.15,26.25,25.93,25.93,1957974
24-Oct-16,26.19,26.34,26.01,26.01,1887744
21-Oct-16,26.26,26.31,25.91,25.94,2476860
