b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.30,1.64,1.29,1.62,1515968
14-Sep-17,1.30,1.30,1.28,1.29,31727
13-Sep-17,1.32,1.32,1.29,1.30,14030
12-Sep-17,1.32,1.33,1.29,1.29,56881
11-Sep-17,1.30,1.35,1.28,1.28,112633
8-Sep-17,1.26,1.34,1.26,1.32,225995
7-Sep-17,1.30,1.30,1.23,1.30,30164
6-Sep-17,1.31,1.31,1.27,1.29,39079
5-Sep-17,1.33,1.34,1.29,1.29,104687
4-Sep-17,1.27,1.31,1.27,1.31,41819
1-Sep-17,1.30,1.32,1.24,1.26,70676
31-Aug-17,1.33,1.36,1.27,1.27,69124
30-Aug-17,1.37,1.39,1.32,1.32,57832
29-Aug-17,1.33,1.37,1.33,1.37,23414
28-Aug-17,1.37,1.37,1.33,1.33,90242
25-Aug-17,1.43,1.45,1.37,1.38,257584
24-Aug-17,1.51,1.66,1.50,1.54,315199
23-Aug-17,1.46,1.49,1.44,1.46,16124
22-Aug-17,1.45,1.48,1.45,1.48,40497
21-Aug-17,1.48,1.48,1.43,1.46,8384
18-Aug-17,1.43,1.48,1.43,1.48,29938
17-Aug-17,1.43,1.47,1.42,1.43,21361
16-Aug-17,1.46,1.48,1.40,1.47,32947
14-Aug-17,1.51,1.59,1.40,1.41,92630
11-Aug-17,1.40,1.54,1.36,1.45,118875
10-Aug-17,1.43,1.46,1.37,1.39,61081
9-Aug-17,1.42,1.42,1.35,1.40,69003
8-Aug-17,1.51,1.51,1.36,1.41,129912
7-Aug-17,1.59,1.59,1.49,1.50,92772
4-Aug-17,1.58,1.59,1.55,1.56,53711
3-Aug-17,1.59,1.59,1.55,1.55,14355
2-Aug-17,1.56,1.59,1.55,1.59,13171
1-Aug-17,1.54,1.59,1.54,1.56,27945
31-Jul-17,1.57,1.59,1.52,1.58,72405
28-Jul-17,1.56,1.57,1.54,1.57,9791
27-Jul-17,1.60,1.63,1.50,1.56,61185
26-Jul-17,1.60,1.60,1.55,1.59,10637
25-Jul-17,1.61,1.63,1.55,1.55,44509
24-Jul-17,1.58,1.72,1.53,1.59,178415
21-Jul-17,1.55,1.59,1.54,1.57,25081
20-Jul-17,1.60,1.60,1.52,1.52,71452
19-Jul-17,1.60,1.61,1.54,1.56,139793
18-Jul-17,1.63,1.63,1.58,1.60,195739
17-Jul-17,1.54,1.70,1.50,1.62,233185
14-Jul-17,1.90,1.90,1.54,1.54,498093
13-Jul-17,2.12,2.12,1.85,1.90,363174
12-Jul-17,1.97,2.22,1.96,2.15,402425
11-Jul-17,2.13,2.13,1.92,1.96,157628
10-Jul-17,2.12,2.18,2.05,2.14,43108
7-Jul-17,2.13,2.13,1.95,2.11,401475
6-Jul-17,2.21,2.23,2.01,2.09,139671
5-Jul-17,2.43,2.44,2.13,2.15,154752
4-Jul-17,2.60,2.60,2.40,2.45,38909
3-Jul-17,2.56,2.62,2.56,2.60,3452
30-Jun-17,2.54,2.56,2.50,2.55,13619
29-Jun-17,2.57,2.62,2.54,2.54,24452
28-Jun-17,2.59,2.60,2.53,2.53,41323
27-Jun-17,2.65,2.65,2.54,2.63,15504
26-Jun-17,2.64,2.73,2.59,2.61,82841
23-Jun-17,2.57,2.68,2.50,2.52,71026
22-Jun-17,2.71,2.71,2.53,2.55,42817
21-Jun-17,2.80,2.84,2.64,2.71,49541
20-Jun-17,2.87,2.94,2.74,2.80,42403
19-Jun-17,2.88,3.03,2.66,2.85,162914
16-Jun-17,2.42,2.92,2.42,2.76,150050
14-Jun-17,2.45,2.45,2.39,2.39,8659
13-Jun-17,2.40,2.44,2.36,2.40,150256
12-Jun-17,2.80,2.80,2.32,2.32,369635
9-Jun-17,3.05,3.14,2.50,2.50,361438
8-Jun-17,3.16,3.16,3.04,3.07,18480
7-Jun-17,3.05,3.21,3.05,3.06,6998
6-Jun-17,3.15,3.15,3.07,3.09,79626
5-Jun-17,3.21,3.23,3.14,3.20,15353
2-Jun-17,3.29,3.30,3.23,3.25,5458
1-Jun-17,3.29,3.30,3.27,3.29,12222
31-May-17,3.30,3.35,3.27,3.28,8137
30-May-17,3.33,3.35,3.25,3.35,5481
29-May-17,3.31,3.33,3.26,3.33,5770
26-May-17,3.39,3.39,3.24,3.24,51410
25-May-17,3.41,3.42,3.41,3.42,4955
24-May-17,3.48,3.48,3.40,3.40,11170
23-May-17,3.43,3.48,3.43,3.47,6478
22-May-17,3.40,3.45,3.40,3.43,4977
19-May-17,3.38,3.39,3.36,3.39,7690
18-May-17,3.30,3.38,3.24,3.38,24583
17-May-17,3.44,3.44,3.28,3.28,15828
16-May-17,3.45,3.46,3.43,3.44,26133
15-May-17,3.33,3.45,3.33,3.40,24859
12-May-17,3.34,3.34,3.27,3.33,42028
11-May-17,3.28,3.36,3.25,3.33,27331
10-May-17,3.30,3.35,3.28,3.28,25266
9-May-17,3.42,3.42,3.31,3.32,8687
8-May-17,3.22,3.45,3.21,3.40,49326
5-May-17,3.08,3.28,3.05,3.22,41925
4-May-17,3.14,3.18,3.06,3.08,51564
2-May-17,3.10,3.14,3.05,3.14,22791
28-Apr-17,3.13,3.15,3.09,3.14,33659
27-Apr-17,3.12,3.27,3.09,3.10,152138
26-Apr-17,3.38,3.38,2.75,3.10,493353
25-Apr-17,4.70,4.70,3.35,3.35,646620
24-Apr-17,5.28,5.30,5.20,5.25,8070
21-Apr-17,5.64,5.64,5.33,5.45,28099
20-Apr-17,5.87,5.87,5.67,5.67,15163
19-Apr-17,5.95,5.95,5.81,5.87,6686
18-Apr-17,6.07,6.30,5.81,5.95,14772
13-Apr-17,6.19,6.40,6.05,6.12,14630
12-Apr-17,6.30,6.30,6.19,6.19,2261
11-Apr-17,6.50,6.50,6.35,6.35,1641
