b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,16.06,17.35,16.00,17.35,822
14-Sep-17,17.04,17.30,16.00,16.06,2197
13-Sep-17,18.00,18.00,17.00,17.02,761
12-Sep-17,17.80,18.40,17.50,18.00,967
11-Sep-17,-,-,-,18.00,0
8-Sep-17,18.16,18.16,17.50,18.00,161
7-Sep-17,18.30,18.30,17.90,18.30,63
6-Sep-17,18.48,18.48,17.80,18.30,110
5-Sep-17,18.43,18.85,17.65,18.56,4234
4-Sep-17,17.53,18.45,17.45,18.45,1055
1-Sep-17,17.10,17.53,17.10,17.53,1156
31-Aug-17,17.70,17.70,17.10,17.10,893
30-Aug-17,18.58,18.58,17.00,17.00,1366
29-Aug-17,19.70,19.74,18.00,19.00,2539
28-Aug-17,22.05,22.10,19.51,19.80,6235
25-Aug-17,22.00,22.80,21.01,22.05,600
24-Aug-17,24.90,24.90,22.42,23.43,3028
23-Aug-17,25.50,25.50,24.49,24.95,4501
22-Aug-17,25.55,25.55,25.50,25.50,1464
21-Aug-17,25.30,25.55,24.83,25.55,2342
18-Aug-17,24.24,25.00,24.24,25.00,3661
17-Aug-17,24.70,24.83,24.70,24.83,441
16-Aug-17,24.00,24.83,24.00,24.70,604
14-Aug-17,24.79,25.68,23.80,23.80,3731
11-Aug-17,22.90,24.99,22.51,24.79,618
10-Aug-17,25.70,25.75,23.00,23.00,5115
9-Aug-17,25.46,25.70,25.32,25.65,1090
8-Aug-17,25.00,25.55,25.00,25.55,1113
7-Aug-17,24.90,25.41,24.20,25.20,2416
4-Aug-17,24.80,25.00,24.70,24.90,1729
3-Aug-17,23.62,25.00,23.15,24.75,1704
2-Aug-17,22.50,24.70,22.50,24.00,3220
1-Aug-17,22.80,22.80,22.40,22.80,301
31-Jul-17,21.89,22.80,21.80,22.80,860
28-Jul-17,20.89,22.80,20.89,22.78,2062
27-Jul-17,20.75,22.80,19.75,22.80,4550
26-Jul-17,20.73,20.75,19.75,20.75,2622
25-Jul-17,20.50,20.73,19.75,20.73,1544
24-Jul-17,19.74,20.50,19.60,20.50,3332
21-Jul-17,20.00,20.00,19.40,19.74,854
20-Jul-17,19.26,20.00,19.26,20.00,1141
19-Jul-17,18.51,19.40,18.30,19.26,1260
18-Jul-17,19.50,19.50,19.00,19.00,117
17-Jul-17,19.30,19.50,18.40,19.50,1244
14-Jul-17,18.45,19.00,18.10,18.70,905
13-Jul-17,18.37,18.37,18.05,18.30,241
12-Jul-17,18.11,18.15,17.50,18.15,575
11-Jul-17,17.30,18.20,16.70,18.00,6213
10-Jul-17,17.05,17.70,17.00,17.59,457
7-Jul-17,17.05,17.05,17.04,17.05,137
6-Jul-17,17.06,17.06,16.90,17.04,456
5-Jul-17,17.06,17.06,17.06,17.06,50
4-Jul-17,17.00,17.06,17.00,17.06,235
3-Jul-17,17.16,17.16,16.35,17.13,1823
30-Jun-17,16.85,17.80,16.85,17.80,387
29-Jun-17,16.03,16.85,16.03,16.85,590
28-Jun-17,15.60,16.20,15.60,16.20,397
27-Jun-17,15.75,15.75,15.60,15.60,968
26-Jun-17,16.00,16.00,15.40,15.60,1465
23-Jun-17,15.90,16.00,15.90,16.00,83
22-Jun-17,15.90,15.90,15.80,15.90,88
21-Jun-17,15.90,15.90,15.40,15.90,105
20-Jun-17,15.75,15.90,15.75,15.90,54
19-Jun-17,15.75,16.00,15.60,16.00,731
16-Jun-17,15.50,15.75,15.50,15.75,300
14-Jun-17,15.50,15.50,15.15,15.50,257
13-Jun-17,15.70,15.75,15.50,15.50,202
12-Jun-17,17.60,17.60,15.50,15.70,2300
9-Jun-17,18.30,18.30,17.00,17.10,738
8-Jun-17,18.00,19.30,18.00,18.50,796
7-Jun-17,17.50,18.00,17.15,18.00,990
6-Jun-17,16.63,17.50,16.63,17.50,1092
5-Jun-17,15.91,17.50,15.40,17.20,1233
2-Jun-17,15.50,16.04,14.81,15.32,3044
1-Jun-17,14.80,15.37,14.80,15.37,2535
31-May-17,15.01,15.01,14.43,14.80,1356
30-May-17,14.00,15.10,14.00,15.01,2410
29-May-17,14.00,14.04,14.00,14.04,700
26-May-17,14.00,14.00,14.00,14.00,5
25-May-17,14.35,14.35,14.01,14.01,622
24-May-17,15.20,15.20,14.48,14.48,545
23-May-17,15.20,15.20,15.20,15.20,9
22-May-17,15.55,15.55,14.79,14.79,1227
19-May-17,15.60,15.60,15.58,15.58,6
18-May-17,14.40,14.40,14.40,14.40,268
17-May-17,13.75,15.04,13.10,14.40,825
16-May-17,12.80,15.00,12.60,15.00,3784
15-May-17,13.44,13.44,12.80,12.80,220
12-May-17,-,-,-,13.75,0
11-May-17,13.40,13.75,13.10,13.75,720
10-May-17,-,-,-,13.75,0
9-May-17,13.75,13.75,13.75,13.75,90
8-May-17,13.86,13.86,13.20,13.86,543
5-May-17,-,-,-,13.86,0
4-May-17,13.80,13.86,13.80,13.86,160
2-May-17,13.69,13.86,13.20,13.86,618
28-Apr-17,13.53,13.53,13.53,13.53,11
27-Apr-17,13.80,13.86,13.20,13.86,554
26-Apr-17,13.53,13.54,13.53,13.54,461
