b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,5.03,5.07,4.93,4.94,32265
14-Sep-17,5.00,5.07,4.91,5.03,94725
13-Sep-17,5.12,5.12,4.97,4.97,142060
12-Sep-17,5.25,5.30,4.89,5.04,358267
11-Sep-17,5.60,5.63,5.15,5.18,498204
8-Sep-17,5.90,5.90,5.65,5.65,80854
7-Sep-17,5.83,5.94,5.82,5.87,21290
6-Sep-17,5.81,5.90,5.80,5.83,14459
5-Sep-17,5.91,5.95,5.83,5.86,29902
4-Sep-17,5.91,5.91,5.80,5.89,29392
1-Sep-17,5.80,5.91,5.80,5.90,11294
31-Aug-17,5.90,5.93,5.77,5.82,44695
30-Aug-17,5.99,5.99,5.88,5.90,96210
29-Aug-17,6.00,6.00,5.90,5.97,11318
28-Aug-17,6.00,6.09,5.90,6.00,43761
25-Aug-17,5.91,6.20,5.89,5.98,103760
24-Aug-17,5.93,5.93,5.85,5.89,27936
23-Aug-17,5.94,5.94,5.85,5.88,14258
22-Aug-17,5.92,5.95,5.80,5.94,24370
21-Aug-17,5.90,5.97,5.84,5.90,18946
18-Aug-17,5.90,5.95,5.82,5.90,13015
17-Aug-17,6.00,6.00,5.81,5.90,33852
16-Aug-17,5.74,6.10,5.66,5.94,136364
14-Aug-17,5.79,5.80,5.65,5.70,53700
11-Aug-17,5.85,5.95,5.77,5.83,35414
10-Aug-17,5.97,5.99,5.80,5.82,38670
9-Aug-17,5.99,5.99,5.80,5.86,85732
8-Aug-17,6.19,6.19,5.88,5.95,62595
7-Aug-17,6.03,6.18,5.98,6.05,57951
4-Aug-17,5.93,6.24,5.90,5.97,96032
3-Aug-17,5.96,5.96,5.85,5.87,193170
2-Aug-17,5.81,5.90,5.81,5.82,96004
1-Aug-17,6.20,6.20,5.83,5.83,183526
31-Jul-17,6.41,6.41,6.07,6.18,90593
28-Jul-17,6.45,6.68,6.21,6.28,193639
27-Jul-17,7.58,7.58,6.15,6.38,683185
26-Jul-17,7.64,7.70,7.55,7.70,38111
25-Jul-17,7.52,7.68,7.52,7.65,33886
24-Jul-17,7.53,7.65,7.40,7.65,10801
21-Jul-17,7.40,7.54,7.12,7.53,54427
20-Jul-17,7.70,7.83,7.35,7.39,48369
19-Jul-17,8.05,8.05,7.69,7.74,45051
18-Jul-17,8.14,8.14,7.70,8.05,34527
17-Jul-17,7.97,8.12,7.95,8.12,26988
14-Jul-17,8.11,8.12,8.01,8.06,204154
13-Jul-17,8.09,8.13,7.96,8.12,31396
12-Jul-17,7.94,8.09,7.93,8.05,31113
11-Jul-17,8.00,8.00,7.75,7.84,12089
10-Jul-17,8.08,8.08,7.90,8.00,3512
7-Jul-17,8.08,8.08,7.90,7.93,18352
6-Jul-17,8.20,8.20,8.06,8.07,58965
5-Jul-17,8.20,8.27,8.11,8.20,42409
4-Jul-17,8.20,8.22,8.11,8.20,36176
3-Jul-17,8.08,8.25,8.00,8.20,135638
30-Jun-17,8.00,8.09,8.00,8.02,22555
29-Jun-17,8.05,8.05,8.00,8.05,43529
28-Jun-17,8.05,8.05,7.94,8.00,23052
27-Jun-17,7.94,8.05,7.90,8.00,81723
26-Jun-17,7.95,7.98,7.86,7.95,94833
23-Jun-17,7.96,7.96,7.87,7.95,4069
22-Jun-17,7.94,7.97,7.94,7.95,21990
21-Jun-17,7.91,7.95,7.90,7.90,32275
20-Jun-17,7.90,7.91,7.80,7.91,12439
19-Jun-17,7.85,7.90,7.70,7.90,54250
16-Jun-17,7.91,7.91,7.75,7.85,652
14-Jun-17,7.63,7.91,7.63,7.89,20083
13-Jun-17,7.84,7.87,7.53,7.80,31829
12-Jun-17,7.89,7.89,7.45,7.70,76777
9-Jun-17,7.95,7.95,7.77,7.89,6402
