b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.68,1.70,1.65,1.69,63749
14-Sep-17,1.69,1.71,1.65,1.65,15916
13-Sep-17,1.75,1.75,1.65,1.69,120395
12-Sep-17,1.72,1.75,1.70,1.70,7663
11-Sep-17,1.71,1.77,1.71,1.77,10504
8-Sep-17,1.75,1.76,1.70,1.76,6385
7-Sep-17,1.71,1.75,1.70,1.75,4783
6-Sep-17,1.71,1.76,1.70,1.76,4501
5-Sep-17,1.72,1.77,1.72,1.77,3500
4-Sep-17,1.75,1.77,1.72,1.76,5076
1-Sep-17,1.70,1.77,1.70,1.76,10600
31-Aug-17,1.72,1.74,1.70,1.73,55368
30-Aug-17,1.79,1.79,1.72,1.72,52443
29-Aug-17,1.80,1.80,1.73,1.78,48090
28-Aug-17,1.80,1.82,1.78,1.80,14769
25-Aug-17,1.78,1.83,1.78,1.78,27543
24-Aug-17,1.75,1.77,1.75,1.77,24711
23-Aug-17,1.74,1.77,1.68,1.72,47011
22-Aug-17,1.70,1.71,1.65,1.70,59446
21-Aug-17,1.71,1.77,1.71,1.74,33855
18-Aug-17,1.76,1.78,1.73,1.74,13164
17-Aug-17,1.80,1.83,1.75,1.76,119366
16-Aug-17,1.81,1.86,1.78,1.85,64772
14-Aug-17,1.88,1.88,1.82,1.85,5853
11-Aug-17,1.88,1.88,1.81,1.84,11271
10-Aug-17,1.85,1.90,1.81,1.88,25845
9-Aug-17,1.88,1.93,1.80,1.90,212856
8-Aug-17,1.90,1.95,1.89,1.94,22605
7-Aug-17,1.96,1.97,1.87,1.95,62679
4-Aug-17,1.94,1.95,1.89,1.95,19979
3-Aug-17,1.92,1.96,1.88,1.95,19522
2-Aug-17,1.97,1.97,1.86,1.87,109458
1-Aug-17,1.84,2.02,1.82,1.97,87705
31-Jul-17,1.83,1.86,1.82,1.86,17450
28-Jul-17,1.85,1.87,1.82,1.87,31688
27-Jul-17,1.85,1.88,1.83,1.87,19742
26-Jul-17,1.90,1.90,1.78,1.86,178536
25-Jul-17,1.90,1.93,1.87,1.90,68232
24-Jul-17,1.89,1.96,1.89,1.94,11177
21-Jul-17,1.87,1.98,1.87,1.94,69648
20-Jul-17,1.90,1.90,1.87,1.89,9258
19-Jul-17,1.89,1.91,1.89,1.90,2959
18-Jul-17,1.87,1.89,1.87,1.89,6032
17-Jul-17,1.90,1.91,1.86,1.90,56575
14-Jul-17,1.92,1.92,1.86,1.90,52998
13-Jul-17,1.91,1.91,1.88,1.90,11594
12-Jul-17,1.86,1.90,1.85,1.90,30895
11-Jul-17,1.88,1.89,1.85,1.89,12719
10-Jul-17,1.87,1.90,1.85,1.87,33907
7-Jul-17,1.91,1.93,1.86,1.93,23658
6-Jul-17,1.88,1.95,1.86,1.93,34713
5-Jul-17,1.96,1.96,1.88,1.88,21309
4-Jul-17,1.86,2.00,1.86,1.98,47234
3-Jul-17,1.85,1.87,1.85,1.87,14205
30-Jun-17,1.88,1.89,1.85,1.85,39443
29-Jun-17,1.87,1.90,1.86,1.88,43115
28-Jun-17,1.87,1.92,1.87,1.90,56957
27-Jun-17,1.87,1.91,1.85,1.88,77188
26-Jun-17,1.90,1.91,1.86,1.91,49606
23-Jun-17,1.92,1.94,1.89,1.91,12025
22-Jun-17,1.92,1.95,1.88,1.92,137121
21-Jun-17,1.95,1.98,1.92,1.95,18838
20-Jun-17,1.96,2.00,1.95,1.97,22576
19-Jun-17,2.00,2.02,1.95,2.01,30961
16-Jun-17,1.96,2.01,1.96,1.98,19713
14-Jun-17,1.99,2.04,1.96,2.02,32109
13-Jun-17,1.92,2.07,1.91,2.01,112328
12-Jun-17,1.91,1.92,1.89,1.92,43115
9-Jun-17,1.91,1.95,1.89,1.93,33831
8-Jun-17,1.92,1.96,1.88,1.93,29497
7-Jun-17,1.95,2.01,1.83,1.92,287487
6-Jun-17,2.00,2.06,1.95,1.95,111974
5-Jun-17,2.08,2.09,2.00,2.01,59582
2-Jun-17,1.99,2.12,1.99,2.04,147475
1-Jun-17,2.06,2.08,1.94,1.99,421693
31-May-17,2.17,2.20,2.06,2.08,122389
30-May-17,2.18,2.22,2.15,2.18,59264
29-May-17,2.18,2.27,2.11,2.16,144911
26-May-17,2.33,2.40,2.13,2.17,425375
25-May-17,2.42,2.49,2.34,2.41,82026
24-May-17,2.31,2.40,2.30,2.40,75243
23-May-17,2.30,2.46,2.24,2.31,129207
22-May-17,2.51,2.51,2.32,2.32,175189
19-May-17,2.47,2.53,2.40,2.48,185534
18-May-17,2.55,2.69,2.38,2.44,463789
17-May-17,2.49,2.65,2.38,2.55,701431
16-May-17,2.32,2.54,2.32,2.40,637357
15-May-17,2.33,2.36,2.24,2.27,180299
12-May-17,2.20,2.33,2.13,2.30,258986
11-May-17,2.24,2.35,2.12,2.12,192590
10-May-17,2.14,2.27,2.03,2.23,454453
9-May-17,2.17,2.38,2.12,2.15,808032
8-May-17,1.98,2.18,1.98,2.18,561159
5-May-17,1.85,1.99,1.83,1.97,314531
4-May-17,1.90,1.91,1.81,1.84,218147
2-May-17,1.68,1.94,1.68,1.86,488684
28-Apr-17,1.64,1.68,1.62,1.68,52447
27-Apr-17,1.65,1.65,1.60,1.63,34846
26-Apr-17,1.65,1.67,1.63,1.63,72538
