b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,3.34,3.34,3.28,3.30,333296
14-Sep-17,3.37,3.37,3.34,3.35,47782
13-Sep-17,3.37,3.37,3.33,3.37,48918
12-Sep-17,3.37,3.38,3.34,3.37,159183
11-Sep-17,3.36,3.39,3.33,3.36,46493
8-Sep-17,3.34,3.37,3.32,3.35,159393
7-Sep-17,3.39,3.39,3.33,3.34,66266
6-Sep-17,3.34,3.39,3.34,3.39,95493
5-Sep-17,3.38,3.40,3.35,3.38,300211
4-Sep-17,3.41,3.43,3.36,3.39,227055
1-Sep-17,3.42,3.42,3.41,3.41,37698
31-Aug-17,3.38,3.40,3.37,3.40,80307
30-Aug-17,3.39,3.39,3.36,3.37,102944
29-Aug-17,3.45,3.45,3.11,3.39,168595
28-Aug-17,3.43,3.48,3.40,3.45,106803
25-Aug-17,3.34,3.42,3.33,3.42,928642
24-Aug-17,3.32,3.34,3.26,3.34,975970
23-Aug-17,3.30,3.32,3.24,3.26,217638
22-Aug-17,3.29,3.29,3.22,3.27,30875
21-Aug-17,3.28,3.29,3.22,3.28,143215
18-Aug-17,3.25,3.28,3.25,3.28,72381
17-Aug-17,3.30,3.30,3.25,3.25,158907
16-Aug-17,3.20,3.30,3.18,3.30,258656
14-Aug-17,3.18,3.23,3.18,3.23,28041
11-Aug-17,3.26,3.27,3.20,3.20,136050
10-Aug-17,3.23,3.29,3.20,3.28,138322
9-Aug-17,3.22,3.24,3.14,3.23,154806
8-Aug-17,3.28,3.30,3.23,3.24,275932
7-Aug-17,3.29,3.32,3.28,3.28,249288
4-Aug-17,3.32,3.32,3.28,3.30,195850
3-Aug-17,3.32,3.33,3.30,3.31,201042
2-Aug-17,3.33,3.33,3.30,3.32,47227
1-Aug-17,3.32,3.33,3.29,3.33,148467
31-Jul-17,3.30,3.32,3.27,3.27,215118
28-Jul-17,3.33,3.33,3.31,3.33,446879
27-Jul-17,3.32,3.34,3.31,3.33,348997
26-Jul-17,3.30,3.33,3.30,3.32,47076
25-Jul-17,3.32,3.34,3.30,3.30,307485
24-Jul-17,3.37,3.37,3.29,3.31,356921
21-Jul-17,3.38,3.40,3.35,3.35,119072
20-Jul-17,3.38,3.40,3.30,3.38,251116
19-Jul-17,3.36,3.38,3.34,3.38,73879
18-Jul-17,3.34,3.34,3.31,3.34,73991
17-Jul-17,3.27,3.33,3.25,3.33,145400
14-Jul-17,3.26,3.28,3.22,3.28,104086
13-Jul-17,3.22,3.26,3.18,3.26,141173
12-Jul-17,3.24,3.24,3.19,3.23,31595
11-Jul-17,3.22,3.22,3.19,3.22,24427
10-Jul-17,3.25,3.25,3.19,3.22,455912
7-Jul-17,3.25,3.25,3.22,3.24,16154
6-Jul-17,3.28,3.28,3.23,3.25,42581
5-Jul-17,3.27,3.30,3.25,3.28,51894
4-Jul-17,3.27,3.27,3.25,3.26,127679
3-Jul-17,3.28,3.28,3.25,3.27,75223
30-Jun-17,3.26,3.27,3.25,3.27,277590
29-Jun-17,3.25,3.26,3.22,3.25,435035
28-Jun-17,3.23,3.25,3.21,3.25,100841
27-Jun-17,3.23,3.25,3.22,3.24,42338
26-Jun-17,3.22,3.25,3.21,3.25,335254
23-Jun-17,3.20,3.24,3.19,3.22,183371
22-Jun-17,3.20,3.20,3.18,3.19,514128
21-Jun-17,3.20,3.20,3.16,3.20,64070
20-Jun-17,3.25,3.25,3.18,3.20,54623
19-Jun-17,3.21,3.25,3.11,3.24,551387
16-Jun-17,3.30,3.32,3.23,3.24,489108
14-Jun-17,3.45,3.54,3.43,3.52,366116
13-Jun-17,3.41,3.46,3.33,3.46,489439
12-Jun-17,3.50,3.50,3.42,3.45,255691
9-Jun-17,3.53,3.54,3.45,3.50,227724
8-Jun-17,3.55,3.55,3.47,3.51,573228
7-Jun-17,3.40,3.57,3.40,3.56,371138
6-Jun-17,3.34,3.39,3.33,3.38,33858
5-Jun-17,3.40,3.41,3.33,3.33,124564
2-Jun-17,3.41,3.41,3.39,3.40,40541
1-Jun-17,3.39,3.40,3.36,3.40,1012732
31-May-17,3.33,3.39,3.32,3.39,530333
30-May-17,3.34,3.36,3.30,3.33,243366
29-May-17,3.39,3.39,3.31,3.33,80189
26-May-17,3.37,3.38,3.35,3.36,440896
25-May-17,3.33,3.38,3.32,3.37,374170
24-May-17,3.29,3.31,3.26,3.31,73714
23-May-17,3.30,3.31,3.25,3.26,80155
22-May-17,3.33,3.35,3.30,3.30,117020
19-May-17,3.29,3.34,3.27,3.33,166230
18-May-17,3.18,3.24,3.08,3.24,164476
17-May-17,3.22,3.26,3.19,3.21,175213
16-May-17,3.25,3.25,3.19,3.23,132176
15-May-17,3.20,3.26,3.20,3.25,152334
12-May-17,3.19,3.29,3.19,3.23,333588
11-May-17,3.25,3.26,3.20,3.21,1042953
10-May-17,3.35,3.35,3.32,3.35,50202
9-May-17,3.33,3.38,3.33,3.35,145222
8-May-17,3.37,3.38,3.32,3.35,158973
5-May-17,3.38,3.38,3.36,3.38,270598
4-May-17,3.38,3.39,3.35,3.35,80180
2-May-17,3.39,3.39,3.35,3.38,188097
28-Apr-17,3.36,3.38,3.35,3.38,187402
27-Apr-17,3.41,3.41,3.35,3.35,235739
26-Apr-17,3.38,3.40,3.34,3.40,217380
25-Apr-17,3.40,3.42,3.37,3.38,630525
24-Apr-17,3.42,3.43,3.40,3.41,73230
21-Apr-17,3.40,3.41,3.37,3.40,103469
20-Apr-17,3.38,3.40,3.37,3.39,319594
19-Apr-17,3.35,3.37,3.34,3.37,326016
18-Apr-17,3.33,3.38,3.33,3.34,67781
13-Apr-17,3.34,3.38,3.34,3.34,85101
12-Apr-17,3.35,3.35,3.33,3.34,38281
11-Apr-17,3.39,3.39,3.31,3.34,159867
10-Apr-17,3.43,3.43,3.36,3.36,75328
7-Apr-17,3.44,3.44,3.37,3.39,104100
6-Apr-17,3.37,3.43,3.37,3.43,205200
5-Apr-17,3.28,3.39,3.28,3.36,774130
4-Apr-17,3.28,3.28,3.24,3.27,90683
3-Apr-17,3.28,3.28,3.24,3.27,73049
31-Mar-17,3.29,3.29,3.26,3.27,177118
30-Mar-17,3.27,3.28,3.25,3.28,110388
29-Mar-17,3.30,3.32,3.26,3.28,101364
28-Mar-17,3.26,3.28,3.24,3.27,360733
27-Mar-17,3.20,3.27,3.20,3.26,104774
24-Mar-17,3.21,3.26,3.21,3.26,265617
23-Mar-17,3.22,3.25,3.21,3.22,85569
22-Mar-17,3.24,3.24,3.20,3.22,227742
21-Mar-17,3.26,3.26,3.23,3.24,239685
20-Mar-17,3.25,3.26,3.23,3.25,138246
17-Mar-17,3.25,3.28,3.24,3.25,321145
16-Mar-17,3.33,3.34,3.23,3.24,1514966
15-Mar-17,3.30,3.35,3.27,3.30,665996
14-Mar-17,3.25,3.25,3.23,3.25,399450
13-Mar-17,3.25,3.25,3.22,3.22,414859
10-Mar-17,3.24,3.28,3.21,3.21,180340
9-Mar-17,3.23,3.26,3.19,3.21,744134
8-Mar-17,3.15,3.21,3.13,3.20,11801542
7-Mar-17,3.10,3.16,3.06,3.16,1089795
6-Mar-17,3.11,3.12,3.07,3.10,346819
3-Mar-17,3.16,3.16,3.10,3.11,236978
2-Mar-17,3.17,3.21,3.15,3.16,1074026
1-Mar-17,3.13,3.16,3.07,3.15,394051
28-Feb-17,3.13,3.18,3.04,3.07,1080159
27-Feb-17,3.05,3.11,3.04,3.11,1829162
24-Feb-17,3.00,3.06,2.96,3.03,2913920
23-Feb-17,3.00,3.00,2.98,2.99,97245
22-Feb-17,3.00,3.00,2.97,2.99,165251
21-Feb-17,3.00,3.01,3.00,3.01,133094
20-Feb-17,2.99,3.02,2.98,3.00,269290
17-Feb-17,3.02,3.02,2.95,2.95,822911
16-Feb-17,2.99,3.02,2.99,3.00,985511
15-Feb-17,3.01,3.02,2.97,2.99,388098
14-Feb-17,3.02,3.02,2.96,3.00,209351
13-Feb-17,3.01,3.01,2.98,3.00,2926272
10-Feb-17,3.02,3.06,2.98,2.99,632391
9-Feb-17,2.93,3.02,2.92,3.02,184255
8-Feb-17,2.92,2.93,2.89,2.92,261449
7-Feb-17,2.97,2.97,2.91,2.91,344374
6-Feb-17,3.00,3.00,2.97,2.97,154331
3-Feb-17,2.97,2.99,2.97,2.98,208001
2-Feb-17,3.00,3.01,2.97,2.97,320862
1-Feb-17,3.00,3.05,2.99,3.00,235046
31-Jan-17,2.98,3.00,2.97,3.00,432787
30-Jan-17,3.00,3.02,2.97,2.98,474444
27-Jan-17,3.03,3.05,2.98,3.00,1070559
26-Jan-17,3.15,3.16,2.98,3.00,1171124
25-Jan-17,3.16,3.16,3.07,3.13,1111196
24-Jan-17,3.15,3.15,3.11,3.13,120695
23-Jan-17,3.18,3.18,3.12,3.15,294611
20-Jan-17,3.15,3.18,3.13,3.18,264916
19-Jan-17,3.17,3.17,3.11,3.17,322821
18-Jan-17,3.17,3.21,3.17,3.17,1150745
