b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,10.83,10.85,10.73,10.73,9301
14-Sep-17,10.77,10.83,10.51,10.83,8379
13-Sep-17,10.70,10.79,10.65,10.77,5379
12-Sep-17,10.70,10.80,10.40,10.79,872
11-Sep-17,10.74,10.84,10.71,10.83,5831
8-Sep-17,10.94,10.94,10.66,10.94,4095
7-Sep-17,10.99,10.99,10.66,10.98,1201
6-Sep-17,11.02,11.09,10.55,10.94,7705
5-Sep-17,11.12,11.16,11.00,11.08,2611
4-Sep-17,10.97,11.10,10.81,11.10,3548
1-Sep-17,11.13,11.48,10.77,10.97,22996
31-Aug-17,11.71,11.71,11.03,11.33,20292
30-Aug-17,11.97,11.97,11.71,11.77,2574
29-Aug-17,12.10,12.10,11.89,11.97,2176
28-Aug-17,12.12,12.12,12.12,12.12,472
25-Aug-17,12.16,12.16,11.81,12.10,13449
24-Aug-17,12.19,12.19,12.17,12.17,2
23-Aug-17,12.19,12.38,12.10,12.20,39209
22-Aug-17,12.05,12.20,11.73,12.20,2596
21-Aug-17,12.06,12.06,12.05,12.06,502
18-Aug-17,11.90,12.06,11.59,12.06,10101
17-Aug-17,12.06,12.06,11.70,12.03,589
16-Aug-17,12.08,12.08,12.08,12.08,1
14-Aug-17,11.97,11.99,11.97,11.99,486
11-Aug-17,11.99,11.99,11.61,11.97,3550
10-Aug-17,12.05,12.05,12.05,12.05,1
9-Aug-17,11.90,11.92,11.60,11.92,1414
8-Aug-17,11.92,12.20,11.30,11.92,8915
7-Aug-17,11.91,12.20,11.91,12.20,2089
4-Aug-17,12.10,12.19,11.92,12.19,5320
3-Aug-17,12.20,12.20,11.99,12.17,2216
2-Aug-17,12.27,12.27,12.04,12.20,10502
1-Aug-17,12.06,12.28,12.06,12.27,2061
31-Jul-17,12.09,12.09,12.06,12.06,1023
28-Jul-17,12.12,12.12,12.08,12.09,6543
27-Jul-17,12.00,12.12,11.94,12.12,1474
26-Jul-17,12.00,12.00,12.00,12.00,305
25-Jul-17,12.13,12.13,11.78,12.00,3541
24-Jul-17,12.16,12.16,12.14,12.14,7
21-Jul-17,12.24,12.24,11.77,12.18,14152
20-Jul-17,12.15,12.28,12.10,12.25,1181
19-Jul-17,12.30,12.30,12.30,12.30,1
18-Jul-17,12.40,12.40,12.20,12.30,2641
17-Jul-17,12.44,12.44,12.11,12.39,553
14-Jul-17,12.49,12.49,12.44,12.44,2
13-Jul-17,12.40,12.40,12.20,12.40,720
12-Jul-17,12.45,12.45,12.38,12.38,502
11-Jul-17,12.40,12.48,12.30,12.39,481
10-Jul-17,12.30,12.30,12.25,12.25,60
7-Jul-17,12.30,12.30,11.91,12.29,1137
6-Jul-17,12.30,12.30,12.29,12.29,151
5-Jul-17,12.29,12.29,12.00,12.25,2927
4-Jul-17,12.10,12.30,12.01,12.25,318
