b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,2.97,2.97,2.82,2.94,27805
14-Sep-17,2.95,2.95,2.90,2.90,16233
13-Sep-17,3.04,3.10,2.95,2.95,2653
12-Sep-17,3.05,3.05,2.94,3.04,6289
11-Sep-17,3.05,3.19,3.05,3.10,1622
8-Sep-17,3.15,3.15,3.01,3.10,5536
7-Sep-17,3.18,3.18,3.15,3.15,4101
6-Sep-17,3.24,3.24,3.24,3.24,1420
5-Sep-17,3.23,3.25,3.15,3.25,8684
4-Sep-17,3.24,3.25,3.23,3.24,7056
1-Sep-17,3.21,3.31,3.20,3.30,6757
31-Aug-17,3.32,3.32,3.21,3.21,5360
30-Aug-17,3.21,3.32,3.21,3.32,6619
29-Aug-17,3.25,3.25,3.21,3.21,1049
28-Aug-17,3.30,3.30,3.29,3.29,1025
25-Aug-17,3.26,3.33,3.25,3.29,7829
24-Aug-17,3.36,3.40,3.22,3.25,14873
23-Aug-17,3.43,3.45,3.25,3.36,8042
22-Aug-17,3.40,3.45,3.40,3.44,14874
21-Aug-17,3.60,3.63,3.40,3.40,19535
18-Aug-17,3.55,3.55,3.17,3.17,24876
17-Aug-17,3.76,3.76,3.51,3.65,12017
16-Aug-17,3.50,3.77,3.50,3.76,53128
14-Aug-17,3.41,3.45,3.38,3.45,3142
11-Aug-17,3.52,3.52,3.43,3.47,6968
10-Aug-17,3.54,3.57,3.54,3.57,3966
9-Aug-17,3.55,3.55,3.50,3.55,4862
8-Aug-17,3.60,3.64,3.50,3.55,6808
7-Aug-17,3.48,3.65,3.48,3.59,16838
4-Aug-17,3.49,3.49,3.44,3.45,3184
3-Aug-17,3.44,3.44,3.38,3.42,3350
2-Aug-17,3.50,3.50,3.38,3.44,6877
1-Aug-17,3.58,3.58,3.43,3.50,8150
31-Jul-17,3.51,3.65,3.40,3.56,27017
28-Jul-17,3.26,3.38,3.26,3.38,6217
27-Jul-17,3.42,3.42,3.23,3.26,5323
26-Jul-17,3.42,3.42,3.35,3.40,9294
25-Jul-17,3.49,3.54,3.35,3.35,22694
24-Jul-17,3.57,3.58,3.34,3.49,83477
21-Jul-17,3.70,3.70,3.00,3.00,97151
20-Jul-17,3.61,3.76,3.60,3.62,5735
19-Jul-17,3.72,3.73,3.60,3.65,9903
18-Jul-17,3.89,3.89,3.76,3.76,8804
17-Jul-17,3.75,3.89,3.75,3.82,16969
14-Jul-17,3.65,3.71,3.45,3.69,28639
13-Jul-17,3.70,3.80,3.41,3.60,44740
12-Jul-17,3.94,3.94,3.60,3.72,70941
11-Jul-17,4.07,4.18,3.81,3.93,34474
10-Jul-17,4.07,4.35,4.00,4.08,149068
7-Jul-17,3.61,4.14,3.50,3.76,315765
6-Jul-17,3.50,3.51,3.11,3.35,182814
5-Jul-17,3.76,3.76,3.47,3.55,233684
4-Jul-17,4.05,4.22,3.76,3.82,96287
3-Jul-17,3.89,4.25,3.89,4.14,47629
30-Jun-17,3.82,3.95,3.82,3.90,13030
29-Jun-17,3.80,3.92,3.76,3.90,13715
28-Jun-17,3.74,3.82,3.74,3.80,35344
27-Jun-17,3.76,3.76,3.65,3.75,41492
26-Jun-17,3.86,3.88,3.69,3.78,32515
23-Jun-17,3.90,3.94,3.70,3.93,42407
22-Jun-17,4.16,4.16,3.75,3.94,108518
21-Jun-17,4.66,4.66,4.55,4.55,8690
20-Jun-17,4.65,4.72,4.65,4.69,829
19-Jun-17,4.70,4.75,4.70,4.73,1199
16-Jun-17,4.70,4.76,4.66,4.76,2250
14-Jun-17,4.70,4.72,4.59,4.70,19692
13-Jun-17,4.63,4.67,4.57,4.67,22495
12-Jun-17,4.90,4.91,4.63,4.63,14914
