b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,30.00,30.29,29.75,29.90,28277
14-Sep-17,30.55,30.55,30.05,30.30,45363
13-Sep-17,30.97,30.97,30.30,30.69,2907
12-Sep-17,30.98,31.05,30.70,30.94,3943
11-Sep-17,30.81,31.14,30.70,30.98,3700
8-Sep-17,31.40,31.44,30.64,31.00,21429
7-Sep-17,31.45,31.45,31.11,31.36,4062
6-Sep-17,31.52,31.73,31.28,31.45,3180
5-Sep-17,31.72,31.72,31.30,31.40,6614
4-Sep-17,31.33,31.89,31.33,31.49,11442
1-Sep-17,30.45,30.98,30.45,30.98,2984
31-Aug-17,30.50,30.50,30.32,30.45,94383
30-Aug-17,30.70,30.80,30.40,30.45,4167
29-Aug-17,30.85,31.39,30.30,30.30,29986
28-Aug-17,29.04,30.00,29.04,29.90,6763
25-Aug-17,29.00,29.34,29.00,29.04,7917
24-Aug-17,29.30,29.30,29.00,29.00,1175
23-Aug-17,28.80,29.34,28.80,29.34,221
22-Aug-17,28.70,29.00,28.60,29.00,603
21-Aug-17,28.70,28.70,28.60,28.67,1584
18-Aug-17,28.67,28.90,28.67,28.75,2927
17-Aug-17,28.91,28.92,28.62,28.66,3117
16-Aug-17,29.10,29.10,28.87,28.90,1417
14-Aug-17,29.01,29.01,28.95,29.00,1653
11-Aug-17,28.95,29.14,28.90,29.00,2365
10-Aug-17,29.50,29.50,28.66,29.00,2184
9-Aug-17,29.20,29.20,29.17,29.20,1608
8-Aug-17,29.50,29.50,29.15,29.20,5507
7-Aug-17,29.99,30.00,29.70,29.70,777
4-Aug-17,29.98,30.00,29.52,29.90,818
3-Aug-17,30.00,30.00,29.54,29.80,1913
2-Aug-17,30.80,30.80,29.80,29.80,6021
1-Aug-17,30.10,31.00,30.00,30.00,14356
31-Jul-17,29.44,29.99,29.36,29.99,1039
28-Jul-17,29.40,29.50,29.10,29.45,2121
27-Jul-17,29.95,30.00,29.50,29.50,7012
26-Jul-17,30.00,30.08,29.72,29.95,2575
25-Jul-17,29.90,30.15,29.68,29.90,5007
24-Jul-17,29.90,29.90,29.66,29.71,3332
21-Jul-17,29.90,29.90,29.80,29.90,1694
20-Jul-17,29.70,29.90,29.57,29.90,1274
19-Jul-17,29.49,29.60,29.49,29.60,2215
18-Jul-17,29.50,29.69,29.36,29.36,3813
17-Jul-17,29.70,29.70,29.33,29.60,767
14-Jul-17,29.60,29.69,29.50,29.69,1197
13-Jul-17,29.85,29.85,29.30,29.60,1413
12-Jul-17,29.43,29.46,29.21,29.46,1080
11-Jul-17,29.74,29.74,29.00,29.29,9280
10-Jul-17,29.92,30.00,29.79,29.79,5564
7-Jul-17,30.01,30.01,30.00,30.00,1964
6-Jul-17,30.20,30.40,29.72,29.72,1437
5-Jul-17,30.20,30.40,30.01,30.40,5378
4-Jul-17,29.58,30.10,29.33,30.10,9985
3-Jul-17,29.47,29.50,28.50,29.33,3477
30-Jun-17,28.80,29.75,28.80,29.48,7135
29-Jun-17,28.40,28.90,28.40,28.80,3140
28-Jun-17,28.30,28.40,27.60,28.22,26971
27-Jun-17,28.61,28.61,26.93,28.34,5891
26-Jun-17,29.05,29.10,28.90,28.90,1048
23-Jun-17,28.99,29.00,28.56,28.90,1696
22-Jun-17,29.00,29.00,28.70,29.00,248
21-Jun-17,29.00,29.00,28.41,29.00,607
20-Jun-17,29.01,29.49,29.00,29.00,868
19-Jun-17,28.95,29.50,28.81,28.81,6360
16-Jun-17,28.95,28.95,28.42,28.70,8149
14-Jun-17,29.00,29.47,28.23,28.40,15668
13-Jun-17,30.25,30.40,29.15,29.44,10039
12-Jun-17,30.28,30.29,30.27,30.29,5620
9-Jun-17,30.08,30.40,30.08,30.28,7284
8-Jun-17,31.00,31.00,30.28,30.30,6336
7-Jun-17,31.70,31.80,30.76,31.00,3089
6-Jun-17,31.95,31.95,31.50,31.70,5123
5-Jun-17,31.88,32.26,31.80,32.26,7655
2-Jun-17,32.50,32.58,31.50,31.60,24248
1-Jun-17,31.75,32.15,31.70,32.02,3348
31-May-17,31.75,31.75,31.33,31.70,1391
30-May-17,32.16,32.16,31.70,32.00,1962
29-May-17,31.81,32.15,31.12,31.81,3321
26-May-17,32.10,32.10,31.90,31.99,3138
25-May-17,32.16,32.16,32.00,32.10,1227
24-May-17,32.00,32.17,31.94,32.16,2752
23-May-17,32.17,32.17,31.94,32.00,2627
22-May-17,32.00,32.17,31.90,32.17,4856
19-May-17,30.80,32.19,30.80,32.00,11908
18-May-17,31.25,31.50,30.36,30.80,3326
17-May-17,32.20,32.20,31.50,31.50,3594
16-May-17,32.48,32.48,32.00,32.26,4865
15-May-17,32.50,32.75,32.40,32.48,7616
12-May-17,32.11,32.49,31.90,32.49,11956
11-May-17,31.75,32.75,31.68,32.00,16190
10-May-17,31.70,31.90,31.41,31.65,4018
9-May-17,31.12,31.98,31.12,31.65,17075
8-May-17,30.89,31.00,30.40,31.00,8776
5-May-17,30.26,30.79,30.22,30.75,1067
4-May-17,30.79,30.79,30.31,30.78,195
2-May-17,30.67,30.80,30.15,30.80,988
28-Apr-17,30.72,31.00,30.65,30.65,2089
27-Apr-17,30.40,31.00,30.40,30.70,3317
26-Apr-17,30.57,30.57,29.98,30.30,3135
25-Apr-17,30.51,30.80,30.51,30.57,1748
24-Apr-17,30.99,31.45,30.99,31.19,7874
21-Apr-17,30.79,31.17,30.78,31.17,2587
20-Apr-17,30.78,30.80,30.78,30.79,1873
19-Apr-17,30.35,30.50,30.15,30.50,882
18-Apr-17,30.55,30.55,30.35,30.35,564
13-Apr-17,30.80,30.80,30.50,30.55,2979
12-Apr-17,30.91,30.91,30.50,30.80,811
11-Apr-17,30.50,31.18,30.05,31.18,3847
10-Apr-17,30.41,30.54,30.41,30.50,245
7-Apr-17,30.29,30.50,30.29,30.50,8420
6-Apr-17,30.19,30.30,30.01,30.30,4017
5-Apr-17,29.41,30.28,29.12,30.19,13049
4-Apr-17,29.87,29.87,29.29,29.41,2402
3-Apr-17,28.20,29.70,28.20,29.70,6482
31-Mar-17,28.31,28.31,27.22,27.70,50991
30-Mar-17,29.40,29.40,28.22,28.95,33667
29-Mar-17,29.75,30.30,29.15,29.35,4262
28-Mar-17,30.00,30.00,29.60,29.70,1142
27-Mar-17,29.99,30.00,29.91,29.95,1161
24-Mar-17,30.50,30.60,29.60,29.99,4724
23-Mar-17,30.40,30.60,30.35,30.50,1531
22-Mar-17,30.35,30.60,30.35,30.40,2036
21-Mar-17,30.70,30.70,30.35,30.35,2223
20-Mar-17,30.55,30.78,30.36,30.78,1934
17-Mar-17,30.40,30.50,30.36,30.36,1327
16-Mar-17,30.51,30.54,30.34,30.40,1470
15-Mar-17,30.89,30.89,30.51,30.51,1042
14-Mar-17,31.12,31.12,30.61,30.80,467
13-Mar-17,30.90,31.10,30.70,31.00,4490
10-Mar-17,30.31,30.99,30.31,30.70,760
9-Mar-17,30.19,30.70,30.01,30.70,3006
8-Mar-17,30.50,30.50,30.01,30.18,2228
7-Mar-17,31.01,31.18,30.51,30.70,3743
6-Mar-17,31.35,31.35,31.02,31.18,1231
3-Mar-17,31.98,32.00,31.28,31.55,1796
2-Mar-17,30.66,32.00,30.65,31.50,57244
1-Mar-17,30.00,30.80,29.92,30.80,49265
28-Feb-17,30.21,30.21,30.00,30.05,1943
27-Feb-17,30.50,30.60,30.17,30.21,1447
24-Feb-17,30.85,30.90,30.20,30.44,5549
23-Feb-17,30.70,30.90,30.60,30.90,4125
22-Feb-17,30.60,30.90,30.50,30.61,3732
21-Feb-17,30.59,30.90,30.12,30.60,4874
20-Feb-17,30.71,30.95,30.00,30.60,19734
17-Feb-17,32.00,32.00,29.91,30.70,51026
16-Feb-17,32.45,32.45,32.00,32.24,10359
15-Feb-17,32.98,32.98,32.45,32.45,3926
14-Feb-17,32.45,33.00,32.01,33.00,8743
13-Feb-17,33.24,33.24,31.74,32.45,13914
10-Feb-17,32.15,33.30,32.15,32.95,18385
9-Feb-17,31.94,32.15,31.90,32.10,8140
8-Feb-17,31.70,31.90,31.60,31.82,8986
7-Feb-17,31.52,31.85,31.18,31.60,8539
6-Feb-17,31.85,31.95,31.51,31.62,7507
3-Feb-17,31.75,31.75,31.30,31.75,8193
2-Feb-17,31.31,31.95,31.31,31.67,9397
1-Feb-17,30.44,30.95,30.30,30.90,30260
31-Jan-17,29.57,30.45,29.49,29.86,46508
30-Jan-17,28.88,29.95,28.88,29.07,17054
27-Jan-17,29.00,29.29,28.55,28.55,2929
26-Jan-17,29.05,29.47,29.05,29.10,3716
25-Jan-17,28.20,29.23,28.20,29.03,22897
24-Jan-17,28.10,28.19,28.00,28.19,9568
