b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,0.42,0.44,0.42,0.43,127221
14-Sep-17,0.41,0.43,0.41,0.42,26155
13-Sep-17,0.43,0.44,0.41,0.41,209040
12-Sep-17,0.42,0.44,0.41,0.43,231089
11-Sep-17,0.41,0.42,0.40,0.42,66662
8-Sep-17,0.41,0.42,0.41,0.42,15760
7-Sep-17,0.41,0.42,0.40,0.42,28316
6-Sep-17,0.41,0.42,0.40,0.41,130986
5-Sep-17,0.41,0.41,0.40,0.41,72924
4-Sep-17,0.40,0.41,0.40,0.40,42076
1-Sep-17,0.41,0.41,0.40,0.41,125775
31-Aug-17,0.42,0.42,0.40,0.41,177322
30-Aug-17,0.42,0.43,0.41,0.41,9450
29-Aug-17,0.43,0.43,0.41,0.41,4884
28-Aug-17,0.41,0.42,0.41,0.42,46401
25-Aug-17,0.43,0.43,0.42,0.42,60875
24-Aug-17,0.42,0.43,0.42,0.43,63208
23-Aug-17,0.41,0.41,0.41,0.41,59796
22-Aug-17,0.44,0.44,0.42,0.42,146594
21-Aug-17,0.42,0.43,0.42,0.42,138703
18-Aug-17,0.43,0.44,0.42,0.42,49880
17-Aug-17,0.44,0.44,0.43,0.43,87249
16-Aug-17,0.44,0.45,0.44,0.45,17933
14-Aug-17,0.44,0.45,0.43,0.45,38787
11-Aug-17,0.44,0.44,0.43,0.44,78500
10-Aug-17,0.46,0.46,0.44,0.44,187169
9-Aug-17,0.47,0.47,0.45,0.45,3001
8-Aug-17,0.46,0.47,0.45,0.45,45121
7-Aug-17,0.47,0.47,0.46,0.47,70594
4-Aug-17,0.46,0.47,0.46,0.47,4295
3-Aug-17,0.47,0.48,0.46,0.46,91442
2-Aug-17,0.47,0.48,0.46,0.47,30297
1-Aug-17,0.47,0.47,0.47,0.47,20170
31-Jul-17,0.48,0.48,0.47,0.47,42844
28-Jul-17,0.47,0.48,0.47,0.48,46269
27-Jul-17,0.48,0.48,0.47,0.48,20823
26-Jul-17,0.48,0.48,0.47,0.48,36063
25-Jul-17,0.47,0.47,0.47,0.47,12955
24-Jul-17,0.47,0.48,0.47,0.47,14483
21-Jul-17,0.48,0.48,0.47,0.47,55158
20-Jul-17,0.47,0.49,0.47,0.49,21672
19-Jul-17,0.48,0.48,0.47,0.47,28196
18-Jul-17,0.50,0.50,0.48,0.48,63030
17-Jul-17,0.50,0.50,0.49,0.49,25401
14-Jul-17,0.49,0.51,0.49,0.50,206553
13-Jul-17,0.47,0.49,0.47,0.49,146054
12-Jul-17,0.47,0.47,0.45,0.47,53787
11-Jul-17,0.44,0.46,0.44,0.46,79986
10-Jul-17,0.45,0.45,0.44,0.44,66170
7-Jul-17,0.47,0.47,0.43,0.45,364625
6-Jul-17,0.48,0.48,0.46,0.48,100390
5-Jul-17,0.47,0.49,0.47,0.48,66801
4-Jul-17,0.49,0.50,0.48,0.49,102100
3-Jul-17,0.49,0.51,0.49,0.49,69629
30-Jun-17,0.49,0.50,0.49,0.50,37680
29-Jun-17,0.50,0.50,0.50,0.50,41398
28-Jun-17,0.50,0.50,0.49,0.50,24364
27-Jun-17,0.50,0.51,0.50,0.50,139990
26-Jun-17,0.48,0.50,0.48,0.50,58707
23-Jun-17,0.49,0.50,0.48,0.50,26355
22-Jun-17,0.50,0.50,0.49,0.49,44458
21-Jun-17,0.47,0.50,0.47,0.49,85717
20-Jun-17,0.49,0.49,0.47,0.49,61508
19-Jun-17,0.49,0.49,0.48,0.49,85780
16-Jun-17,0.48,0.49,0.48,0.49,70342
14-Jun-17,0.50,0.50,0.47,0.48,186888
13-Jun-17,0.50,0.50,0.49,0.50,62477
12-Jun-17,0.50,0.51,0.49,0.51,42425
9-Jun-17,0.50,0.50,0.49,0.49,8153
8-Jun-17,0.50,0.51,0.49,0.50,45400
7-Jun-17,0.50,0.51,0.49,0.49,81881
6-Jun-17,0.52,0.52,0.50,0.50,74666
5-Jun-17,0.51,0.52,0.51,0.52,84842
2-Jun-17,0.48,0.52,0.47,0.50,596424
1-Jun-17,0.56,0.56,0.46,0.48,1423544
31-May-17,0.56,0.57,0.56,0.57,103747
30-May-17,0.57,0.58,0.56,0.57,24357
29-May-17,0.57,0.57,0.56,0.57,45908
26-May-17,0.57,0.57,0.56,0.57,121376
25-May-17,0.58,0.58,0.57,0.58,26692
24-May-17,0.57,0.58,0.57,0.58,17100
23-May-17,0.57,0.58,0.57,0.58,46331
22-May-17,0.57,0.58,0.56,0.57,74392
19-May-17,0.57,0.57,0.56,0.57,58309
18-May-17,0.57,0.58,0.56,0.57,119468
17-May-17,0.58,0.58,0.57,0.57,97070
16-May-17,0.57,0.58,0.57,0.57,64101
15-May-17,0.58,0.59,0.57,0.58,50623
12-May-17,0.58,0.59,0.57,0.59,58442
11-May-17,0.58,0.58,0.57,0.58,25252
10-May-17,0.59,0.59,0.57,0.58,34837
9-May-17,0.59,0.59,0.57,0.58,78683
8-May-17,0.58,0.59,0.57,0.58,68610
5-May-17,0.59,0.59,0.57,0.57,118997
4-May-17,0.60,0.61,0.59,0.60,111926
2-May-17,0.60,0.61,0.59,0.61,105713
28-Apr-17,0.57,0.61,0.57,0.61,308443
27-Apr-17,0.57,0.58,0.57,0.58,40691
26-Apr-17,0.56,0.58,0.56,0.57,89920
25-Apr-17,0.57,0.57,0.56,0.57,104539
24-Apr-17,0.56,0.57,0.55,0.56,119340
21-Apr-17,0.56,0.57,0.56,0.56,37907
20-Apr-17,0.58,0.58,0.57,0.57,58909
19-Apr-17,0.57,0.58,0.57,0.58,49569
18-Apr-17,0.57,0.58,0.56,0.57,140353
13-Apr-17,0.58,0.59,0.57,0.58,133695
12-Apr-17,0.58,0.60,0.58,0.59,21869
11-Apr-17,0.58,0.60,0.58,0.58,238288
10-Apr-17,0.58,0.59,0.58,0.58,49120
7-Apr-17,0.58,0.59,0.58,0.58,71021
6-Apr-17,0.62,0.62,0.57,0.59,727997
5-Apr-17,0.63,0.63,0.62,0.62,109841
4-Apr-17,0.62,0.63,0.62,0.62,34326
3-Apr-17,0.63,0.64,0.63,0.64,85817
31-Mar-17,0.62,0.63,0.61,0.63,57693
30-Mar-17,0.62,0.63,0.62,0.62,51264
29-Mar-17,0.63,0.64,0.62,0.62,121971
28-Mar-17,0.62,0.63,0.62,0.63,104089
27-Mar-17,0.62,0.62,0.61,0.62,94362
24-Mar-17,0.63,0.63,0.61,0.62,190704
23-Mar-17,0.63,0.64,0.63,0.63,113806
22-Mar-17,0.62,0.63,0.62,0.63,267448
21-Mar-17,0.65,0.65,0.62,0.63,787148
20-Mar-17,0.67,0.67,0.65,0.65,176137
17-Mar-17,0.67,0.67,0.65,0.67,175754
16-Mar-17,0.67,0.69,0.66,0.66,665768
15-Mar-17,0.67,0.69,0.65,0.66,348104
14-Mar-17,0.68,0.69,0.67,0.67,114420
13-Mar-17,0.68,0.70,0.66,0.68,253620
10-Mar-17,0.70,0.71,0.68,0.68,166512
9-Mar-17,0.71,0.71,0.67,0.70,697947
8-Mar-17,0.67,0.73,0.67,0.69,2184759
7-Mar-17,0.66,0.68,0.65,0.67,314490
6-Mar-17,0.65,0.68,0.64,0.65,841219
3-Mar-17,0.65,0.66,0.64,0.65,301234
2-Mar-17,0.65,0.66,0.64,0.66,647420
1-Mar-17,0.64,0.70,0.63,0.65,1645982
28-Feb-17,0.63,0.64,0.63,0.64,213739
27-Feb-17,0.64,0.65,0.63,0.64,196169
24-Feb-17,0.65,0.66,0.63,0.64,309237
23-Feb-17,0.64,0.68,0.63,0.65,1014266
22-Feb-17,0.66,0.67,0.65,0.66,236972
21-Feb-17,0.67,0.67,0.65,0.67,144387
20-Feb-17,0.67,0.68,0.66,0.67,113919
17-Feb-17,0.66,0.68,0.66,0.66,222364
16-Feb-17,0.65,0.67,0.64,0.65,115662
15-Feb-17,0.66,0.66,0.64,0.65,252494
14-Feb-17,0.68,0.69,0.66,0.66,329904
13-Feb-17,0.65,0.71,0.65,0.68,2302784
10-Feb-17,0.64,0.67,0.64,0.66,454421
9-Feb-17,0.64,0.65,0.63,0.64,280530
8-Feb-17,0.63,0.64,0.63,0.64,122258
7-Feb-17,0.64,0.66,0.63,0.65,156077
6-Feb-17,0.65,0.66,0.64,0.65,60812
3-Feb-17,0.64,0.66,0.64,0.65,346761
2-Feb-17,0.65,0.65,0.64,0.64,137242
1-Feb-17,0.65,0.66,0.64,0.64,164877
31-Jan-17,0.65,0.66,0.64,0.65,153052
30-Jan-17,0.68,0.68,0.65,0.65,336475
27-Jan-17,0.65,0.68,0.65,0.67,328333
26-Jan-17,0.64,0.66,0.62,0.66,466101
25-Jan-17,0.61,0.67,0.61,0.63,1262282
24-Jan-17,0.60,0.62,0.60,0.62,128514
23-Jan-17,0.61,0.61,0.60,0.61,89265
20-Jan-17,0.62,0.62,0.60,0.62,95208
19-Jan-17,0.62,0.63,0.60,0.61,70977
18-Jan-17,0.61,0.62,0.60,0.62,185209
17-Jan-17,0.60,0.61,0.60,0.60,121858
16-Jan-17,0.61,0.61,0.60,0.60,79648
13-Jan-17,0.61,0.62,0.59,0.61,149559
12-Jan-17,0.61,0.62,0.60,0.60,97167
11-Jan-17,0.63,0.64,0.60,0.61,174780
10-Jan-17,0.62,0.65,0.62,0.62,605550
9-Jan-17,0.61,0.62,0.60,0.61,121798
5-Jan-17,0.62,0.62,0.60,0.61,307459
4-Jan-17,0.59,0.63,0.58,0.62,642721
3-Jan-17,0.57,0.59,0.56,0.59,268205
2-Jan-17,0.56,0.57,0.55,0.56,149329
30-Dec-16,0.57,0.57,0.56,0.56,162149
29-Dec-16,0.57,0.57,0.56,0.57,81433
28-Dec-16,0.57,0.59,0.55,0.56,516354
27-Dec-16,0.58,0.58,0.56,0.56,192752
23-Dec-16,0.58,0.59,0.57,0.58,70099
22-Dec-16,0.59,0.59,0.57,0.58,42418
21-Dec-16,0.60,0.60,0.58,0.58,233607
20-Dec-16,0.59,0.62,0.58,0.60,870118
19-Dec-16,0.58,0.59,0.56,0.59,402967
16-Dec-16,0.60,0.60,0.58,0.59,301201
15-Dec-16,0.62,0.63,0.60,0.61,434790
14-Dec-16,0.65,0.65,0.61,0.62,588577
13-Dec-16,0.58,0.66,0.58,0.64,2962596
12-Dec-16,0.55,0.58,0.55,0.57,411007
9-Dec-16,0.54,0.56,0.53,0.55,138918
8-Dec-16,0.53,0.55,0.52,0.54,194873
7-Dec-16,0.54,0.54,0.52,0.53,56898
6-Dec-16,0.53,0.54,0.52,0.54,68378
5-Dec-16,0.53,0.54,0.52,0.54,44149
2-Dec-16,0.53,0.54,0.52,0.54,135745
1-Dec-16,0.53,0.54,0.53,0.54,8984
30-Nov-16,0.53,0.54,0.52,0.54,60762
29-Nov-16,0.53,0.54,0.52,0.54,179169
28-Nov-16,0.53,0.54,0.52,0.54,60821
25-Nov-16,0.53,0.54,0.52,0.54,35377
24-Nov-16,0.53,0.53,0.52,0.53,122433
23-Nov-16,0.52,0.54,0.52,0.53,21520
22-Nov-16,0.54,0.54,0.52,0.52,39025
21-Nov-16,0.52,0.54,0.52,0.54,116257
18-Nov-16,0.53,0.53,0.52,0.52,51595
17-Nov-16,0.53,0.54,0.52,0.54,25100
16-Nov-16,0.53,0.55,0.53,0.53,80257
15-Nov-16,0.53,0.53,0.52,0.53,105032
14-Nov-16,0.55,0.55,0.53,0.54,54919
10-Nov-16,0.53,0.55,0.53,0.55,86525
9-Nov-16,0.54,0.54,0.52,0.53,167825
8-Nov-16,0.54,0.56,0.54,0.55,22953
7-Nov-16,0.55,0.56,0.54,0.54,170012
4-Nov-16,0.56,0.56,0.54,0.55,8923
3-Nov-16,0.54,0.56,0.54,0.55,53366
2-Nov-16,0.55,0.56,0.54,0.54,102323
31-Oct-16,0.56,0.56,0.54,0.56,130616
28-Oct-16,0.57,0.57,0.55,0.55,67117
27-Oct-16,0.56,0.57,0.56,0.57,24885
26-Oct-16,0.56,0.57,0.55,0.57,158723
25-Oct-16,0.56,0.57,0.55,0.56,109111
24-Oct-16,0.57,0.57,0.55,0.55,21918
21-Oct-16,0.56,0.57,0.55,0.56,30264
20-Oct-16,0.56,0.57,0.55,0.56,68865
19-Oct-16,0.55,0.57,0.55,0.55,257660
18-Oct-16,0.57,0.57,0.55,0.55,109174
17-Oct-16,0.58,0.58,0.56,0.56,34105
14-Oct-16,0.58,0.59,0.57,0.58,105346
13-Oct-16,0.56,0.61,0.55,0.57,1038308
12-Oct-16,0.57,0.57,0.55,0.56,97289
11-Oct-16,0.55,0.58,0.55,0.57,668343
10-Oct-16,0.55,0.55,0.54,0.54,20051
7-Oct-16,0.53,0.56,0.52,0.54,219869
6-Oct-16,0.52,0.53,0.52,0.53,20000
5-Oct-16,0.52,0.53,0.51,0.53,70617
4-Oct-16,0.51,0.52,0.51,0.52,140236
3-Oct-16,0.50,0.52,0.50,0.52,178066
30-Sep-16,0.51,0.52,0.51,0.52,55387
29-Sep-16,0.52,0.53,0.51,0.51,104530
28-Sep-16,0.54,0.54,0.52,0.53,56125
27-Sep-16,0.50,0.55,0.50,0.54,576035
26-Sep-16,0.51,0.53,0.49,0.52,350748
23-Sep-16,0.55,0.56,0.54,0.55,81900
22-Sep-16,0.57,0.57,0.54,0.55,197939
21-Sep-16,0.57,0.57,0.56,0.56,167787
20-Sep-16,0.56,0.57,0.56,0.57,76794
19-Sep-16,0.57,0.58,0.56,0.56,97613
