b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,51.49,51.58,50.00,51.39,24641
14-Sep-17,47.90,48.30,47.01,48.27,7329
13-Sep-17,49.19,49.19,48.11,48.25,831
12-Sep-17,50.00,50.17,49.11,49.60,670
11-Sep-17,49.09,50.50,49.09,50.00,7907
8-Sep-17,50.07,50.54,49.95,49.95,662
7-Sep-17,50.75,51.49,50.75,51.00,176
6-Sep-17,51.50,51.50,50.30,50.75,1255
5-Sep-17,50.99,51.75,49.00,51.60,2492
4-Sep-17,50.57,50.57,50.00,50.57,2338
1-Sep-17,49.98,51.24,49.10,50.89,741
31-Aug-17,49.60,51.48,49.60,50.00,3386
30-Aug-17,49.29,49.50,48.10,49.50,14284
29-Aug-17,48.10,48.10,47.51,48.00,1151
28-Aug-17,49.50,49.50,48.00,49.19,1006
25-Aug-17,48.30,49.50,47.10,49.39,2813
24-Aug-17,48.85,48.85,46.55,48.50,924
23-Aug-17,48.00,49.40,48.00,48.07,1416
22-Aug-17,46.10,49.40,42.99,48.00,14876
21-Aug-17,48.50,50.80,46.00,46.10,7777
18-Aug-17,49.99,50.00,49.01,49.01,346
17-Aug-17,51.00,51.00,49.90,50.00,2361
16-Aug-17,50.40,50.70,50.17,50.17,2497
14-Aug-17,50.75,51.00,50.75,51.00,613
11-Aug-17,52.00,52.00,50.02,51.00,2286
10-Aug-17,52.99,53.00,51.99,52.00,2858
9-Aug-17,51.48,53.70,51.10,52.30,7781
8-Aug-17,51.15,51.97,50.00,51.10,8005
7-Aug-17,50.01,50.01,49.20,49.30,1870
4-Aug-17,51.00,51.00,49.80,49.80,3827
3-Aug-17,48.62,51.00,48.60,50.40,8094
2-Aug-17,53.01,56.00,47.81,48.60,25949
1-Aug-17,52.10,53.00,52.00,53.00,8052
31-Jul-17,54.00,54.00,51.10,53.00,5852
28-Jul-17,55.50,55.50,54.15,54.50,377
27-Jul-17,54.00,55.44,54.00,55.44,1272
26-Jul-17,54.00,55.50,54.00,54.40,1446
25-Jul-17,56.00,56.00,54.20,54.20,2021
24-Jul-17,56.29,56.29,55.05,56.00,697
21-Jul-17,57.00,57.00,56.00,56.60,1137
20-Jul-17,56.80,57.79,56.01,57.50,4607
19-Jul-17,56.00,57.23,55.01,56.98,1228
18-Jul-17,54.01,57.24,54.00,55.90,3465
17-Jul-17,55.69,55.69,53.98,53.98,7605
14-Jul-17,55.79,55.79,55.35,55.70,1000
13-Jul-17,57.99,57.99,55.15,55.79,17967
12-Jul-17,58.89,58.89,57.80,57.80,2210
11-Jul-17,59.20,59.20,58.50,58.98,2325
10-Jul-17,58.70,59.40,58.20,59.20,1946
7-Jul-17,58.50,59.95,58.00,58.69,3285
6-Jul-17,56.60,58.30,56.60,57.56,1993
5-Jul-17,58.79,58.79,57.00,57.55,10136
4-Jul-17,61.00,62.95,59.07,59.07,74886
