b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,58.45,58.45,57.50,57.50,1869
14-Sep-17,59.00,59.00,58.10,58.25,18109
13-Sep-17,59.01,59.03,58.51,58.51,65978
12-Sep-17,58.20,59.00,57.99,59.00,56358
11-Sep-17,57.29,58.50,57.29,57.52,7674
8-Sep-17,57.11,57.19,56.70,57.19,1389
7-Sep-17,57.29,57.29,57.04,57.19,11399
6-Sep-17,57.11,57.29,57.05,57.05,760
5-Sep-17,57.34,57.69,57.29,57.29,273
4-Sep-17,57.02,57.99,57.02,57.36,518
1-Sep-17,57.90,58.11,57.01,58.11,1364
31-Aug-17,57.32,57.66,57.01,57.66,30467
30-Aug-17,55.00,57.50,54.50,57.00,225430
29-Aug-17,55.00,55.50,55.00,55.18,3990
28-Aug-17,55.00,57.40,53.10,56.47,12492
25-Aug-17,58.10,58.50,58.10,58.50,397
24-Aug-17,59.15,59.16,57.01,58.30,2075
23-Aug-17,59.26,59.79,59.14,59.15,297
22-Aug-17,59.25,59.50,59.25,59.30,397
21-Aug-17,59.21,59.25,59.20,59.25,62
18-Aug-17,59.15,59.77,59.00,59.77,186
17-Aug-17,59.06,59.21,59.06,59.19,121
16-Aug-17,59.08,59.08,59.08,59.08,10
14-Aug-17,59.03,59.06,59.03,59.06,10
11-Aug-17,59.00,59.80,59.00,59.80,1680
10-Aug-17,60.00,60.00,60.00,60.00,13
9-Aug-17,60.00,60.00,59.50,59.99,616
8-Aug-17,60.30,60.39,59.65,59.75,182
7-Aug-17,59.60,59.60,59.11,59.40,226
4-Aug-17,60.00,60.00,59.50,59.50,1519
3-Aug-17,60.00,60.44,59.65,60.00,1088
2-Aug-17,60.57,60.99,59.95,60.50,1964
1-Aug-17,62.00,62.78,61.00,61.00,2360
31-Jul-17,61.10,62.50,61.00,61.57,25906
28-Jul-17,60.20,60.93,60.00,60.90,11072
27-Jul-17,60.15,60.50,60.00,60.20,12348
26-Jul-17,59.60,60.49,59.60,60.49,3366
25-Jul-17,61.67,61.79,58.89,60.49,1590
24-Jul-17,62.10,62.10,61.62,62.00,382
21-Jul-17,63.50,63.50,62.20,62.53,405
20-Jul-17,62.62,63.49,62.30,63.00,1988
19-Jul-17,63.60,63.60,62.62,63.50,556
18-Jul-17,63.50,63.53,63.50,63.50,628
17-Jul-17,63.50,63.57,63.50,63.55,355
14-Jul-17,63.02,63.57,62.01,63.57,2162
13-Jul-17,63.59,63.59,62.70,62.70,258
12-Jul-17,62.00,62.99,62.00,62.54,445
11-Jul-17,61.90,61.95,61.75,61.80,343
10-Jul-17,62.00,62.00,61.25,61.99,500
7-Jul-17,63.50,63.51,61.12,62.00,2646
6-Jul-17,63.35,63.50,63.20,63.20,255
5-Jul-17,65.50,65.50,61.11,63.28,2834
4-Jul-17,68.00,68.30,67.54,67.54,99117
3-Jul-17,67.16,68.30,67.16,68.30,622
30-Jun-17,67.00,67.70,66.50,67.70,101484
29-Jun-17,67.30,67.30,66.10,67.00,2395
28-Jun-17,68.77,68.77,67.00,67.30,910
27-Jun-17,68.90,68.90,68.52,68.75,1918
26-Jun-17,68.80,68.80,68.46,68.61,1381
23-Jun-17,68.10,68.45,67.82,68.45,594
22-Jun-17,68.45,68.45,68.01,68.10,231
21-Jun-17,68.48,68.48,68.01,68.01,153
20-Jun-17,67.81,68.48,67.80,68.47,253
19-Jun-17,67.50,68.48,67.50,68.48,237
16-Jun-17,67.31,68.78,67.00,67.71,642
14-Jun-17,68.95,68.95,67.30,67.30,382
13-Jun-17,68.00,68.00,67.13,68.00,506
12-Jun-17,68.60,69.68,68.00,68.00,1634
9-Jun-17,69.01,69.11,68.52,68.55,643
8-Jun-17,69.49,69.49,68.55,69.00,2329
7-Jun-17,68.50,69.00,68.49,68.68,5368
6-Jun-17,67.90,68.60,67.53,68.60,980
5-Jun-17,67.00,67.99,67.00,67.90,2427
2-Jun-17,69.00,69.00,66.83,66.83,2086
1-Jun-17,69.00,69.50,68.50,69.00,6501
31-May-17,68.00,69.99,67.61,69.99,21742
30-May-17,67.00,68.20,66.00,68.10,4303
29-May-17,67.03,67.20,67.00,67.03,691
26-May-17,67.00,68.00,67.00,67.02,605
25-May-17,66.80,68.01,66.50,68.00,9867
24-May-17,66.50,66.90,65.50,66.78,2059
23-May-17,66.00,66.95,66.00,66.78,4509
22-May-17,66.50,67.00,64.02,66.98,6445
19-May-17,63.78,66.00,63.78,66.00,5960
18-May-17,63.06,63.79,62.50,63.65,1167
17-May-17,64.99,64.99,62.51,64.00,4585
16-May-17,64.00,65.40,64.00,65.05,23655
15-May-17,62.00,62.18,62.00,62.00,188
12-May-17,61.00,62.17,60.63,62.15,2329
11-May-17,62.19,62.19,60.30,62.18,2494
10-May-17,62.00,62.20,61.50,62.19,18579
9-May-17,61.88,62.40,61.00,62.00,1830
8-May-17,61.08,61.90,61.08,61.50,2443
5-May-17,60.30,61.99,60.30,61.99,1433
4-May-17,61.50,62.00,60.20,62.00,5317
2-May-17,62.19,62.35,60.51,61.77,2214
28-Apr-17,62.20,62.20,61.51,62.19,1083
27-Apr-17,61.80,62.56,61.00,62.56,3348
26-Apr-17,60.50,61.89,60.50,61.89,5229
25-Apr-17,60.20,60.90,59.50,60.30,14286
24-Apr-17,58.00,60.20,58.00,60.20,8701
21-Apr-17,58.00,58.14,58.00,58.14,8207
20-Apr-17,58.14,58.14,58.00,58.13,3844
19-Apr-17,58.00,58.05,57.50,58.00,14234
18-Apr-17,58.40,58.40,58.00,58.00,17114
13-Apr-17,58.23,58.40,58.00,58.00,389
12-Apr-17,57.40,58.49,57.20,58.40,10835
11-Apr-17,58.00,58.00,57.50,57.50,4060
10-Apr-17,58.00,58.79,57.90,57.90,12179
7-Apr-17,57.80,58.68,57.25,58.50,29994
6-Apr-17,58.00,58.30,57.80,57.90,269
5-Apr-17,58.70,58.70,58.10,58.10,2455
4-Apr-17,58.40,59.68,58.25,58.70,1308
3-Apr-17,59.70,59.70,57.83,58.36,3670
31-Mar-17,58.38,60.00,58.00,60.00,12102
30-Mar-17,58.30,58.30,57.81,58.30,1417
29-Mar-17,57.70,58.88,57.70,58.30,1943
28-Mar-17,57.48,57.95,57.30,57.70,11679
27-Mar-17,57.50,58.50,57.49,57.49,4600
24-Mar-17,59.15,59.90,58.30,59.90,1775
23-Mar-17,57.33,58.98,57.33,58.30,4909
22-Mar-17,58.30,58.30,56.50,57.30,5283
21-Mar-17,61.80,61.80,58.12,58.30,41757
20-Mar-17,63.21,64.39,62.30,62.38,1960
17-Mar-17,64.00,64.60,63.10,63.10,4376
16-Mar-17,64.30,64.60,63.80,64.00,3425
15-Mar-17,63.10,64.90,63.10,63.61,3654
14-Mar-17,61.94,62.80,61.55,62.20,3487
13-Mar-17,60.00,61.97,60.00,61.55,3934
10-Mar-17,61.00,61.20,59.75,59.75,4128
9-Mar-17,61.80,62.37,60.71,60.71,13741
8-Mar-17,63.89,63.89,61.80,61.80,5924
7-Mar-17,63.50,64.15,63.00,63.10,3743
6-Mar-17,62.50,63.40,62.50,62.85,2889
3-Mar-17,63.11,63.11,62.01,62.06,7857
2-Mar-17,64.30,64.75,63.72,64.07,6175
1-Mar-17,64.30,65.00,64.30,64.85,3554
28-Feb-17,65.90,65.90,64.50,64.99,12747
27-Feb-17,65.00,65.99,64.03,65.99,6420
24-Feb-17,64.00,65.00,62.01,65.00,26020
23-Feb-17,63.50,64.35,63.50,64.01,7732
22-Feb-17,63.20,63.50,62.49,63.00,5387
21-Feb-17,61.50,62.56,61.50,62.48,2974
20-Feb-17,61.50,61.59,61.20,61.40,817
17-Feb-17,61.60,61.60,60.40,61.00,3493
