b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,4.85,4.96,4.84,4.96,1989082
14-Sep-17,4.85,4.88,4.79,4.88,744704
13-Sep-17,4.86,4.90,4.73,4.80,975607
12-Sep-17,4.89,4.90,4.82,4.87,641300
11-Sep-17,4.89,4.90,4.82,4.89,478577
8-Sep-17,4.87,4.90,4.86,4.90,518534
7-Sep-17,4.89,4.90,4.84,4.89,1236913
6-Sep-17,4.88,4.90,4.77,4.89,953824
5-Sep-17,4.76,4.87,4.76,4.87,653113
4-Sep-17,4.87,4.87,4.61,4.78,486455
1-Sep-17,4.79,4.88,4.75,4.88,1172512
31-Aug-17,4.60,4.78,4.60,4.78,2467637
30-Aug-17,4.48,4.63,4.48,4.58,3015937
29-Aug-17,4.47,4.47,4.35,4.44,953953
28-Aug-17,4.35,4.48,4.33,4.46,1111145
25-Aug-17,4.27,4.36,4.25,4.35,1550205
24-Aug-17,4.30,4.30,4.26,4.27,808250
23-Aug-17,4.31,4.36,4.27,4.27,1669797
22-Aug-17,4.40,4.40,4.30,4.31,732041
21-Aug-17,4.28,4.40,4.28,4.39,1722827
18-Aug-17,4.26,4.27,4.23,4.26,988730
17-Aug-17,4.22,4.26,4.22,4.25,2216848
16-Aug-17,4.22,4.28,4.21,4.21,1330557
14-Aug-17,4.26,4.26,4.21,4.22,761658
11-Aug-17,4.33,4.33,4.24,4.28,939887
10-Aug-17,4.44,4.44,4.31,4.36,576357
9-Aug-17,4.40,4.43,4.36,4.43,441623
8-Aug-17,4.29,4.44,4.29,4.44,1313188
7-Aug-17,4.20,4.29,4.19,4.28,1974426
4-Aug-17,4.46,4.48,4.16,4.20,3324535
3-Aug-17,4.40,4.49,4.40,4.43,821271
2-Aug-17,4.44,4.44,4.40,4.40,736463
1-Aug-17,4.46,4.46,4.42,4.44,766597
31-Jul-17,4.50,4.50,4.41,4.44,1164847
28-Jul-17,4.57,4.62,4.47,4.50,1183110
27-Jul-17,4.69,4.71,4.57,4.61,747770
26-Jul-17,4.77,4.78,4.65,4.69,626700
25-Jul-17,4.77,4.78,4.67,4.76,731092
24-Jul-17,4.70,4.77,4.70,4.77,181372
21-Jul-17,4.77,4.78,4.71,4.71,268232
20-Jul-17,4.79,4.80,4.70,4.76,1654162
19-Jul-17,4.79,4.80,4.73,4.78,1279473
18-Jul-17,4.84,4.86,4.55,4.80,1234101
17-Jul-17,4.73,4.84,4.72,4.84,453560
14-Jul-17,4.82,4.82,4.71,4.78,391269
13-Jul-17,4.78,4.79,4.69,4.79,815941
12-Jul-17,4.59,4.82,4.59,4.82,949962
11-Jul-17,4.58,4.60,4.53,4.57,342925
10-Jul-17,4.57,4.59,4.54,4.56,206808
7-Jul-17,4.66,4.68,4.52,4.52,507034
6-Jul-17,4.69,4.72,4.65,4.70,514718
5-Jul-17,4.89,4.89,4.65,4.66,493062
4-Jul-17,4.86,4.91,4.82,4.89,1466335
3-Jul-17,4.83,4.88,4.81,4.88,898820
30-Jun-17,4.84,4.85,4.77,4.85,733367
29-Jun-17,4.72,4.83,4.70,4.80,1822912
28-Jun-17,4.71,4.75,4.63,4.70,1269971
27-Jun-17,4.58,4.74,4.58,4.71,1394810
26-Jun-17,4.45,4.58,4.42,4.58,757525
23-Jun-17,4.38,4.46,4.38,4.42,260850
22-Jun-17,4.45,4.49,4.36,4.36,358776
21-Jun-17,4.50,4.53,4.38,4.45,919146
20-Jun-17,4.54,4.56,4.51,4.56,457560
19-Jun-17,4.40,4.52,4.38,4.52,460685
16-Jun-17,4.53,4.55,4.37,4.40,1037672
14-Jun-17,4.50,4.52,4.46,4.50,634551
13-Jun-17,4.59,4.65,4.48,4.50,610436
12-Jun-17,4.62,4.66,4.54,4.62,915687
9-Jun-17,4.69,4.70,4.62,4.68,752355
8-Jun-17,4.63,4.71,4.61,4.71,691533
7-Jun-17,4.65,4.74,4.63,4.63,789042
6-Jun-17,4.59,4.71,4.49,4.67,1397807
5-Jun-17,4.73,4.75,4.56,4.57,740997
2-Jun-17,4.75,4.79,4.72,4.75,604871
1-Jun-17,4.90,4.90,4.70,4.72,712705
31-May-17,4.71,4.90,4.71,4.90,5301051
30-May-17,4.74,4.77,4.66,4.74,1047403
29-May-17,4.85,4.86,4.71,4.71,1776259
26-May-17,4.92,4.92,4.78,4.86,968280
25-May-17,5.00,5.00,4.86,4.92,1403488
24-May-17,4.90,5.00,4.90,4.99,2742778
23-May-17,4.96,4.96,4.89,4.89,1043287
22-May-17,4.95,4.99,4.93,4.96,1532591
19-May-17,4.90,4.95,4.88,4.93,5376538
18-May-17,4.85,4.93,4.74,4.87,1965894
17-May-17,4.92,4.97,4.90,4.90,1025339
16-May-17,4.88,4.94,4.87,4.90,940627
15-May-17,4.89,4.92,4.86,4.86,1561235
12-May-17,5.00,5.00,4.84,4.84,3064037
11-May-17,5.54,5.54,5.42,5.45,4888452
10-May-17,5.55,5.57,5.46,5.50,4586056
9-May-17,5.59,5.71,5.44,5.50,2110581
8-May-17,5.48,5.72,5.35,5.53,3396697
5-May-17,5.53,5.53,5.39,5.45,970481
4-May-17,5.55,5.59,5.47,5.53,3468014
2-May-17,5.65,5.76,5.45,5.55,2618650
28-Apr-17,5.35,5.44,5.35,5.39,1623696
27-Apr-17,5.30,5.38,5.27,5.33,2468690
26-Apr-17,5.30,5.35,5.30,5.33,883348
25-Apr-17,5.25,5.30,5.18,5.30,1999026
24-Apr-17,5.23,5.29,5.22,5.24,889529
21-Apr-17,5.32,5.39,5.18,5.21,2157061
20-Apr-17,5.19,5.35,5.14,5.35,2160286
19-Apr-17,5.30,5.30,5.20,5.21,2555133
18-Apr-17,5.32,5.35,5.25,5.30,1934205
13-Apr-17,5.36,5.40,5.30,5.32,1074023
12-Apr-17,5.32,5.46,5.32,5.35,1069851
11-Apr-17,5.35,5.47,5.33,5.36,981584
10-Apr-17,5.55,5.55,5.31,5.32,1483445
7-Apr-17,5.72,5.72,5.47,5.50,2557086
6-Apr-17,5.75,5.88,5.74,5.78,2910602
5-Apr-17,5.48,5.59,5.47,5.53,809785
4-Apr-17,5.38,5.46,5.34,5.46,655031
3-Apr-17,5.25,5.40,5.24,5.38,512386
31-Mar-17,5.28,5.34,5.25,5.25,434280
30-Mar-17,5.29,5.33,5.25,5.27,378989
29-Mar-17,5.40,5.42,5.30,5.35,615611
28-Mar-17,5.40,5.40,5.35,5.40,524859
27-Mar-17,5.38,5.42,5.35,5.40,488423
24-Mar-17,5.37,5.47,5.37,5.45,1198548
23-Mar-17,5.18,5.53,5.08,5.35,2942778
22-Mar-17,5.29,5.29,5.20,5.23,743618
21-Mar-17,5.32,5.37,5.28,5.36,1199039
20-Mar-17,5.40,5.42,5.27,5.30,513375
17-Mar-17,5.42,5.46,5.36,5.41,1529328
16-Mar-17,5.31,5.45,5.31,5.35,1252475
15-Mar-17,5.20,5.36,5.18,5.25,1802767
14-Mar-17,5.53,5.53,5.16,5.20,2395016
13-Mar-17,5.47,5.53,5.41,5.47,1059665
10-Mar-17,5.40,5.57,5.40,5.57,1760796
9-Mar-17,5.62,5.69,5.34,5.47,1619010
8-Mar-17,5.62,5.80,5.56,5.62,1053463
7-Mar-17,5.72,5.73,5.60,5.61,1260504
6-Mar-17,5.88,5.88,5.73,5.73,505825
3-Mar-17,5.95,5.95,5.84,5.88,625086
2-Mar-17,5.87,5.97,5.87,5.93,1309277
1-Mar-17,5.98,5.98,5.77,5.87,957999
28-Feb-17,5.88,6.00,5.85,5.88,2769108
27-Feb-17,5.85,5.96,5.84,5.87,433528
24-Feb-17,5.95,5.97,5.82,5.85,575022
23-Feb-17,5.93,5.98,5.90,5.97,882437
22-Feb-17,5.95,5.95,5.90,5.95,445015
21-Feb-17,5.85,5.94,5.85,5.94,676154
20-Feb-17,5.74,5.84,5.61,5.82,961878
17-Feb-17,5.95,5.95,5.66,5.69,3315353
16-Feb-17,6.00,6.04,5.82,5.95,2214458
15-Feb-17,6.03,6.10,5.91,6.00,2079988
14-Feb-17,6.01,6.03,5.98,6.02,1842157
13-Feb-17,5.94,6.01,5.94,6.00,1561982
10-Feb-17,5.94,5.99,5.87,5.93,639994
9-Feb-17,5.75,5.89,5.74,5.89,1821902
8-Feb-17,5.76,5.77,5.67,5.77,2553109
7-Feb-17,5.74,5.83,5.71,5.76,1982960
6-Feb-17,5.60,5.71,5.59,5.71,1746124
3-Feb-17,5.85,5.86,5.53,5.65,3300032
2-Feb-17,6.05,6.05,5.76,5.86,4604999
1-Feb-17,6.02,6.05,6.00,6.05,2775763
31-Jan-17,6.00,6.04,5.95,6.00,2184757
30-Jan-17,5.94,6.08,5.91,6.00,3109963
27-Jan-17,5.95,5.98,5.90,5.95,3763345
26-Jan-17,5.94,5.98,5.89,5.95,2183646
25-Jan-17,5.86,5.99,5.84,5.93,2977074
24-Jan-17,5.52,5.92,5.52,5.83,4788803
23-Jan-17,5.54,5.54,5.47,5.54,1145427
20-Jan-17,5.45,5.56,5.32,5.54,2092884
19-Jan-17,5.50,5.69,5.45,5.47,1495311
18-Jan-17,5.39,5.50,5.37,5.47,2873650
17-Jan-17,5.24,5.35,5.24,5.34,3691531
16-Jan-17,5.32,5.32,5.22,5.30,2038093
13-Jan-17,5.34,5.34,5.20,5.31,2943899
12-Jan-17,5.21,5.37,5.21,5.31,4318828
11-Jan-17,5.10,5.22,5.02,5.21,3444903
10-Jan-17,4.94,5.10,4.94,5.07,4929997
9-Jan-17,4.78,4.94,4.75,4.94,853246
5-Jan-17,4.76,4.79,4.70,4.77,755158
4-Jan-17,4.67,4.76,4.66,4.76,759450
3-Jan-17,4.55,4.68,4.55,4.67,1816843
2-Jan-17,4.61,4.61,4.48,4.57,517122
30-Dec-16,4.60,4.62,4.53,4.56,2513195
29-Dec-16,4.45,4.55,4.44,4.55,1795907
28-Dec-16,4.47,4.48,4.39,4.47,1224733
27-Dec-16,4.42,4.47,4.41,4.47,288812
23-Dec-16,4.44,4.44,4.36,4.42,413295
22-Dec-16,4.42,4.44,4.36,4.44,730291
21-Dec-16,4.52,4.52,4.37,4.40,1302395
