b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,470.00,470.00,460.00,469.00,2680
14-Sep-17,475.90,475.90,460.00,472.00,2510
13-Sep-17,471.15,479.00,467.00,473.00,1710
12-Sep-17,444.00,471.10,443.50,471.10,13878
11-Sep-17,456.00,457.95,434.10,449.00,4008
8-Sep-17,481.30,482.00,455.50,458.80,9782
7-Sep-17,491.05,491.05,476.00,483.80,1757
6-Sep-17,505.00,505.00,480.15,490.00,3975
5-Sep-17,504.00,505.00,499.00,501.50,6404
4-Sep-17,501.00,503.95,473.00,498.00,3425
1-Sep-17,519.95,532.85,493.00,501.00,16124
31-Aug-17,507.50,529.85,502.00,519.95,18316
30-Aug-17,552.00,560.00,550.15,559.50,649
29-Aug-17,558.40,561.10,546.05,560.00,512
28-Aug-17,542.05,561.50,542.00,561.00,3368
25-Aug-17,544.85,556.95,542.00,542.00,2541
24-Aug-17,535.55,545.00,531.00,540.00,808
23-Aug-17,544.00,545.00,528.05,533.00,3298
22-Aug-17,561.00,561.10,550.00,550.00,1338
21-Aug-17,555.00,564.65,555.00,561.00,1736
18-Aug-17,559.00,559.00,543.20,553.00,1041
17-Aug-17,547.00,561.95,546.80,559.00,1428
16-Aug-17,538.95,546.45,533.00,541.60,5767
14-Aug-17,530.00,539.05,528.05,531.75,776
11-Aug-17,524.00,535.00,517.65,524.50,1911
10-Aug-17,535.00,539.50,522.20,524.00,4771
9-Aug-17,509.00,530.55,509.00,530.00,4805
8-Aug-17,499.00,505.00,495.10,500.00,20193
7-Aug-17,498.95,498.95,495.10,495.15,223
4-Aug-17,498.00,500.05,495.05,495.05,3454
3-Aug-17,500.00,500.00,499.00,500.00,5216
2-Aug-17,500.90,500.90,497.40,500.00,6280
1-Aug-17,502.00,504.50,498.20,500.90,2249
31-Jul-17,499.00,500.00,496.50,500.00,1594
28-Jul-17,486.00,500.00,482.70,499.50,553
27-Jul-17,483.30,494.05,483.30,486.00,699
26-Jul-17,482.60,492.00,482.50,487.05,2672
25-Jul-17,492.00,492.00,485.05,486.05,369
24-Jul-17,491.20,495.05,485.00,494.75,917
21-Jul-17,490.50,497.00,490.50,491.45,61
20-Jul-17,496.05,498.85,490.00,497.95,333
19-Jul-17,496.05,500.50,496.05,497.00,268
18-Jul-17,500.00,500.00,495.00,500.00,1820
17-Jul-17,500.00,500.00,497.00,500.00,162
14-Jul-17,499.95,500.00,495.50,500.00,365
13-Jul-17,500.00,500.00,492.30,500.00,501
12-Jul-17,500.05,503.60,497.15,502.70,5094
11-Jul-17,504.00,504.00,500.50,501.00,120
10-Jul-17,491.00,505.00,488.05,505.00,569
7-Jul-17,503.90,503.90,486.50,491.05,789
6-Jul-17,499.00,505.00,495.55,504.90,1154
5-Jul-17,510.00,515.00,493.00,502.95,334
4-Jul-17,509.00,518.00,505.60,510.00,882
3-Jul-17,514.00,516.00,500.00,514.50,234
30-Jun-17,492.55,515.00,492.55,513.90,1033
29-Jun-17,495.00,503.00,493.00,500.00,280
28-Jun-17,500.00,503.90,493.05,500.00,1834
27-Jun-17,497.00,505.00,490.05,504.00,2442
26-Jun-17,485.10,498.00,485.10,496.90,6946
23-Jun-17,497.55,516.95,480.00,481.50,4745
22-Jun-17,495.00,503.50,490.00,499.90,5180
21-Jun-17,479.55,503.95,471.00,495.00,3437
20-Jun-17,472.90,474.50,455.10,474.50,428
19-Jun-17,460.95,469.35,449.00,464.90,841
16-Jun-17,449.05,464.00,449.00,460.95,416
14-Jun-17,461.55,463.40,446.95,447.95,1705
13-Jun-17,470.00,470.00,461.00,464.00,976
12-Jun-17,475.00,476.45,474.00,474.50,1896
9-Jun-17,480.15,481.00,476.00,476.00,688
8-Jun-17,481.00,490.00,473.50,485.00,1918
7-Jun-17,493.00,493.00,480.05,481.00,1208
6-Jun-17,512.00,512.00,492.00,495.05,517
5-Jun-17,523.75,523.75,510.10,510.10,146
2-Jun-17,525.00,525.00,516.00,516.60,505
1-Jun-17,511.05,521.95,511.00,520.00,255
31-May-17,534.50,536.00,510.00,510.15,1564
30-May-17,525.95,538.00,525.95,529.70,880
29-May-17,521.00,526.00,521.00,522.55,294
26-May-17,516.20,521.00,510.05,520.00,9351
25-May-17,516.80,518.90,511.00,518.90,45
24-May-17,509.30,513.35,507.00,511.00,479
23-May-17,507.80,517.00,503.00,517.00,3031
22-May-17,491.00,509.80,491.00,503.00,724
19-May-17,486.00,503.50,486.00,491.00,1179
18-May-17,503.05,503.05,475.00,486.00,1026
17-May-17,526.00,526.00,503.00,503.00,351
