b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,4.16,4.21,4.15,4.21,25212
14-Sep-17,4.18,4.19,4.14,4.18,35190
13-Sep-17,4.17,4.25,4.11,4.19,67323
12-Sep-17,4.26,4.26,4.15,4.17,89891
11-Sep-17,4.27,4.28,4.22,4.28,30133
8-Sep-17,4.24,4.27,4.22,4.27,26511
7-Sep-17,4.27,4.27,4.25,4.25,44314
6-Sep-17,4.25,4.28,4.25,4.28,34894
5-Sep-17,4.30,4.30,4.26,4.26,17042
4-Sep-17,4.25,4.30,4.25,4.28,33492
1-Sep-17,4.29,4.30,4.24,4.28,32788
31-Aug-17,4.28,4.29,4.25,4.29,10711
30-Aug-17,4.29,4.29,4.23,4.28,54606
29-Aug-17,4.22,4.28,4.20,4.28,29791
28-Aug-17,4.30,4.31,4.08,4.21,157064
25-Aug-17,4.34,4.34,4.29,4.29,157927
24-Aug-17,4.32,4.34,4.30,4.34,277278
23-Aug-17,4.32,4.34,4.30,4.34,39220
22-Aug-17,4.32,4.33,4.28,4.32,77740
21-Aug-17,4.32,4.32,4.25,4.31,164265
18-Aug-17,4.32,4.32,4.26,4.31,59986
17-Aug-17,4.32,4.36,4.28,4.32,183060
16-Aug-17,4.27,4.30,4.24,4.29,220901
14-Aug-17,4.19,4.26,4.19,4.26,31930
11-Aug-17,4.23,4.23,4.14,4.17,73308
10-Aug-17,4.12,4.38,4.12,4.20,576215
9-Aug-17,4.12,4.12,4.06,4.07,50399
8-Aug-17,4.09,4.15,4.05,4.12,115490
7-Aug-17,4.26,4.26,4.05,4.06,625228
4-Aug-17,4.26,4.30,4.24,4.26,24326
3-Aug-17,4.36,4.39,4.24,4.31,53539
2-Aug-17,4.25,4.39,4.24,4.34,767602
1-Aug-17,4.26,4.27,4.24,4.25,18651
31-Jul-17,4.28,4.28,4.26,4.26,19753
28-Jul-17,4.28,4.28,4.26,4.28,32876
27-Jul-17,4.29,4.29,4.26,4.26,10121
26-Jul-17,4.29,4.29,4.26,4.29,66639
25-Jul-17,4.31,4.31,4.26,4.27,28046
24-Jul-17,4.31,4.31,4.25,4.31,168056
