b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,12.15,12.19,12.07,12.14,2953
14-Sep-17,12.19,12.19,11.95,12.08,358658
13-Sep-17,12.18,12.18,12.03,12.05,155604
12-Sep-17,12.06,12.10,12.05,12.09,7367
11-Sep-17,11.89,12.05,11.87,12.05,22939
8-Sep-17,12.02,12.02,11.80,11.84,2797
7-Sep-17,12.02,12.02,11.95,11.98,5121
6-Sep-17,11.80,11.95,11.76,11.94,12029
5-Sep-17,12.00,12.14,11.95,11.95,22593
4-Sep-17,11.81,12.13,11.72,12.04,87468
1-Sep-17,11.61,12.00,11.53,11.81,79858
31-Aug-17,11.70,11.70,11.52,11.62,73852
30-Aug-17,11.99,12.00,11.70,11.73,26631
29-Aug-17,12.35,12.35,12.00,12.00,15181
28-Aug-17,12.51,12.52,12.32,12.36,29804
25-Aug-17,12.85,12.85,12.50,12.51,10217
24-Aug-17,12.48,12.55,12.45,12.50,40817
23-Aug-17,12.57,12.58,12.45,12.50,9399
22-Aug-17,12.71,12.71,12.55,12.58,19467
21-Aug-17,12.85,12.91,12.60,12.70,7803
18-Aug-17,12.80,12.95,12.52,12.80,10745
17-Aug-17,12.80,12.80,12.63,12.73,5768
16-Aug-17,12.79,12.81,12.40,12.63,12597
14-Aug-17,12.99,12.99,12.60,12.60,14533
11-Aug-17,13.10,13.10,12.81,12.95,2956
10-Aug-17,13.44,13.44,12.97,12.97,10407
9-Aug-17,13.54,13.61,13.20,13.37,18406
8-Aug-17,13.66,13.66,13.10,13.20,20236
7-Aug-17,13.40,13.60,13.19,13.20,109390
4-Aug-17,13.16,13.45,13.10,13.19,18949
3-Aug-17,13.20,13.20,13.00,13.10,37930
2-Aug-17,13.39,13.39,13.18,13.20,35505
1-Aug-17,13.40,13.40,13.19,13.35,4589
31-Jul-17,13.57,13.57,13.25,13.47,28157
28-Jul-17,13.29,13.50,13.20,13.45,27226
27-Jul-17,12.99,13.35,12.97,13.20,37467
26-Jul-17,12.40,12.95,12.38,12.95,270255
25-Jul-17,12.40,12.40,12.25,12.34,7165
24-Jul-17,12.34,12.35,12.30,12.35,9234
21-Jul-17,12.40,12.40,12.31,12.34,2254
20-Jul-17,12.54,12.54,12.32,12.32,54341
19-Jul-17,12.27,12.50,12.25,12.39,4191
18-Jul-17,12.50,12.54,12.30,12.34,8404
17-Jul-17,12.57,12.60,12.42,12.50,5837
14-Jul-17,12.50,12.75,12.49,12.57,8768
13-Jul-17,12.61,12.61,12.45,12.49,1707
12-Jul-17,12.74,12.74,12.52,12.62,4244
11-Jul-17,12.85,12.85,12.51,12.55,4136
10-Jul-17,12.75,12.75,12.55,12.55,1976
7-Jul-17,12.75,12.75,12.34,12.58,6641
6-Jul-17,12.70,12.79,12.69,12.77,27678
5-Jul-17,12.60,12.69,12.51,12.69,5302
4-Jul-17,12.80,12.80,12.69,12.69,3440
3-Jul-17,12.80,12.80,12.70,12.80,16479
30-Jun-17,12.87,12.87,12.70,12.80,2541
29-Jun-17,12.98,12.99,12.80,12.89,59711
28-Jun-17,12.68,12.90,12.50,12.90,12233
27-Jun-17,12.54,12.81,12.53,12.78,4579
26-Jun-17,11.96,12.57,11.96,12.57,18601
23-Jun-17,11.82,11.94,11.82,11.94,2335
22-Jun-17,11.86,11.96,11.80,11.96,7317
21-Jun-17,12.19,12.19,11.91,12.02,12234
20-Jun-17,12.14,12.19,12.03,12.10,1714
19-Jun-17,12.30,12.30,12.10,12.15,1540
16-Jun-17,12.25,12.25,12.19,12.19,1725
14-Jun-17,12.06,12.25,12.04,12.21,9659
13-Jun-17,12.20,12.25,12.15,12.25,7988
12-Jun-17,12.40,12.49,12.18,12.29,47081
9-Jun-17,12.40,12.40,12.32,12.38,5395
8-Jun-17,12.22,12.28,12.17,12.25,2646
7-Jun-17,12.40,12.40,12.17,12.24,4200
6-Jun-17,12.38,12.38,12.20,12.22,57786
5-Jun-17,12.45,12.45,12.22,12.22,1249
2-Jun-17,12.42,12.42,12.25,12.30,3727
1-Jun-17,12.47,12.47,12.26,12.37,4547
31-May-17,12.50,12.50,12.11,12.47,10166
30-May-17,12.41,12.43,12.11,12.43,5262
29-May-17,12.40,12.43,12.27,12.43,1800
26-May-17,12.40,12.40,12.39,12.40,209
25-May-17,12.40,12.40,12.35,12.40,1920
24-May-17,11.83,12.40,11.83,12.40,15490
23-May-17,12.50,12.50,11.51,12.20,16796
22-May-17,12.61,12.61,12.46,12.50,3404
19-May-17,12.80,12.80,12.50,12.61,5372
18-May-17,12.73,12.73,12.50,12.51,4514
17-May-17,12.91,12.91,12.65,12.71,3232
16-May-17,13.00,13.00,12.87,12.97,1864
15-May-17,12.95,12.95,12.87,12.94,2526
12-May-17,12.90,13.00,12.81,12.82,7497
11-May-17,13.10,13.10,12.59,12.90,4124
10-May-17,12.90,13.09,12.80,12.80,62672
9-May-17,13.00,13.00,12.80,12.89,2677
8-May-17,13.15,13.15,13.03,13.13,1198
5-May-17,13.19,13.19,13.10,13.15,2564
4-May-17,13.20,13.20,12.95,13.10,6841
2-May-17,12.90,13.25,12.90,13.23,6573
28-Apr-17,12.81,12.89,12.50,12.89,206248
27-Apr-17,12.25,12.75,12.25,12.75,20406
26-Apr-17,12.75,12.75,12.52,12.69,3963
