b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,3.84,3.89,3.82,3.86,6449220
14-Sep-17,3.95,3.95,3.81,3.85,3776422
13-Sep-17,4.00,4.00,3.94,3.94,2814050
12-Sep-17,3.99,4.01,3.97,4.00,2156184
11-Sep-17,3.97,4.01,3.96,3.98,2429831
8-Sep-17,3.90,3.97,3.88,3.97,2941791
7-Sep-17,3.87,3.90,3.84,3.90,4381416
6-Sep-17,3.94,3.94,3.83,3.84,3968772
5-Sep-17,3.93,3.99,3.92,3.92,1713447
4-Sep-17,3.93,3.94,3.89,3.93,1279700
1-Sep-17,3.91,3.94,3.89,3.94,2242204
31-Aug-17,3.95,3.98,3.89,3.92,3754575
30-Aug-17,4.02,4.05,3.95,3.95,4724481
29-Aug-17,4.12,4.12,4.00,4.02,4643699
28-Aug-17,4.08,4.12,4.05,4.12,2450553
25-Aug-17,4.06,4.09,4.03,4.08,2472502
24-Aug-17,3.94,4.06,3.94,4.06,7332587
23-Aug-17,3.97,3.98,3.92,3.92,1998104
22-Aug-17,3.99,4.03,3.90,3.96,4588968
21-Aug-17,3.78,3.98,3.76,3.98,5521681
18-Aug-17,3.73,3.79,3.68,3.74,4189789
17-Aug-17,3.70,3.81,3.68,3.68,5385113
16-Aug-17,3.76,3.80,3.71,3.71,4247399
14-Aug-17,3.75,3.80,3.71,3.71,2224811
11-Aug-17,3.69,3.79,3.66,3.73,2642781
10-Aug-17,3.75,3.78,3.70,3.70,1830980
9-Aug-17,3.85,3.87,3.72,3.75,3589289
8-Aug-17,3.84,3.91,3.81,3.85,2747867
7-Aug-17,3.81,3.86,3.79,3.84,2949788
4-Aug-17,3.80,3.86,3.80,3.80,990756
3-Aug-17,3.89,3.90,3.80,3.81,3262256
2-Aug-17,3.89,3.95,3.87,3.87,4594959
1-Aug-17,3.80,3.88,3.80,3.85,3032710
31-Jul-17,3.74,3.82,3.74,3.81,3787032
28-Jul-17,3.77,3.77,3.69,3.77,2243021
27-Jul-17,3.78,3.78,3.70,3.78,1612983
26-Jul-17,3.79,3.82,3.75,3.75,1356621
25-Jul-17,3.79,3.80,3.73,3.77,2036171
24-Jul-17,3.85,3.85,3.76,3.76,1323264
21-Jul-17,3.76,3.85,3.75,3.82,3850016
20-Jul-17,3.80,3.82,3.76,3.76,2667593
19-Jul-17,3.80,3.81,3.77,3.79,2618412
18-Jul-17,3.78,3.80,3.75,3.80,2571360
17-Jul-17,3.74,3.79,3.74,3.78,2880416
14-Jul-17,3.69,3.76,3.69,3.73,2980502
13-Jul-17,3.62,3.70,3.61,3.70,4462151
12-Jul-17,3.63,3.67,3.59,3.59,3635535
11-Jul-17,3.66,3.69,3.64,3.64,1972805
10-Jul-17,3.60,3.67,3.59,3.67,2230406
7-Jul-17,3.50,3.60,3.48,3.60,2184654
6-Jul-17,3.53,3.55,3.49,3.49,2831710
5-Jul-17,3.48,3.50,3.46,3.50,1672358
4-Jul-17,3.56,3.56,3.45,3.46,1940957
3-Jul-17,3.60,3.64,3.55,3.57,2279412
30-Jun-17,3.59,3.62,3.55,3.58,3442411
29-Jun-17,3.63,3.65,3.57,3.59,1811051
28-Jun-17,3.62,3.65,3.59,3.61,2614141
27-Jun-17,3.65,3.66,3.61,3.64,3470555
26-Jun-17,3.60,3.67,3.60,3.65,1468055
23-Jun-17,3.60,3.64,3.59,3.60,1501079
22-Jun-17,3.67,3.69,3.60,3.60,2164262
21-Jun-17,3.65,3.68,3.59,3.68,4253289
20-Jun-17,3.70,3.70,3.61,3.68,2839423
19-Jun-17,3.59,3.70,3.59,3.70,2932250
16-Jun-17,3.61,3.62,3.58,3.59,5308131
14-Jun-17,3.51,3.62,3.48,3.59,5474556
13-Jun-17,3.50,3.54,3.44,3.53,2587710
12-Jun-17,3.49,3.51,3.43,3.50,2012360
9-Jun-17,3.44,3.52,3.42,3.49,4019705
8-Jun-17,3.42,3.46,3.38,3.44,4923403
7-Jun-17,3.38,3.44,3.37,3.44,3538113
6-Jun-17,3.33,3.42,3.31,3.38,2400806
5-Jun-17,3.40,3.41,3.35,3.36,1635096
2-Jun-17,3.39,3.44,3.36,3.42,1810793
1-Jun-17,3.23,3.35,3.23,3.35,3550292
31-May-17,3.33,3.37,3.22,3.22,6304073
30-May-17,3.39,3.41,3.29,3.30,2124700
29-May-17,3.41,3.42,3.38,3.42,287954
26-May-17,3.43,3.43,3.37,3.41,1356610
25-May-17,3.43,3.49,3.38,3.41,4909188
24-May-17,3.33,3.44,3.32,3.44,3075024
23-May-17,3.32,3.36,3.29,3.33,2820337
22-May-17,3.32,3.34,3.27,3.32,2194186
19-May-17,3.23,3.37,3.23,3.32,2902655
18-May-17,3.26,3.31,3.20,3.25,3313471
17-May-17,3.31,3.31,3.26,3.29,3017456
16-May-17,3.35,3.38,3.25,3.28,2498682
15-May-17,3.45,3.45,3.33,3.34,2089305
12-May-17,3.45,3.46,3.38,3.42,2940697
11-May-17,3.38,3.52,3.35,3.47,6315072
10-May-17,3.34,3.41,3.33,3.34,2824226
9-May-17,3.29,3.36,3.26,3.36,2101449
8-May-17,3.32,3.36,3.27,3.27,2985743
5-May-17,3.33,3.33,3.26,3.32,1758480
4-May-17,3.26,3.34,3.26,3.33,3851338
2-May-17,3.29,3.34,3.26,3.27,3447151
28-Apr-17,3.32,3.38,3.29,3.29,6270583
27-Apr-17,3.17,3.25,3.16,3.25,2821758
26-Apr-17,3.18,3.19,3.15,3.18,3583052
25-Apr-17,3.13,3.19,3.12,3.18,3403336
24-Apr-17,3.18,3.21,3.12,3.12,2729426
21-Apr-17,3.15,3.21,3.12,3.13,3127565
20-Apr-17,3.17,3.18,3.11,3.16,5201188
19-Apr-17,3.23,3.25,3.14,3.14,6020766
18-Apr-17,3.33,3.34,3.23,3.23,4324283
13-Apr-17,3.27,3.34,3.23,3.34,5110656
12-Apr-17,3.34,3.35,3.27,3.27,5722398
11-Apr-17,3.32,3.34,3.32,3.34,3987773
10-Apr-17,3.34,3.34,3.31,3.32,2163466
7-Apr-17,3.26,3.34,3.25,3.34,2938215
6-Apr-17,3.30,3.30,3.24,3.24,3158333
5-Apr-17,3.35,3.35,3.30,3.31,3276436
4-Apr-17,3.33,3.36,3.32,3.35,2048909
3-Apr-17,3.39,3.39,3.31,3.35,2615350
31-Mar-17,3.34,3.40,3.32,3.39,3040432
30-Mar-17,3.35,3.39,3.31,3.36,5288877
29-Mar-17,3.42,3.43,3.31,3.35,3893634
28-Mar-17,3.19,3.43,3.19,3.43,8497599
27-Mar-17,3.15,3.20,3.11,3.20,2190278
24-Mar-17,3.13,3.19,3.13,3.17,2502484
23-Mar-17,3.12,3.16,3.09,3.15,2673554
22-Mar-17,3.13,3.14,3.07,3.13,3219203
21-Mar-17,3.18,3.22,3.14,3.17,2921135
20-Mar-17,3.15,3.19,3.14,3.18,2148989
17-Mar-17,3.17,3.20,3.13,3.15,9801468
16-Mar-17,3.10,3.16,3.09,3.16,3572229
15-Mar-17,3.12,3.13,3.06,3.06,3290844
14-Mar-17,3.16,3.16,3.11,3.12,3965199
13-Mar-17,3.15,3.21,3.15,3.18,2510706
10-Mar-17,3.14,3.21,3.14,3.17,2628648
9-Mar-17,3.20,3.20,3.11,3.17,6130421
8-Mar-17,3.24,3.25,3.17,3.21,3405634
7-Mar-17,3.18,3.24,3.12,3.24,4096558
6-Mar-17,3.23,3.25,3.18,3.18,2605106
3-Mar-17,3.14,3.23,3.11,3.23,6066662
2-Mar-17,3.08,3.17,3.07,3.16,8088093
1-Mar-17,3.00,3.09,2.99,3.09,5847395
28-Feb-17,2.97,3.00,2.93,3.00,5033765
27-Feb-17,2.98,2.98,2.95,2.97,1138242
24-Feb-17,2.98,2.99,2.94,2.98,3115144
23-Feb-17,3.00,3.00,2.97,2.97,2636795
22-Feb-17,2.97,3.00,2.95,3.00,3023608
21-Feb-17,2.92,2.96,2.91,2.94,2467493
20-Feb-17,2.97,2.97,2.92,2.92,1498247
