b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,12.60,12.60,12.12,12.15,90375
14-Sep-17,12.80,12.81,12.61,12.63,53983
13-Sep-17,12.94,13.18,12.80,12.80,57107
12-Sep-17,13.14,13.14,12.94,12.95,19093
11-Sep-17,12.93,13.07,12.90,13.05,16275
8-Sep-17,12.98,13.07,12.91,12.96,23045
7-Sep-17,13.00,13.12,13.00,13.12,25577
6-Sep-17,13.00,13.09,12.92,13.01,13769
5-Sep-17,13.03,13.19,12.95,13.08,15444
4-Sep-17,12.90,13.09,12.83,13.04,18890
1-Sep-17,12.70,12.90,12.51,12.90,22880
31-Aug-17,12.45,12.97,11.92,12.70,332336
30-Aug-17,13.13,13.50,13.13,13.25,13948
29-Aug-17,13.50,13.60,13.10,13.16,18621
28-Aug-17,13.50,13.63,13.40,13.48,8653
25-Aug-17,13.50,13.55,13.19,13.40,17580
24-Aug-17,13.38,13.50,13.17,13.38,11087
23-Aug-17,13.68,13.73,13.22,13.38,19451
22-Aug-17,13.39,13.73,13.25,13.70,35060
21-Aug-17,13.27,13.43,13.09,13.38,23647
18-Aug-17,13.15,13.34,13.11,13.26,16440
17-Aug-17,12.71,13.32,12.70,13.30,127748
16-Aug-17,12.53,12.85,12.53,12.61,35372
14-Aug-17,12.50,12.55,12.40,12.50,11431
11-Aug-17,12.75,12.89,12.33,12.41,185596
10-Aug-17,13.00,13.00,12.75,12.75,53308
9-Aug-17,13.40,13.44,12.84,12.97,58850
8-Aug-17,13.45,13.58,13.25,13.40,44915
7-Aug-17,13.25,13.58,12.94,13.50,38977
4-Aug-17,12.90,13.05,12.88,12.91,77771
3-Aug-17,13.29,13.29,12.88,12.88,95661
2-Aug-17,13.42,13.62,13.15,13.15,126368
1-Aug-17,13.60,13.69,13.30,13.40,175118
31-Jul-17,13.69,13.69,13.28,13.60,106507
28-Jul-17,13.60,13.70,13.50,13.60,42076
27-Jul-17,13.76,13.94,13.50,13.57,66784
26-Jul-17,13.95,13.95,13.60,13.85,50922
25-Jul-17,13.60,13.94,13.60,13.91,25486
24-Jul-17,13.85,14.00,13.50,13.60,49367
21-Jul-17,14.55,14.68,13.87,13.87,163187
20-Jul-17,14.56,14.80,14.56,14.60,82038
19-Jul-17,14.80,14.80,14.55,14.58,21341
18-Jul-17,14.85,15.00,14.72,14.77,21930
17-Jul-17,14.93,15.04,14.72,15.00,18795
14-Jul-17,14.55,14.95,14.55,14.71,22777
13-Jul-17,14.89,14.94,14.47,14.53,27390
12-Jul-17,14.84,14.99,14.80,14.90,8370
11-Jul-17,15.00,15.00,14.85,14.85,14775
10-Jul-17,15.02,15.07,14.81,14.90,57121
7-Jul-17,15.26,15.26,14.82,14.90,85604
6-Jul-17,14.85,15.29,14.85,15.29,36673
5-Jul-17,15.02,15.12,14.78,14.90,23278
4-Jul-17,15.15,15.15,14.85,15.04,42917
3-Jul-17,15.20,15.34,15.20,15.30,13086
30-Jun-17,15.36,15.50,15.10,15.12,115661
29-Jun-17,15.46,15.57,15.38,15.57,56341
28-Jun-17,15.55,15.55,15.35,15.48,14976
27-Jun-17,15.30,15.49,15.11,15.48,38163
26-Jun-17,14.92,15.34,14.80,15.31,103811
23-Jun-17,14.65,15.01,14.65,14.92,26317
22-Jun-17,14.52,14.76,14.52,14.70,24786
21-Jun-17,14.59,14.69,14.52,14.55,40950
20-Jun-17,14.96,14.96,14.55,14.59,31521
19-Jun-17,14.67,14.98,14.66,14.72,26276
16-Jun-17,14.85,15.10,14.67,14.67,14356
14-Jun-17,15.00,15.14,14.78,14.84,29224
13-Jun-17,14.93,14.95,14.70,14.95,22887
12-Jun-17,14.85,15.07,14.84,14.98,21496
9-Jun-17,14.85,15.09,14.84,14.87,13416
8-Jun-17,15.00,15.01,14.85,14.85,13383
7-Jun-17,15.00,15.25,14.91,14.91,19540
6-Jun-17,15.11,15.15,14.90,14.91,15927
5-Jun-17,15.20,15.35,15.00,15.11,39807
2-Jun-17,15.80,15.80,15.09,15.35,75736
1-Jun-17,15.23,15.57,15.22,15.42,88011
31-May-17,15.04,15.15,14.69,15.15,177238
30-May-17,15.03,15.15,15.02,15.04,123536
29-May-17,15.22,15.23,15.01,15.01,17773
26-May-17,15.25,15.25,15.11,15.12,138807
25-May-17,15.08,15.55,15.08,15.25,37997
24-May-17,14.55,15.35,14.55,15.08,63564
23-May-17,14.45,14.75,14.44,14.55,71631
22-May-17,14.90,15.10,14.38,14.38,51092
19-May-17,14.75,15.14,14.75,14.90,94584
18-May-17,14.71,14.89,14.36,14.71,85984
17-May-17,14.60,15.00,14.33,14.98,106325
16-May-17,16.00,16.00,15.24,15.37,44774
15-May-17,15.66,16.04,15.66,15.75,121876
12-May-17,15.65,15.65,15.33,15.65,26579
11-May-17,15.50,15.70,15.15,15.50,78716
10-May-17,15.92,15.99,15.24,15.55,91001
9-May-17,16.14,16.14,15.85,15.91,122991
8-May-17,15.98,16.14,15.81,15.97,54728
5-May-17,16.06,16.30,15.95,15.98,27345
4-May-17,16.52,16.52,16.08,16.28,38633
2-May-17,16.48,16.70,16.27,16.45,16111
28-Apr-17,16.32,16.48,16.20,16.38,13654
27-Apr-17,15.85,16.48,15.85,16.48,77361
26-Apr-17,15.90,15.95,15.75,15.90,27531
25-Apr-17,16.05,16.07,15.80,15.97,18375
24-Apr-17,16.10,16.10,15.74,16.05,42560
21-Apr-17,16.30,16.30,15.91,15.95,38414
20-Apr-17,16.50,16.80,16.10,16.21,26833
19-Apr-17,17.00,17.00,16.50,16.50,19321
18-Apr-17,16.36,17.21,16.27,16.79,64573
13-Apr-17,16.50,16.60,16.20,16.36,10298
12-Apr-17,16.64,16.81,16.40,16.50,20270
11-Apr-17,16.98,17.09,16.43,16.70,33099
10-Apr-17,16.88,17.00,16.67,16.94,37820
7-Apr-17,16.82,16.93,16.55,16.60,14680
6-Apr-17,16.45,17.00,16.42,16.82,26728
5-Apr-17,16.70,16.77,16.45,16.72,19187
4-Apr-17,15.85,16.53,15.85,16.45,194132
3-Apr-17,15.89,16.10,15.64,16.00,89994
31-Mar-17,15.85,16.08,15.85,15.87,9653
30-Mar-17,16.40,16.40,15.60,15.80,32609
29-Mar-17,16.10,16.32,16.05,16.30,16201
28-Mar-17,16.00,16.00,15.96,16.00,67053
27-Mar-17,16.10,16.25,15.85,16.00,23288
24-Mar-17,16.70,16.70,16.05,16.30,23397
23-Mar-17,16.31,16.80,16.13,16.32,255532
22-Mar-17,16.66,16.66,15.95,16.05,141230
21-Mar-17,17.14,17.14,16.66,16.70,40149
20-Mar-17,17.15,17.29,17.03,17.14,19634
17-Mar-17,16.86,17.05,16.85,17.03,12070
16-Mar-17,16.50,17.14,15.80,16.95,131015
15-Mar-17,16.95,16.98,16.83,16.83,22700
14-Mar-17,17.45,17.45,17.00,17.00,40491
13-Mar-17,17.10,17.33,16.85,17.30,44427
10-Mar-17,16.50,17.08,16.50,17.03,25933
9-Mar-17,17.03,17.03,16.35,16.60,72415
8-Mar-17,17.31,17.37,16.76,16.78,55234
7-Mar-17,17.27,17.45,16.80,17.19,70551
6-Mar-17,17.00,17.45,16.58,17.27,64810
3-Mar-17,17.55,17.55,17.01,17.01,178480
2-Mar-17,17.71,17.71,17.40,17.48,28053
1-Mar-17,16.80,17.29,16.51,17.21,163930
28-Feb-17,17.65,17.83,16.75,16.85,237628
27-Feb-17,17.86,17.86,17.53,17.65,45771
24-Feb-17,18.34,18.34,17.69,17.90,56253
23-Feb-17,18.20,18.55,18.06,18.34,52003
22-Feb-17,17.94,18.76,17.80,18.20,154995
21-Feb-17,17.55,18.00,17.37,17.94,110198
20-Feb-17,17.60,17.60,17.43,17.44,51581
17-Feb-17,17.67,17.70,17.43,17.61,50432
16-Feb-17,17.50,17.79,17.40,17.55,102849
15-Feb-17,17.65,18.00,17.51,17.53,70578
14-Feb-17,18.00,18.00,17.50,17.65,110269
13-Feb-17,17.00,17.88,16.98,17.83,179127
10-Feb-17,16.76,17.07,16.70,16.86,105589
9-Feb-17,16.60,16.74,16.42,16.69,37932
8-Feb-17,16.43,16.70,16.27,16.51,52030
7-Feb-17,16.05,16.43,15.94,16.36,51045
6-Feb-17,16.30,16.44,16.00,16.00,130903
3-Feb-17,16.77,16.77,16.25,16.35,92350
2-Feb-17,16.25,16.74,16.20,16.72,74980
1-Feb-17,16.20,16.40,16.00,16.23,46693
31-Jan-17,16.13,16.45,16.00,16.09,30788
30-Jan-17,16.08,16.39,15.90,16.13,71347
27-Jan-17,15.89,16.20,15.54,16.05,143971
26-Jan-17,16.20,16.47,15.80,15.89,105483
25-Jan-17,16.59,16.59,16.17,16.20,90008
24-Jan-17,16.52,17.14,16.35,16.35,554735
23-Jan-17,15.87,16.55,15.80,16.50,472075
20-Jan-17,15.02,15.73,14.99,15.73,157310
19-Jan-17,14.85,15.15,14.85,14.99,52377
18-Jan-17,14.80,14.90,14.70,14.86,104745
17-Jan-17,14.55,14.80,14.55,14.80,21868
16-Jan-17,14.79,14.80,14.54,14.58,233424
13-Jan-17,14.83,14.83,14.53,14.57,52456
12-Jan-17,14.47,14.95,14.33,14.84,141458
11-Jan-17,14.40,14.48,14.22,14.33,40149
10-Jan-17,14.19,14.48,14.19,14.24,38208
9-Jan-17,14.20,14.20,14.10,14.15,14113
5-Jan-17,14.40,14.40,14.12,14.14,151727
4-Jan-17,14.35,14.50,14.35,14.39,1740305
3-Jan-17,14.41,14.50,14.36,14.43,104762
2-Jan-17,14.20,14.50,14.20,14.40,149888
30-Dec-16,13.90,14.24,13.81,14.16,320949
29-Dec-16,13.28,13.81,13.22,13.80,312955
28-Dec-16,13.20,13.30,13.14,13.28,99528
27-Dec-16,13.29,13.30,13.13,13.20,114022
23-Dec-16,13.15,13.29,13.10,13.29,124589
22-Dec-16,13.10,13.15,13.01,13.15,16122
21-Dec-16,13.00,13.18,12.91,13.15,39034
20-Dec-16,12.86,13.00,12.81,12.85,40587
19-Dec-16,13.01,13.05,12.81,12.87,30600
16-Dec-16,12.75,13.10,12.75,13.00,31522
