b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,5.97,5.97,5.38,5.80,31477
14-Sep-17,5.98,5.98,5.87,5.97,62
13-Sep-17,6.02,6.02,5.89,5.89,889
12-Sep-17,6.03,6.03,5.89,6.02,4672
11-Sep-17,6.03,6.03,6.03,6.03,2
8-Sep-17,5.95,6.03,5.95,6.03,1980
7-Sep-17,6.03,6.03,5.92,5.95,24691
6-Sep-17,6.05,6.05,5.95,5.95,1608
5-Sep-17,6.05,6.05,5.95,5.95,4692
4-Sep-17,6.04,6.04,6.00,6.03,1610
1-Sep-17,6.03,6.03,6.00,6.03,362
31-Aug-17,6.02,6.02,6.01,6.01,1052
30-Aug-17,6.05,6.05,5.90,6.02,3901
29-Aug-17,6.06,6.06,5.99,5.99,4341
28-Aug-17,6.12,6.12,6.04,6.04,448
25-Aug-17,5.99,6.05,5.99,6.00,1085
24-Aug-17,6.08,6.08,6.00,6.03,6114
23-Aug-17,6.10,6.10,6.03,6.07,6827
22-Aug-17,6.10,6.10,6.06,6.10,28621
21-Aug-17,6.12,6.12,5.98,6.03,31903
18-Aug-17,6.10,6.10,6.00,6.05,5676
17-Aug-17,6.25,6.25,5.85,6.10,5334
16-Aug-17,6.20,6.20,6.07,6.15,3475
14-Aug-17,6.22,6.22,6.17,6.20,10084
11-Aug-17,6.23,6.23,6.06,6.22,22
10-Aug-17,6.25,6.25,6.19,6.23,1556
9-Aug-17,6.25,6.25,6.15,6.18,7456
8-Aug-17,6.30,6.30,6.22,6.25,1931
7-Aug-17,6.47,6.47,6.25,6.30,6122
4-Aug-17,6.26,6.62,6.24,6.48,13304
3-Aug-17,6.26,6.26,6.21,6.25,2278
2-Aug-17,6.13,6.26,6.10,6.26,2141
1-Aug-17,6.10,6.13,6.04,6.13,11941
31-Jul-17,6.17,6.17,6.05,6.10,1605
28-Jul-17,6.10,6.10,6.04,6.04,731
27-Jul-17,6.10,6.10,6.04,6.04,739
26-Jul-17,6.09,6.09,6.03,6.05,1686
25-Jul-17,6.10,6.10,6.04,6.04,2457
24-Jul-17,6.15,6.15,6.05,6.05,23852
21-Jul-17,6.10,6.10,6.08,6.10,10338
20-Jul-17,6.10,6.10,6.10,6.10,3700
19-Jul-17,6.05,6.10,6.05,6.10,6921
18-Jul-17,6.10,6.10,6.03,6.07,1780
17-Jul-17,6.10,6.10,6.10,6.10,1
14-Jul-17,6.10,6.10,6.06,6.10,502
13-Jul-17,6.10,6.10,6.05,6.10,2502
12-Jul-17,6.08,6.10,6.00,6.10,3820
11-Jul-17,6.10,6.10,6.09,6.10,302
10-Jul-17,6.19,6.19,6.08,6.10,1232
7-Jul-17,6.08,6.10,6.08,6.10,1459
6-Jul-17,6.09,6.09,6.07,6.08,2663
5-Jul-17,6.17,6.17,5.98,6.10,9202
4-Jul-17,6.18,6.18,6.01,6.18,14270
3-Jul-17,6.12,6.19,6.10,6.18,22826
30-Jun-17,6.15,6.15,6.15,6.15,1165
29-Jun-17,6.12,6.18,6.10,6.15,8307
