b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.99,1.99,1.90,1.90,7736
14-Sep-17,1.99,1.99,1.99,1.99,57
13-Sep-17,2.00,2.00,2.00,2.00,49
12-Sep-17,1.99,1.99,1.99,1.99,48
11-Sep-17,2.00,2.00,2.00,2.00,46
8-Sep-17,1.99,1.99,1.98,1.98,47
7-Sep-17,1.95,1.95,1.95,1.95,665
6-Sep-17,1.95,1.99,1.95,1.99,883
5-Sep-17,1.95,1.99,1.95,1.99,388
4-Sep-17,1.95,1.99,1.95,1.99,2388
1-Sep-17,1.99,1.99,1.94,1.98,3134
31-Aug-17,1.95,1.95,1.95,1.95,3872
30-Aug-17,-,-,-,2.00,0
29-Aug-17,-,-,-,2.00,0
28-Aug-17,2.00,2.00,2.00,2.00,31
25-Aug-17,2.00,2.00,2.00,2.00,227
24-Aug-17,2.01,2.01,2.01,2.01,500
23-Aug-17,1.95,2.03,1.95,2.01,1860
22-Aug-17,2.01,2.01,2.00,2.00,385
21-Aug-17,2.03,2.03,2.03,2.03,150
18-Aug-17,2.01,2.01,2.01,2.01,20
17-Aug-17,1.99,2.04,1.95,2.01,2560
16-Aug-17,2.03,2.03,2.03,2.03,80
14-Aug-17,2.01,2.03,2.01,2.03,328
11-Aug-17,-,-,-,2.01,0
10-Aug-17,-,-,-,2.01,0
9-Aug-17,2.03,2.03,2.01,2.01,417
8-Aug-17,2.04,2.13,2.01,2.01,2816
7-Aug-17,2.04,2.04,2.00,2.00,401
4-Aug-17,1.98,1.98,1.98,1.98,10
3-Aug-17,1.98,1.98,1.98,1.98,11
2-Aug-17,2.00,2.00,1.98,1.98,42
1-Aug-17,2.00,2.00,1.98,1.98,2008
31-Jul-17,2.04,2.04,2.02,2.02,318
28-Jul-17,1.99,2.04,1.98,2.00,1430
27-Jul-17,2.00,2.00,2.00,2.00,750
26-Jul-17,2.00,2.00,2.00,2.00,10
25-Jul-17,1.99,2.00,1.99,2.00,242
24-Jul-17,1.99,1.99,1.99,1.99,41
21-Jul-17,2.02,2.02,2.00,2.00,549
20-Jul-17,2.01,2.01,2.01,2.01,45
19-Jul-17,2.01,2.01,2.01,2.01,101
18-Jul-17,2.00,2.01,1.98,2.01,8753
17-Jul-17,1.99,2.00,1.99,2.00,189
14-Jul-17,2.00,2.00,2.00,2.00,225
13-Jul-17,-,-,-,2.00,0
12-Jul-17,-,-,-,2.00,0
11-Jul-17,2.00,2.00,2.00,2.00,57
10-Jul-17,-,-,-,2.00,0
7-Jul-17,-,-,-,2.00,0
6-Jul-17,2.00,2.00,2.00,2.00,40
5-Jul-17,-,-,-,2.01,0
4-Jul-17,-,-,-,2.01,0
3-Jul-17,2.01,2.01,2.01,2.01,30
30-Jun-17,-,-,-,2.00,0
29-Jun-17,-,-,-,2.00,0
28-Jun-17,2.00,2.00,2.00,2.00,36
27-Jun-17,2.01,2.01,1.92,2.00,5943
26-Jun-17,2.11,2.11,2.11,2.11,80
23-Jun-17,2.00,2.01,1.92,2.01,358
22-Jun-17,2.13,2.13,2.13,2.13,36
21-Jun-17,1.95,2.00,1.88,2.00,10585
20-Jun-17,2.00,2.00,2.00,2.00,149
19-Jun-17,2.01,2.01,2.00,2.00,54
16-Jun-17,-,-,-,2.00,0
14-Jun-17,2.00,2.00,2.00,2.00,45
13-Jun-17,-,-,-,2.01,0
12-Jun-17,2.01,2.01,2.01,2.01,45
9-Jun-17,2.00,2.00,2.00,2.00,79
8-Jun-17,2.00,2.00,2.00,2.00,63
7-Jun-17,2.00,2.00,2.00,2.00,47
6-Jun-17,1.99,2.01,1.99,2.00,133
5-Jun-17,2.00,2.00,2.00,2.00,46
2-Jun-17,-,-,-,2.00,0
1-Jun-17,2.00,2.00,2.00,2.00,41
31-May-17,-,-,-,2.02,0
30-May-17,2.02,2.02,2.02,2.02,10
29-May-17,2.01,2.02,2.01,2.02,7000
