b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,12.20,12.40,12.07,12.40,2979
14-Sep-17,12.32,12.32,12.20,12.30,977
13-Sep-17,12.30,12.31,12.26,12.31,2523
12-Sep-17,12.35,12.35,12.29,12.30,823
11-Sep-17,12.54,12.55,12.25,12.35,1522
8-Sep-17,12.24,12.30,12.24,12.30,453
7-Sep-17,12.30,12.30,12.21,12.21,378
6-Sep-17,12.49,12.49,12.23,12.30,1266
5-Sep-17,12.48,12.48,12.22,12.22,236
4-Sep-17,12.36,12.36,12.25,12.25,1529
1-Sep-17,12.20,12.43,12.12,12.36,925
31-Aug-17,12.20,12.20,12.17,12.20,6874
30-Aug-17,12.30,12.30,12.20,12.20,1056
29-Aug-17,12.55,12.55,12.20,12.20,4400
28-Aug-17,12.37,12.56,12.37,12.50,22011
25-Aug-17,12.30,12.37,12.16,12.20,2440
24-Aug-17,12.20,12.49,12.20,12.40,4028
23-Aug-17,12.89,12.89,12.17,12.40,3077
22-Aug-17,12.95,12.95,12.89,12.89,55
21-Aug-17,12.95,12.95,12.80,12.95,185
18-Aug-17,12.75,12.96,12.61,12.96,251256
17-Aug-17,12.90,12.96,12.90,12.96,22
16-Aug-17,12.70,12.90,12.69,12.90,215
14-Aug-17,12.90,12.90,12.70,12.70,2285
11-Aug-17,13.18,13.18,12.70,12.95,805
10-Aug-17,13.19,13.19,13.19,13.19,35
9-Aug-17,13.19,13.19,12.76,13.18,545
8-Aug-17,13.20,13.20,13.19,13.20,384
7-Aug-17,12.90,13.20,12.85,13.20,1572
4-Aug-17,13.32,13.32,12.98,12.98,1095
3-Aug-17,13.33,13.33,13.33,13.33,125
2-Aug-17,13.35,13.35,13.33,13.33,26
1-Aug-17,13.00,13.15,13.00,13.15,912
31-Jul-17,13.40,13.40,13.00,13.00,8597
28-Jul-17,13.35,13.35,13.35,13.35,307
27-Jul-17,13.50,13.50,13.35,13.35,1878
26-Jul-17,13.85,13.89,13.50,13.50,783
25-Jul-17,13.50,13.85,13.44,13.85,1317
24-Jul-17,13.90,13.90,13.58,13.58,713
21-Jul-17,13.78,14.00,13.56,13.73,1323
20-Jul-17,13.79,13.79,13.79,13.79,15
19-Jul-17,13.78,13.78,13.77,13.78,530
18-Jul-17,13.80,13.80,13.60,13.79,181
17-Jul-17,13.72,13.72,13.72,13.72,25
14-Jul-17,13.80,13.80,13.80,13.80,15
13-Jul-17,13.90,14.00,13.80,13.80,1883
12-Jul-17,13.62,13.90,13.54,13.90,690
11-Jul-17,13.31,13.53,13.30,13.53,3424
10-Jul-17,13.45,13.50,13.40,13.40,310
7-Jul-17,13.15,13.30,13.15,13.30,226
6-Jul-17,13.15,13.15,13.00,13.15,1961
5-Jul-17,12.95,12.97,12.95,12.97,395
4-Jul-17,12.53,12.80,12.53,12.80,1569
3-Jul-17,12.22,12.45,12.22,12.45,832
30-Jun-17,12.80,12.80,12.45,12.45,1263
29-Jun-17,12.96,12.96,12.75,12.75,480
28-Jun-17,12.90,12.90,12.60,12.74,1356
27-Jun-17,13.01,13.18,13.00,13.00,900
26-Jun-17,13.18,13.18,13.17,13.17,319
23-Jun-17,13.20,13.20,13.01,13.18,352
22-Jun-17,13.25,13.25,13.00,13.25,3737
21-Jun-17,13.51,13.51,13.30,13.50,592
20-Jun-17,13.89,13.89,13.71,13.71,217
19-Jun-17,13.93,13.93,13.90,13.90,80
16-Jun-17,13.99,13.99,13.85,13.98,694
14-Jun-17,14.08,14.08,14.01,14.01,150
13-Jun-17,14.04,14.05,14.04,14.04,474
12-Jun-17,14.21,14.21,14.21,14.21,2
9-Jun-17,14.21,14.21,14.03,14.03,24
8-Jun-17,14.22,14.22,14.00,14.20,20076
7-Jun-17,14.23,14.23,14.21,14.21,606
6-Jun-17,14.15,14.22,14.05,14.05,5067
5-Jun-17,14.15,14.15,14.00,14.00,455
2-Jun-17,14.27,14.27,14.00,14.15,1123
1-Jun-17,14.28,14.28,14.01,14.26,470
31-May-17,14.28,14.28,14.27,14.27,204
30-May-17,14.00,14.28,14.00,14.25,1744
29-May-17,14.00,14.00,13.72,13.72,312
26-May-17,13.95,13.95,13.81,13.95,264
25-May-17,14.13,14.13,13.81,13.81,206
24-May-17,13.95,14.17,13.95,14.17,2032
23-May-17,13.96,13.96,13.91,13.91,240
22-May-17,13.96,13.96,13.95,13.95,123
19-May-17,14.10,14.10,13.96,13.96,1185
18-May-17,14.16,14.16,14.11,14.11,35
17-May-17,14.10,14.20,13.85,14.16,154
16-May-17,14.00,14.00,13.73,13.73,3151
15-May-17,13.70,14.38,13.70,14.38,2299
12-May-17,13.71,13.72,13.70,13.72,986
11-May-17,14.18,14.18,13.93,13.93,635
10-May-17,14.21,14.21,14.18,14.18,46
9-May-17,14.25,14.50,14.21,14.21,1858
8-May-17,13.65,14.94,13.65,14.59,13356
5-May-17,13.69,13.70,13.69,13.70,120
4-May-17,13.89,13.89,13.70,13.70,690
2-May-17,13.75,13.90,13.65,13.65,559
28-Apr-17,13.42,13.75,13.42,13.70,5506
27-Apr-17,14.00,14.00,13.72,13.90,6270
26-Apr-17,13.80,14.00,13.80,13.90,48886
25-Apr-17,14.17,14.17,13.80,13.90,10035
24-Apr-17,13.90,13.90,13.75,13.80,1506
21-Apr-17,13.94,13.94,13.81,13.90,101503
20-Apr-17,13.87,13.87,13.84,13.85,958
19-Apr-17,13.80,13.84,13.54,13.83,8334
18-Apr-17,13.83,13.83,13.60,13.80,112447
13-Apr-17,13.86,13.86,13.80,13.80,1175
12-Apr-17,13.87,13.87,13.87,13.87,370
11-Apr-17,13.88,13.88,13.64,13.87,118
10-Apr-17,13.97,13.97,13.71,13.80,4365
7-Apr-17,13.70,13.97,13.70,13.97,211
6-Apr-17,13.71,13.85,13.66,13.70,95672
5-Apr-17,14.10,14.10,13.63,13.99,5594
4-Apr-17,14.01,14.36,14.01,14.07,4291
3-Apr-17,13.15,14.45,13.15,14.45,7236
31-Mar-17,13.04,13.15,13.00,13.11,5905
30-Mar-17,13.15,13.15,13.00,13.11,1461
29-Mar-17,13.05,13.15,13.05,13.15,2405
