b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,34.00,34.00,33.00,33.50,2359
14-Sep-17,34.01,34.33,33.52,34.00,1055
13-Sep-17,33.00,34.37,33.00,34.33,2492
12-Sep-17,34.19,34.19,32.60,33.39,8770
11-Sep-17,35.66,35.66,34.20,34.20,4541
8-Sep-17,35.00,35.75,34.11,35.75,1980
7-Sep-17,35.02,35.37,34.00,35.00,5400
6-Sep-17,36.47,36.50,35.75,36.20,1536
5-Sep-17,36.82,36.94,36.15,36.50,1390
4-Sep-17,37.60,37.60,36.99,37.00,3027
1-Sep-17,36.47,36.69,36.47,36.51,569
31-Aug-17,35.87,36.69,35.65,36.50,1863
30-Aug-17,36.13,36.13,34.80,35.90,10655
29-Aug-17,37.29,37.29,36.16,36.75,3617
28-Aug-17,37.80,38.49,37.30,37.30,2542
25-Aug-17,37.80,38.00,37.37,37.98,3749
24-Aug-17,37.70,38.29,37.38,37.90,1233
23-Aug-17,38.20,38.20,37.70,37.70,1229
22-Aug-17,38.00,38.00,37.65,37.90,2865
21-Aug-17,38.99,39.00,37.80,37.80,2429
18-Aug-17,39.00,39.00,38.73,38.99,544
17-Aug-17,39.84,39.84,38.82,38.82,312
16-Aug-17,38.82,39.87,38.82,39.85,16
14-Aug-17,39.36,39.89,39.36,39.87,321
11-Aug-17,39.92,39.92,38.74,38.74,960
10-Aug-17,39.01,39.97,39.01,39.02,283
9-Aug-17,39.68,41.00,39.00,39.02,1837
8-Aug-17,41.33,41.88,38.80,39.66,1781
7-Aug-17,41.99,42.00,41.05,41.05,1076
4-Aug-17,42.22,42.22,41.66,41.66,489
3-Aug-17,41.54,42.65,41.53,41.71,745
2-Aug-17,42.39,42.60,41.50,42.18,2413
1-Aug-17,41.66,42.98,41.20,42.39,5691
31-Jul-17,38.74,41.48,38.74,41.20,3289
28-Jul-17,38.66,38.73,38.50,38.73,1315
27-Jul-17,38.15,38.74,38.15,38.67,2132
26-Jul-17,38.10,38.20,38.10,38.12,2759
25-Jul-17,38.64,38.64,38.05,38.48,368
24-Jul-17,37.46,38.60,37.11,38.60,4543
