b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,4.08,4.11,4.02,4.07,195779
14-Sep-17,4.10,4.16,4.06,4.07,92083
13-Sep-17,4.17,4.23,4.11,4.11,151908
12-Sep-17,4.34,4.34,4.20,4.23,158344
11-Sep-17,4.31,4.41,4.25,4.30,358785
8-Sep-17,4.00,4.24,3.81,4.22,813679
7-Sep-17,4.10,4.12,4.01,4.10,277759
6-Sep-17,4.12,4.12,4.05,4.05,243092
5-Sep-17,4.16,4.19,4.11,4.12,110407
4-Sep-17,4.19,4.20,4.10,4.16,146002
1-Sep-17,4.20,4.21,4.12,4.17,127115
31-Aug-17,4.25,4.28,4.15,4.20,168640
30-Aug-17,4.21,4.38,4.18,4.24,181200
29-Aug-17,4.16,4.22,4.09,4.21,331478
28-Aug-17,4.48,4.48,4.25,4.25,560548
25-Aug-17,4.42,4.55,4.34,4.44,500159
24-Aug-17,4.12,4.60,4.12,4.38,875610
23-Aug-17,4.00,4.17,3.98,4.10,341070
22-Aug-17,4.06,4.06,3.96,3.99,130016
21-Aug-17,3.98,4.10,3.96,4.00,316400
18-Aug-17,4.15,4.27,3.75,3.98,1912540
17-Aug-17,4.43,4.43,4.16,4.18,609083
16-Aug-17,4.50,4.59,4.41,4.45,159690
14-Aug-17,4.57,4.65,4.45,4.54,75032
11-Aug-17,4.54,4.60,4.41,4.57,254440
10-Aug-17,4.68,4.70,4.50,4.54,583715
9-Aug-17,4.77,4.77,4.66,4.68,325779
8-Aug-17,4.85,4.85,4.74,4.77,261816
7-Aug-17,4.83,4.86,4.75,4.85,172870
4-Aug-17,4.84,4.88,4.81,4.82,115040
3-Aug-17,4.90,4.90,4.81,4.82,135525
2-Aug-17,4.90,4.91,4.84,4.90,114046
1-Aug-17,4.89,4.92,4.87,4.88,66327
31-Jul-17,4.93,4.93,4.84,4.89,78846
28-Jul-17,4.97,4.97,4.84,4.89,114436
27-Jul-17,4.89,5.01,4.85,4.94,189758
26-Jul-17,4.86,4.90,4.78,4.88,197687
25-Jul-17,4.93,4.96,4.82,4.85,324738
24-Jul-17,4.97,5.00,4.90,4.92,71125
21-Jul-17,4.96,4.97,4.88,4.94,118351
20-Jul-17,4.88,4.99,4.85,4.91,189921
19-Jul-17,5.00,5.03,4.89,4.89,273353
18-Jul-17,5.05,5.08,4.97,4.98,245035
17-Jul-17,5.09,5.13,5.03,5.08,167375
14-Jul-17,5.03,5.14,5.03,5.08,215096
13-Jul-17,5.15,5.15,5.00,5.03,433507
12-Jul-17,5.25,5.28,5.14,5.14,232801
11-Jul-17,5.28,5.31,5.24,5.24,129386
10-Jul-17,5.15,5.32,5.15,5.25,313305
7-Jul-17,5.20,5.23,5.05,5.14,186983
6-Jul-17,5.12,5.30,5.07,5.21,957362
5-Jul-17,4.87,5.17,4.85,5.12,849111
4-Jul-17,4.93,4.95,4.86,4.86,54095
3-Jul-17,4.97,4.97,4.86,4.92,86333
30-Jun-17,5.00,5.04,4.93,4.93,136272
29-Jun-17,4.96,5.04,4.86,4.94,289176
28-Jun-17,5.00,5.07,4.95,4.95,377301
27-Jun-17,4.75,4.96,4.72,4.96,425787
26-Jun-17,4.75,4.79,4.68,4.77,233612
23-Jun-17,4.77,4.80,4.71,4.73,100670
22-Jun-17,4.72,4.78,4.65,4.75,97630
21-Jun-17,4.72,4.83,4.63,4.71,303291
20-Jun-17,4.84,4.84,4.72,4.72,89240
19-Jun-17,4.78,4.86,4.75,4.84,99639
16-Jun-17,4.79,4.83,4.77,4.78,102900
14-Jun-17,4.94,4.94,4.72,4.77,374688
13-Jun-17,4.88,4.98,4.83,4.93,210472
12-Jun-17,5.09,5.09,4.86,4.88,600932
9-Jun-17,5.18,5.19,5.06,5.08,194637
8-Jun-17,5.05,5.14,4.95,5.11,263280
7-Jun-17,5.19,5.19,5.04,5.05,219140
6-Jun-17,5.03,5.16,4.89,5.15,483600
5-Jun-17,5.20,5.21,5.02,5.07,295553
2-Jun-17,5.09,5.28,5.08,5.19,864551
1-Jun-17,4.91,5.08,4.86,5.07,470307
31-May-17,4.79,5.10,4.52,4.91,938569
30-May-17,5.05,5.09,4.77,4.83,453461
29-May-17,5.08,5.10,4.99,5.05,247362
26-May-17,5.00,5.15,4.97,5.10,359698
25-May-17,5.18,5.23,5.00,5.03,744004
24-May-17,5.00,5.29,4.88,5.16,1387173
23-May-17,4.89,5.08,4.75,4.98,1092686
22-May-17,5.40,5.42,4.88,4.97,1721466
19-May-17,5.18,5.46,5.12,5.34,2931580
18-May-17,4.64,5.02,4.35,5.02,3311396
17-May-17,5.20,5.35,4.22,4.50,6398338
16-May-17,5.55,5.82,5.37,5.50,1820350
15-May-17,5.80,5.98,5.70,5.80,1242992
12-May-17,5.78,5.86,5.63,5.72,1208344
11-May-17,5.70,6.14,5.55,5.70,4724077
10-May-17,5.20,5.85,4.98,5.70,3565765
9-May-17,5.40,5.48,5.13,5.20,2053971
8-May-17,4.98,5.39,4.95,5.39,3353159
5-May-17,4.75,4.83,4.71,4.76,785902
4-May-17,4.52,4.95,4.52,4.69,3201976
2-May-17,4.37,4.52,4.29,4.44,773069
28-Apr-17,4.42,4.45,4.25,4.32,504273
27-Apr-17,4.43,4.47,4.32,4.40,519254
26-Apr-17,4.43,4.47,4.30,4.39,703418
25-Apr-17,4.52,4.69,4.30,4.34,2926291
24-Apr-17,3.98,4.60,3.98,4.46,2531559
21-Apr-17,3.90,3.98,3.82,3.93,950116
20-Apr-17,4.02,4.04,3.88,3.95,1048351
