b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,10.07,10.17,9.86,10.17,20610
14-Sep-17,10.20,10.23,10.04,10.13,7999
13-Sep-17,10.38,10.38,10.00,10.15,17231
12-Sep-17,10.34,10.45,10.24,10.38,50149
11-Sep-17,10.40,10.50,10.20,10.20,34798
8-Sep-17,10.35,10.35,10.27,10.29,12181
7-Sep-17,10.31,10.36,10.08,10.34,6686
6-Sep-17,10.44,10.48,10.25,10.25,5081
5-Sep-17,10.29,10.50,10.26,10.45,9288
4-Sep-17,9.94,10.29,9.94,10.29,17176
1-Sep-17,9.99,9.99,9.92,9.97,5048
31-Aug-17,9.82,10.05,9.70,10.00,28285
30-Aug-17,10.00,10.00,9.67,9.97,44184
29-Aug-17,9.87,10.05,9.84,10.05,15485
28-Aug-17,10.08,10.08,9.86,9.87,18594
25-Aug-17,9.90,10.08,9.80,10.08,24463
24-Aug-17,9.93,9.95,9.83,9.90,12983
23-Aug-17,9.81,9.95,9.81,9.93,22396
22-Aug-17,9.85,9.94,9.70,9.94,8930
21-Aug-17,9.96,9.97,9.87,9.87,1483
18-Aug-17,9.96,10.00,9.89,9.89,6900
17-Aug-17,10.00,10.04,9.90,10.00,9226
16-Aug-17,10.00,10.04,9.92,10.00,7986
14-Aug-17,10.00,10.05,9.95,9.99,8273
11-Aug-17,9.90,10.00,9.86,9.97,9362
10-Aug-17,9.95,10.00,9.89,9.90,15119
9-Aug-17,9.90,9.98,9.86,9.95,5582
8-Aug-17,9.80,9.90,9.74,9.90,6589
7-Aug-17,9.78,9.80,9.70,9.80,2055
4-Aug-17,9.71,9.78,9.66,9.78,5612
3-Aug-17,9.75,9.76,9.67,9.76,972
2-Aug-17,9.85,9.85,9.65,9.79,8528
1-Aug-17,9.83,9.89,9.82,9.85,1256
31-Jul-17,9.98,9.98,9.82,9.84,27720
28-Jul-17,9.62,9.99,9.51,9.98,54592
27-Jul-17,9.80,9.80,9.68,9.68,14649
26-Jul-17,9.70,9.70,9.60,9.60,42358
25-Jul-17,9.76,9.76,9.64,9.70,19275
24-Jul-17,9.63,9.85,9.63,9.84,6958
21-Jul-17,9.80,9.84,9.63,9.69,8021
20-Jul-17,9.74,9.80,9.63,9.80,26431
19-Jul-17,9.75,9.77,9.66,9.69,2765
18-Jul-17,10.03,10.03,9.75,9.76,64197
17-Jul-17,9.81,10.13,9.71,10.03,26511
14-Jul-17,9.81,9.84,9.76,9.83,9162
13-Jul-17,9.70,9.84,9.65,9.84,17795
12-Jul-17,9.55,9.66,9.50,9.66,12158
11-Jul-17,9.50,9.63,9.50,9.57,3688
10-Jul-17,9.45,9.70,9.40,9.49,24369
7-Jul-17,9.19,9.35,9.15,9.35,6414
6-Jul-17,9.19,9.19,9.11,9.19,2002
5-Jul-17,9.07,9.24,8.61,9.15,164238
4-Jul-17,9.20,9.20,9.15,9.15,78517
3-Jul-17,9.16,9.20,9.06,9.20,5920
30-Jun-17,9.10,9.10,8.98,9.00,4959
29-Jun-17,9.10,9.10,9.01,9.10,10470
28-Jun-17,9.15,9.16,9.05,9.10,5245
27-Jun-17,9.20,9.28,9.20,9.28,1837
26-Jun-17,9.34,9.34,9.01,9.30,7816
23-Jun-17,9.39,9.39,9.25,9.33,2825
22-Jun-17,9.20,9.40,9.19,9.40,4143
21-Jun-17,9.35,9.35,9.19,9.19,3088
20-Jun-17,9.39,9.39,8.97,9.36,4541
19-Jun-17,9.45,9.48,9.25,9.42,4909
16-Jun-17,9.40,9.47,9.25,9.46,5812
14-Jun-17,9.44,9.48,9.25,9.40,14505
13-Jun-17,9.41,9.43,9.30,9.35,3188
12-Jun-17,9.51,9.51,9.20,9.23,17711
9-Jun-17,9.56,9.59,9.50,9.59,8630
8-Jun-17,9.69,9.70,9.52,9.59,8669
7-Jun-17,9.72,9.72,9.50,9.66,6992
6-Jun-17,9.69,9.70,9.62,9.70,4639
5-Jun-17,9.68,9.81,9.62,9.72,43669
2-Jun-17,9.22,9.69,9.22,9.65,73229
1-Jun-17,9.02,9.22,9.02,9.20,4314
31-May-17,8.96,9.23,8.96,9.00,72429
30-May-17,9.30,9.30,8.85,8.95,25565
29-May-17,9.28,9.30,9.15,9.28,10649
26-May-17,9.19,9.21,9.05,9.21,19757
25-May-17,9.26,9.46,9.02,9.02,58461
24-May-17,9.02,9.19,8.94,9.19,35991
23-May-17,8.75,8.94,8.70,8.94,31403
22-May-17,8.68,8.76,8.51,8.65,4485
19-May-17,8.60,8.60,8.60,8.60,3294
18-May-17,8.58,8.61,8.48,8.60,18645
17-May-17,8.80,8.80,8.51,8.58,10478
16-May-17,8.76,8.91,8.70,8.80,14812
15-May-17,8.78,8.80,8.62,8.62,7960
12-May-17,8.70,8.78,8.63,8.78,6951
11-May-17,8.65,8.80,8.60,8.80,9853
10-May-17,8.71,8.94,8.70,8.80,12353
9-May-17,9.00,9.00,8.78,8.80,9737
8-May-17,8.93,8.95,8.93,8.94,6097
5-May-17,9.08,9.08,8.90,8.90,3185
4-May-17,8.96,9.25,8.96,9.08,18662
2-May-17,9.19,9.19,8.52,9.03,16421
28-Apr-17,8.89,9.20,8.89,9.18,41618
27-Apr-17,8.65,8.89,8.65,8.89,11743
26-Apr-17,8.99,8.99,8.45,8.63,39652
25-Apr-17,9.16,9.16,8.60,8.98,24343
24-Apr-17,9.23,9.23,9.02,9.12,26868
21-Apr-17,8.93,9.33,8.90,9.25,83774
20-Apr-17,8.79,8.94,8.75,8.93,34690
19-Apr-17,8.63,8.77,8.56,8.77,29281
18-Apr-17,8.50,8.77,8.41,8.64,22500
13-Apr-17,8.51,8.59,8.34,8.37,48080
12-Apr-17,8.31,8.50,8.31,8.48,20185
