b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,15.22,15.28,15.21,15.28,1276
14-Sep-17,15.39,15.39,15.15,15.29,935
13-Sep-17,15.43,15.43,15.27,15.39,627
12-Sep-17,15.49,15.49,15.38,15.43,326
11-Sep-17,15.79,15.79,15.51,15.55,1523
8-Sep-17,15.99,16.40,15.79,15.79,585
7-Sep-17,16.00,16.00,15.99,15.99,35
6-Sep-17,15.90,16.43,15.86,16.00,1229
5-Sep-17,16.43,16.43,16.43,16.43,27
4-Sep-17,16.43,16.43,16.35,16.43,123
1-Sep-17,16.38,16.38,15.80,16.38,190
31-Aug-17,16.30,16.30,15.85,16.00,5213
30-Aug-17,16.28,16.30,16.28,16.30,54
29-Aug-17,16.25,16.25,16.25,16.25,20493
28-Aug-17,16.43,16.43,15.74,16.30,5571
25-Aug-17,16.38,16.42,15.92,16.38,1720
24-Aug-17,16.38,16.38,16.38,16.38,10
23-Aug-17,16.37,16.39,16.37,16.39,18
22-Aug-17,16.40,16.40,16.40,16.40,30
21-Aug-17,16.40,16.40,16.39,16.39,82
18-Aug-17,16.30,16.30,16.00,16.30,35
17-Aug-17,16.28,16.29,16.28,16.29,19
16-Aug-17,16.30,16.30,16.00,16.27,82
14-Aug-17,16.00,16.37,15.99,16.00,1106
11-Aug-17,16.37,16.38,16.37,16.38,27
10-Aug-17,16.36,16.39,16.36,16.39,27
9-Aug-17,16.37,16.37,16.37,16.37,15
8-Aug-17,16.39,16.39,15.91,16.39,202
7-Aug-17,16.20,16.39,15.90,16.39,269
4-Aug-17,16.37,16.40,16.15,16.40,1170
3-Aug-17,16.37,16.37,16.36,16.37,63
2-Aug-17,16.10,16.38,16.00,16.37,786
1-Aug-17,16.39,16.39,15.97,16.38,3103
31-Jul-17,16.43,16.43,16.43,16.43,85
28-Jul-17,16.45,16.45,16.45,16.45,10
27-Jul-17,16.45,16.45,16.08,16.44,3189
26-Jul-17,16.09,16.45,16.09,16.45,6810
25-Jul-17,16.45,16.45,16.03,16.45,5008
24-Jul-17,16.65,16.65,16.00,16.44,5107
21-Jul-17,16.45,16.46,16.00,16.46,20564
20-Jul-17,16.46,16.48,16.40,16.48,535
19-Jul-17,16.48,16.48,16.20,16.48,741
18-Jul-17,16.49,16.49,16.10,16.49,1568
17-Jul-17,16.49,16.49,16.49,16.49,197
14-Jul-17,16.49,16.49,16.49,16.49,17
13-Jul-17,16.65,16.65,16.50,16.50,29
12-Jul-17,16.49,16.75,16.17,16.50,870
11-Jul-17,16.65,16.65,16.65,16.65,35
10-Jul-17,16.82,16.82,16.12,16.65,1705
7-Jul-17,16.81,16.82,16.16,16.16,60917
6-Jul-17,16.18,16.95,16.10,16.75,5136
5-Jul-17,16.21,16.96,15.91,16.30,4476
4-Jul-17,16.98,16.98,16.43,16.96,1817
3-Jul-17,16.99,16.99,16.99,16.99,6
30-Jun-17,16.98,16.99,16.85,16.98,3222
29-Jun-17,17.13,17.13,16.90,17.10,485
28-Jun-17,17.29,17.29,17.00,17.15,484
27-Jun-17,17.30,17.30,16.90,17.20,549
26-Jun-17,17.37,17.37,16.92,16.99,1305
23-Jun-17,17.38,17.38,16.99,17.15,1846
22-Jun-17,17.38,17.38,17.37,17.38,195
21-Jun-17,17.46,17.46,17.46,17.46,50
20-Jun-17,17.49,17.49,17.00,17.48,1596
19-Jun-17,17.79,17.79,17.53,17.59,172731
16-Jun-17,17.79,17.79,17.50,17.77,976
14-Jun-17,17.99,17.99,17.99,17.99,1
13-Jun-17,17.92,18.45,17.62,18.10,1624
12-Jun-17,18.35,18.49,17.39,18.47,13578
9-Jun-17,18.60,18.61,18.60,18.61,30
8-Jun-17,18.31,18.62,18.31,18.55,10665
7-Jun-17,18.44,18.44,18.30,18.30,105
6-Jun-17,17.90,18.47,17.89,18.43,53787
5-Jun-17,17.90,17.90,17.90,17.90,15
2-Jun-17,17.44,17.94,17.44,17.94,1706
1-Jun-17,17.65,17.65,17.51,17.65,7165
31-May-17,17.65,17.65,17.43,17.65,246
30-May-17,17.67,17.67,17.67,17.67,30
29-May-17,17.68,17.68,17.64,17.68,129
26-May-17,17.70,17.87,17.40,17.87,1100
25-May-17,17.70,17.70,17.67,17.70,1179
24-May-17,17.89,17.89,17.89,17.89,15
23-May-17,17.94,17.94,17.93,17.94,155
22-May-17,17.94,17.94,17.72,17.91,203
19-May-17,17.96,17.96,17.70,17.94,35
18-May-17,17.86,17.90,17.71,17.90,442
17-May-17,17.83,17.98,17.68,17.92,895
16-May-17,17.99,18.00,17.81,17.99,1976
15-May-17,17.90,17.94,17.90,17.94,54
12-May-17,17.95,17.95,17.80,17.92,185
