b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,3.65,3.65,3.50,3.62,97685
14-Sep-17,3.60,3.65,3.60,3.60,40671
13-Sep-17,3.61,3.65,3.60,3.60,39992
12-Sep-17,3.66,3.67,3.60,3.64,46075
11-Sep-17,3.67,3.68,3.60,3.66,67018
8-Sep-17,3.65,3.68,3.64,3.66,63958
7-Sep-17,3.65,3.68,3.58,3.65,154423
6-Sep-17,3.58,3.67,3.57,3.65,131571
5-Sep-17,3.60,3.63,3.59,3.61,562651
4-Sep-17,3.59,3.64,3.57,3.64,144162
1-Sep-17,3.63,3.65,3.60,3.60,176259
31-Aug-17,3.65,3.72,3.59,3.62,198130
30-Aug-17,3.42,3.76,3.38,3.63,1394784
29-Aug-17,3.33,3.41,3.33,3.41,170583
28-Aug-17,3.28,3.34,3.22,3.33,172388
25-Aug-17,3.26,3.30,3.19,3.30,98189
24-Aug-17,3.28,3.34,3.24,3.26,34739
23-Aug-17,3.31,3.35,3.28,3.28,27010
22-Aug-17,3.32,3.36,3.31,3.36,1046
21-Aug-17,3.37,3.37,3.31,3.37,10833
18-Aug-17,3.37,3.37,3.30,3.37,19773
17-Aug-17,3.32,3.37,3.30,3.37,19178
16-Aug-17,3.38,3.38,3.30,3.38,22690
14-Aug-17,3.35,3.39,3.32,3.39,17551
11-Aug-17,3.38,3.41,3.34,3.40,231924
10-Aug-17,3.40,3.41,3.34,3.39,213444
9-Aug-17,3.44,3.44,3.36,3.38,37206
8-Aug-17,3.38,3.43,3.36,3.43,102515
7-Aug-17,3.41,3.42,3.36,3.39,92185
4-Aug-17,3.36,3.44,3.35,3.40,140297
3-Aug-17,3.37,3.38,3.34,3.35,24700
2-Aug-17,3.35,3.37,3.33,3.36,43773
1-Aug-17,3.37,3.38,3.33,3.37,24079
31-Jul-17,3.36,3.37,3.34,3.36,15902
28-Jul-17,3.30,3.37,3.30,3.36,8176
27-Jul-17,3.37,3.37,3.31,3.37,17900
26-Jul-17,3.29,3.37,3.29,3.36,30407
25-Jul-17,3.32,3.34,3.32,3.33,2321
24-Jul-17,3.30,3.37,3.30,3.36,13982
21-Jul-17,3.36,3.36,3.31,3.32,2505
20-Jul-17,3.33,3.36,3.30,3.36,28469
19-Jul-17,3.32,3.33,3.31,3.33,25041
18-Jul-17,3.33,3.35,3.33,3.34,22967
17-Jul-17,3.28,3.36,3.28,3.36,25568
14-Jul-17,3.30,3.30,3.28,3.30,16979
13-Jul-17,3.35,3.35,3.31,3.32,5902
12-Jul-17,3.35,3.37,3.33,3.33,4984
11-Jul-17,3.33,3.36,3.33,3.35,19458
10-Jul-17,3.33,3.37,3.33,3.35,6423
7-Jul-17,3.32,3.37,3.32,3.37,21105
6-Jul-17,3.32,3.35,3.32,3.34,5751
5-Jul-17,3.33,3.35,3.32,3.34,30199
4-Jul-17,3.36,3.37,3.32,3.35,16297
3-Jul-17,3.41,3.42,3.38,3.38,11405
30-Jun-17,3.40,3.42,3.36,3.40,17630
29-Jun-17,3.39,3.44,3.38,3.42,14798
28-Jun-17,3.40,3.40,3.36,3.39,7985
27-Jun-17,3.40,3.41,3.40,3.41,2149
26-Jun-17,3.43,3.43,3.31,3.40,88475
23-Jun-17,3.47,3.47,3.42,3.43,5888
22-Jun-17,3.47,3.48,3.45,3.47,17952
21-Jun-17,3.48,3.51,3.48,3.48,111767
20-Jun-17,3.49,3.50,3.48,3.49,82033
19-Jun-17,3.42,3.50,3.42,3.49,218653
16-Jun-17,3.45,3.49,3.41,3.49,23948
14-Jun-17,3.44,3.46,3.43,3.46,16330
13-Jun-17,3.41,3.44,3.36,3.43,41628
12-Jun-17,3.45,3.45,3.40,3.45,129214
9-Jun-17,3.44,3.48,3.40,3.48,71916
8-Jun-17,3.40,3.47,3.40,3.47,227077
7-Jun-17,3.42,3.45,3.40,3.40,8908
6-Jun-17,3.38,3.48,3.35,3.41,35915
5-Jun-17,3.40,3.43,3.34,3.36,116460
2-Jun-17,3.50,3.51,3.34,3.44,39734
1-Jun-17,3.48,3.51,3.47,3.50,165812
31-May-17,3.49,3.49,3.43,3.49,92312
30-May-17,3.46,3.50,3.45,3.49,136717
29-May-17,3.47,3.47,3.42,3.45,48972
26-May-17,3.50,3.50,3.41,3.50,91196
25-May-17,3.51,3.52,3.50,3.51,51301
24-May-17,3.52,3.53,3.49,3.50,128976
23-May-17,3.37,3.55,3.37,3.54,680291
22-May-17,3.38,3.42,3.32,3.40,177470
19-May-17,3.25,3.40,3.25,3.38,372200
18-May-17,3.19,3.25,3.19,3.25,168224
17-May-17,3.20,3.21,3.18,3.21,65286
16-May-17,3.06,3.22,3.03,3.19,673405
15-May-17,3.16,3.16,3.10,3.12,87128
12-May-17,3.18,3.18,3.14,3.16,59580
11-May-17,3.20,3.21,3.16,3.18,36913
10-May-17,3.20,3.20,3.12,3.20,404139
9-May-17,3.22,3.22,3.17,3.19,227507
8-May-17,3.21,3.24,3.16,3.20,188416
5-May-17,3.20,3.20,3.18,3.19,215063
4-May-17,3.19,3.26,3.16,3.20,200974
2-May-17,3.25,3.25,3.10,3.19,87085
28-Apr-17,3.23,3.24,3.19,3.21,101590
27-Apr-17,3.19,3.25,3.19,3.23,41186
26-Apr-17,3.21,3.22,3.19,3.22,61663
25-Apr-17,3.26,3.26,3.20,3.20,110700
24-Apr-17,3.26,3.27,3.25,3.26,16046
21-Apr-17,3.29,3.29,3.23,3.27,21560
20-Apr-17,3.26,3.28,3.25,3.28,57393
19-Apr-17,3.26,3.29,3.22,3.28,109017
18-Apr-17,3.28,3.29,3.26,3.29,64318
13-Apr-17,3.30,3.31,3.28,3.28,22031
12-Apr-17,3.29,3.31,3.28,3.31,111395
11-Apr-17,3.35,3.35,3.29,3.30,65172
10-Apr-17,3.37,3.37,3.34,3.35,47965
7-Apr-17,3.35,3.38,3.33,3.35,130550
6-Apr-17,3.36,3.37,3.33,3.34,31601
5-Apr-17,3.35,3.44,3.33,3.36,144458
4-Apr-17,3.28,3.38,3.28,3.31,87125
3-Apr-17,3.32,3.32,3.24,3.28,51767
31-Mar-17,3.35,3.35,3.31,3.32,69630
30-Mar-17,3.34,3.35,3.32,3.32,8284
29-Mar-17,3.32,3.35,3.32,3.34,33081
28-Mar-17,3.34,3.35,3.33,3.34,44956
27-Mar-17,3.36,3.36,3.31,3.33,29691
24-Mar-17,3.38,3.39,3.34,3.38,55307
23-Mar-17,3.35,3.38,3.33,3.38,19799
22-Mar-17,3.37,3.39,3.33,3.35,125936
21-Mar-17,3.49,3.51,3.35,3.38,190257
20-Mar-17,3.49,3.51,3.45,3.48,468402
17-Mar-17,3.43,3.46,3.38,3.44,756324
16-Mar-17,3.37,3.46,3.35,3.40,1143362
15-Mar-17,3.33,3.38,3.30,3.32,129753
14-Mar-17,3.25,3.34,3.25,3.31,149099
13-Mar-17,3.22,3.25,3.21,3.24,28615
