b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.68,1.72,1.37,1.55,1668809
14-Sep-17,1.85,2.00,1.67,1.68,625588
13-Sep-17,2.77,2.77,2.00,2.00,309751
12-Sep-17,2.80,2.87,2.70,2.80,71873
11-Sep-17,-,-,-,5.10,0
8-Sep-17,5.40,5.43,5.05,5.10,28412
7-Sep-17,5.71,5.71,5.39,5.49,8917
6-Sep-17,5.72,5.75,5.69,5.69,695
5-Sep-17,5.83,5.83,5.65,5.75,4606
4-Sep-17,5.85,6.00,5.55,5.75,8857
1-Sep-17,6.00,6.00,5.81,5.85,1296
31-Aug-17,5.82,6.00,5.81,5.90,12776
30-Aug-17,5.97,5.97,5.96,5.96,180
29-Aug-17,5.96,5.99,5.80,5.97,1274
28-Aug-17,5.98,5.98,5.85,5.90,2230
25-Aug-17,5.95,6.00,5.91,5.95,1722
24-Aug-17,6.02,6.02,6.00,6.00,3530
23-Aug-17,6.08,6.08,5.92,5.97,1355
22-Aug-17,6.00,6.04,6.00,6.04,278
21-Aug-17,6.07,6.07,6.07,6.07,3
18-Aug-17,6.05,6.05,5.94,6.04,2678
17-Aug-17,6.05,6.05,5.98,6.05,367
16-Aug-17,6.01,6.10,5.97,6.10,1785
14-Aug-17,6.08,6.11,6.00,6.11,1209
11-Aug-17,6.10,6.10,5.87,5.98,1180
10-Aug-17,6.12,6.12,6.00,6.08,872
9-Aug-17,6.11,6.12,6.00,6.12,1566
8-Aug-17,6.11,6.12,6.10,6.10,4100
7-Aug-17,6.08,6.12,6.05,6.12,3137
4-Aug-17,6.07,6.08,6.05,6.07,2196
3-Aug-17,6.05,6.08,6.05,6.08,1883
2-Aug-17,6.12,6.15,6.03,6.07,3697
1-Aug-17,6.12,6.17,6.05,6.17,2722
31-Jul-17,6.20,6.20,6.10,6.12,856
28-Jul-17,6.28,6.28,6.09,6.13,4717
27-Jul-17,6.28,6.28,6.14,6.14,9651
26-Jul-17,6.30,6.30,6.18,6.25,3312
25-Jul-17,6.32,6.32,6.21,6.22,15297
24-Jul-17,6.31,6.32,6.25,6.28,1444
21-Jul-17,6.35,6.36,6.24,6.30,1881
20-Jul-17,6.31,6.39,6.25,6.36,1900
19-Jul-17,6.45,6.45,6.40,6.45,608
