b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,3.00,3.03,2.97,2.99,12975
14-Sep-17,2.90,3.03,2.90,3.00,50936
13-Sep-17,2.94,2.95,2.93,2.93,11211
12-Sep-17,2.98,2.98,2.90,2.94,13410
11-Sep-17,2.93,3.01,2.91,2.98,46327
8-Sep-17,3.00,3.00,2.94,2.94,6191
7-Sep-17,2.98,2.99,2.95,2.95,2914
6-Sep-17,2.99,3.00,2.95,2.99,3584
5-Sep-17,3.00,3.00,2.92,2.99,6930
4-Sep-17,2.90,2.99,2.90,2.99,71707
1-Sep-17,2.95,2.96,2.90,2.94,48893
31-Aug-17,2.92,2.98,2.92,2.92,8631
30-Aug-17,3.03,3.05,2.92,3.02,10435
29-Aug-17,3.03,3.06,2.99,2.99,5339
28-Aug-17,3.07,3.07,2.96,3.04,20974
25-Aug-17,3.01,3.05,2.99,2.99,14831
24-Aug-17,3.02,3.10,3.00,3.01,12165
23-Aug-17,3.14,3.14,3.01,3.10,1852
22-Aug-17,3.10,3.11,3.00,3.06,8525
21-Aug-17,3.14,3.14,3.05,3.14,1205
18-Aug-17,3.10,3.13,2.92,3.10,22063
17-Aug-17,3.19,3.30,3.08,3.17,21362
16-Aug-17,3.01,3.19,2.90,3.10,43376
14-Aug-17,3.00,3.08,3.00,3.04,13094
11-Aug-17,3.13,3.13,2.97,3.00,29028
10-Aug-17,3.20,3.20,3.03,3.09,33648
9-Aug-17,3.04,3.34,3.00,3.20,38070
8-Aug-17,3.15,3.15,3.00,3.04,17334
7-Aug-17,3.17,3.18,3.15,3.16,7506
4-Aug-17,3.14,3.18,3.05,3.18,9192
3-Aug-17,3.15,3.15,3.04,3.14,15805
2-Aug-17,3.17,3.17,3.06,3.10,31790
1-Aug-17,3.09,3.19,3.09,3.18,21645
31-Jul-17,3.16,3.16,3.00,3.04,8992
28-Jul-17,3.24,3.24,3.15,3.16,9536
27-Jul-17,2.99,3.21,2.97,3.17,34602
26-Jul-17,3.05,3.10,3.05,3.10,2660
25-Jul-17,3.05,3.15,2.96,3.05,20022
24-Jul-17,2.95,3.05,2.83,3.05,55044
21-Jul-17,2.91,2.99,2.87,2.95,41493
20-Jul-17,3.01,3.01,2.90,2.93,15944
19-Jul-17,2.93,3.05,2.93,3.01,9434
18-Jul-17,2.99,3.06,2.99,3.00,12598
17-Jul-17,2.99,3.07,2.92,3.02,11414
14-Jul-17,3.09,3.09,2.90,2.99,25082
13-Jul-17,3.12,3.12,2.82,3.05,44052
12-Jul-17,3.10,3.20,3.06,3.12,11550
11-Jul-17,3.25,3.29,3.10,3.10,7047
10-Jul-17,3.25,3.25,3.11,3.20,921
7-Jul-17,3.21,3.26,3.14,3.16,26095
6-Jul-17,3.27,3.30,3.22,3.23,10335
5-Jul-17,3.22,3.35,3.22,3.26,4234
4-Jul-17,3.37,3.37,3.24,3.26,5707
3-Jul-17,3.37,3.37,3.34,3.34,1568
30-Jun-17,3.40,3.40,3.28,3.38,6977
29-Jun-17,3.41,3.43,3.32,3.40,7584
28-Jun-17,3.27,3.41,3.27,3.40,3456
27-Jun-17,3.34,3.38,3.26,3.38,13178
26-Jun-17,3.41,3.41,3.31,3.33,9716
23-Jun-17,3.43,3.43,3.31,3.35,15195
22-Jun-17,3.39,3.45,3.27,3.35,32997
21-Jun-17,3.11,3.34,3.10,3.30,55466
20-Jun-17,3.05,3.35,3.04,3.10,73954
19-Jun-17,3.19,3.19,2.90,2.90,62117
16-Jun-17,3.20,3.23,3.12,3.18,9416
14-Jun-17,3.21,3.21,3.12,3.18,7212
13-Jun-17,3.21,3.25,3.17,3.17,22516
12-Jun-17,3.26,3.27,3.22,3.22,1390
9-Jun-17,3.21,3.28,3.20,3.28,7679
8-Jun-17,3.18,3.20,3.17,3.19,10093
7-Jun-17,3.14,3.20,3.14,3.19,24450
6-Jun-17,3.12,3.15,3.12,3.14,6671
