b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,5.44,5.65,5.18,5.65,3833
14-Sep-17,5.58,5.58,5.44,5.44,1955
13-Sep-17,5.75,5.77,5.75,5.77,165
12-Sep-17,5.72,5.77,5.72,5.77,7
11-Sep-17,5.79,5.80,5.66,5.66,1115
8-Sep-17,5.46,5.80,5.46,5.80,4045
7-Sep-17,5.33,5.79,5.33,5.79,6826
6-Sep-17,5.30,5.30,5.30,5.30,300
5-Sep-17,5.30,5.32,5.30,5.32,1175
4-Sep-17,5.31,5.32,5.11,5.11,3406
1-Sep-17,-,-,-,5.31,0
31-Aug-17,-,-,-,5.31,0
30-Aug-17,-,-,-,5.31,0
29-Aug-17,5.20,5.31,5.20,5.31,560
28-Aug-17,5.40,5.40,5.10,5.20,7980
25-Aug-17,-,-,-,5.30,0
24-Aug-17,5.20,5.30,5.20,5.30,375
23-Aug-17,5.25,5.25,5.20,5.20,3500
22-Aug-17,5.29,5.30,5.29,5.30,3595
21-Aug-17,5.29,5.29,5.29,5.29,150
18-Aug-17,5.20,5.20,5.20,5.20,152
17-Aug-17,5.20,5.20,5.20,5.20,4000
16-Aug-17,5.21,5.25,5.21,5.25,800
14-Aug-17,5.24,5.25,5.24,5.25,125
11-Aug-17,5.24,5.25,5.24,5.25,100
10-Aug-17,5.20,5.25,5.20,5.25,500
9-Aug-17,5.30,5.30,5.13,5.20,6295
8-Aug-17,5.40,5.47,5.37,5.37,110
7-Aug-17,5.40,5.50,5.34,5.34,2035
4-Aug-17,5.30,5.30,5.30,5.30,30
3-Aug-17,5.21,5.30,5.21,5.30,113
2-Aug-17,5.20,5.20,5.20,5.20,27
1-Aug-17,5.30,5.30,5.20,5.29,1593
31-Jul-17,5.14,5.30,5.14,5.30,511
28-Jul-17,5.20,5.27,5.11,5.12,1085
27-Jul-17,5.41,5.41,5.05,5.08,3147
26-Jul-17,5.50,5.50,5.50,5.50,12
25-Jul-17,5.52,5.52,5.37,5.40,3810
24-Jul-17,5.36,5.36,5.36,5.36,574
21-Jul-17,5.42,5.42,5.42,5.42,20
20-Jul-17,5.40,5.43,5.40,5.40,1044
19-Jul-17,5.45,5.45,5.36,5.36,1763
18-Jul-17,5.45,5.50,5.45,5.45,1010
17-Jul-17,5.50,5.50,5.49,5.50,498
14-Jul-17,5.41,5.45,5.41,5.45,793
13-Jul-17,5.62,5.62,5.47,5.47,3023
12-Jul-17,5.73,5.73,5.62,5.62,6765
11-Jul-17,5.80,5.85,5.79,5.79,345
10-Jul-17,5.60,5.66,5.60,5.60,310
7-Jul-17,5.48,5.48,5.47,5.47,210
6-Jul-17,5.42,5.43,5.42,5.43,120
5-Jul-17,5.46,5.46,5.43,5.43,1820
4-Jul-17,5.43,5.43,5.42,5.43,1345
3-Jul-17,5.42,5.42,5.42,5.42,40
30-Jun-17,5.45,5.45,5.42,5.42,418
29-Jun-17,5.44,5.49,5.44,5.49,200
28-Jun-17,-,-,-,5.39,0
27-Jun-17,5.44,5.52,5.39,5.39,4710
26-Jun-17,5.40,5.42,5.39,5.40,12561
23-Jun-17,5.40,5.40,5.39,5.40,175
22-Jun-17,5.28,5.35,5.28,5.35,1025
21-Jun-17,5.40,5.40,5.28,5.28,105
20-Jun-17,5.33,5.35,5.32,5.35,3030
19-Jun-17,5.40,5.40,5.40,5.40,15
16-Jun-17,5.40,5.40,5.40,5.40,15
14-Jun-17,5.32,5.35,5.32,5.35,45
13-Jun-17,5.36,5.36,5.35,5.35,930
12-Jun-17,5.44,5.44,5.36,5.36,337
9-Jun-17,-,-,-,5.44,0
8-Jun-17,5.55,5.55,5.44,5.44,356
7-Jun-17,5.55,5.55,5.55,5.55,375
6-Jun-17,5.55,5.55,5.55,5.55,46
5-Jun-17,5.51,5.52,5.50,5.51,516
2-Jun-17,5.75,5.75,5.50,5.50,1511
1-Jun-17,5.77,5.77,5.75,5.75,292
31-May-17,5.98,5.98,5.96,5.96,1078
30-May-17,5.69,5.98,5.69,5.98,5439
29-May-17,5.40,5.52,5.40,5.52,2372
26-May-17,5.41,5.41,5.40,5.41,420
25-May-17,-,-,-,5.42,0
24-May-17,5.42,5.42,5.42,5.42,15
23-May-17,5.42,5.42,5.42,5.42,332
22-May-17,5.40,5.42,5.39,5.42,1100
19-May-17,5.40,5.40,5.39,5.40,1572
18-May-17,5.94,5.94,5.38,5.45,3145
17-May-17,5.96,5.96,5.96,5.96,18
16-May-17,6.00,6.00,5.96,5.97,708
15-May-17,5.94,6.00,5.63,6.00,9911
12-May-17,6.65,6.69,6.55,6.67,31526
11-May-17,6.70,6.82,6.61,6.65,9978
10-May-17,6.50,6.65,6.50,6.64,2270
