b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,14.78,15.15,14.78,15.00,33458
14-Sep-17,14.51,14.87,14.50,14.70,14243
13-Sep-17,14.49,15.14,14.40,14.40,101401
12-Sep-17,13.81,14.49,13.81,14.49,85117
11-Sep-17,13.91,14.00,13.43,13.66,113706
8-Sep-17,14.50,14.50,13.91,13.94,77687
7-Sep-17,14.61,14.61,14.50,14.50,49112
6-Sep-17,14.89,14.89,14.65,14.65,26553
5-Sep-17,14.84,14.85,14.71,14.75,35185
4-Sep-17,14.85,14.85,14.70,14.71,30861
1-Sep-17,14.98,15.00,14.78,14.86,22803
31-Aug-17,14.81,14.96,14.75,14.86,51449
30-Aug-17,15.00,15.13,14.90,14.96,9605
29-Aug-17,14.90,15.03,14.90,15.00,7656
28-Aug-17,14.92,14.99,14.80,14.90,19234
25-Aug-17,15.27,15.33,14.90,14.91,79968
24-Aug-17,15.40,15.41,15.24,15.29,11295
23-Aug-17,15.31,15.50,15.31,15.40,14935
22-Aug-17,15.15,15.30,15.00,15.30,9245
21-Aug-17,15.05,15.15,14.85,15.15,9967
18-Aug-17,15.07,15.14,14.90,15.05,7619
17-Aug-17,14.99,15.08,14.86,15.08,7969
16-Aug-17,14.66,14.95,14.51,14.85,15000
14-Aug-17,14.86,15.00,14.77,14.78,5186
11-Aug-17,15.00,15.00,14.91,15.00,2728
10-Aug-17,14.72,15.10,14.60,14.95,12026
9-Aug-17,15.00,15.00,14.49,14.72,32508
8-Aug-17,15.16,15.16,14.30,14.99,118723
7-Aug-17,15.22,15.32,15.16,15.19,13913
4-Aug-17,15.14,15.32,15.11,15.15,29868
3-Aug-17,15.49,15.51,15.08,15.11,22380
2-Aug-17,16.00,16.00,15.30,15.40,77081
1-Aug-17,16.20,16.30,15.79,15.87,38620
31-Jul-17,16.49,16.67,16.05,16.20,65690
28-Jul-17,16.04,16.40,15.78,16.40,34029
27-Jul-17,16.23,16.24,15.87,16.00,68828
26-Jul-17,16.30,16.50,16.18,16.23,103860
25-Jul-17,15.59,16.11,15.57,16.10,195295
24-Jul-17,16.00,16.00,15.40,15.60,74575
21-Jul-17,16.40,16.40,15.85,16.00,49091
20-Jul-17,16.50,16.66,16.19,16.30,42041
19-Jul-17,16.80,16.80,16.50,16.50,14990
18-Jul-17,16.84,16.84,16.70,16.70,7788
17-Jul-17,16.87,16.87,16.78,16.84,9696
14-Jul-17,16.95,16.95,16.86,16.88,36806
13-Jul-17,17.00,17.00,16.85,16.95,15638
12-Jul-17,17.04,17.04,16.78,16.92,12102
11-Jul-17,17.10,17.10,16.96,17.05,9107
10-Jul-17,17.25,17.25,16.97,17.01,8384
7-Jul-17,17.25,17.25,16.98,16.98,11508
6-Jul-17,16.98,17.05,16.93,17.05,61372
5-Jul-17,16.65,17.00,16.60,17.00,22111
4-Jul-17,16.70,16.84,16.60,16.62,10180
3-Jul-17,16.90,16.92,16.66,16.85,7861
30-Jun-17,17.00,17.00,16.80,17.00,52802
29-Jun-17,16.98,17.18,16.85,17.00,18910
28-Jun-17,16.62,16.98,16.61,16.81,16227
27-Jun-17,17.25,17.25,16.70,16.70,37161
26-Jun-17,17.15,17.49,17.10,17.10,22105
23-Jun-17,17.48,17.48,17.17,17.27,19252
22-Jun-17,17.11,17.60,17.11,17.46,8927
21-Jun-17,17.15,17.15,17.10,17.15,6532
20-Jun-17,17.05,17.25,17.05,17.25,5077
19-Jun-17,17.35,17.35,17.03,17.05,11929
16-Jun-17,17.16,17.40,17.05,17.30,12231
14-Jun-17,17.15,17.38,17.13,17.15,7544
13-Jun-17,17.48,17.48,17.00,17.38,18806
12-Jun-17,17.64,17.68,17.42,17.48,20377
9-Jun-17,17.86,17.95,17.66,17.70,7597
8-Jun-17,17.61,17.85,17.61,17.81,24258
7-Jun-17,18.10,18.10,17.60,17.60,20873
6-Jun-17,18.00,18.00,17.71,17.88,7223
5-Jun-17,18.10,18.19,17.61,17.97,52460
2-Jun-17,18.00,18.10,17.90,18.00,3910
1-Jun-17,18.07,18.20,17.60,17.97,17140
31-May-17,18.20,18.21,17.93,18.07,15931
30-May-17,18.49,18.49,17.97,18.10,60169
29-May-17,17.99,18.16,17.56,17.95,119602
26-May-17,18.28,18.28,17.82,17.82,33048
25-May-17,18.75,18.90,18.15,18.25,65038
24-May-17,18.00,18.75,17.85,18.32,365844
23-May-17,17.21,18.02,17.16,17.81,117656
22-May-17,17.12,17.49,17.10,17.20,94195
19-May-17,17.12,17.25,17.06,17.10,18038
18-May-17,17.03,17.45,16.48,17.10,35919
17-May-17,17.79,17.79,17.10,17.10,33640
