b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,44.00,44.70,43.01,44.70,45647
14-Sep-17,45.01,45.01,43.65,44.00,50746
13-Sep-17,45.60,45.60,44.61,45.20,3206
12-Sep-17,46.50,46.50,45.33,45.60,3269
11-Sep-17,46.47,46.70,45.62,46.40,182502
8-Sep-17,46.30,46.50,46.13,46.50,2348
7-Sep-17,46.08,46.30,45.06,46.30,112641
6-Sep-17,46.00,46.48,45.90,46.08,202462
5-Sep-17,45.97,46.25,45.80,46.20,3357
4-Sep-17,46.45,46.45,45.50,45.97,57639
1-Sep-17,46.61,46.62,46.25,46.49,5391
31-Aug-17,48.50,48.50,46.15,47.89,8968
30-Aug-17,48.66,49.00,48.60,48.87,784
29-Aug-17,48.93,49.98,48.80,48.99,1280
28-Aug-17,49.48,49.70,48.66,49.70,2219
25-Aug-17,48.67,49.49,48.66,49.48,69086
24-Aug-17,51.50,51.50,48.74,48.97,3821
23-Aug-17,50.31,50.40,49.35,50.00,7715
22-Aug-17,51.31,51.31,50.25,50.90,563
21-Aug-17,51.53,51.55,51.35,51.49,725
18-Aug-17,51.55,52.49,51.55,52.49,482
17-Aug-17,51.55,53.00,51.55,53.00,371
16-Aug-17,52.85,52.99,51.79,52.99,520
14-Aug-17,52.88,52.88,51.00,52.54,332
11-Aug-17,52.87,52.87,51.31,51.99,3302
10-Aug-17,51.21,52.88,49.55,52.88,4679
9-Aug-17,52.00,52.00,50.85,51.29,27280
8-Aug-17,51.74,52.99,51.74,52.99,210
7-Aug-17,51.00,51.68,51.00,51.68,366
4-Aug-17,51.00,51.30,51.00,51.30,6964
3-Aug-17,51.88,51.90,51.11,51.74,10537
2-Aug-17,52.12,52.49,51.81,52.49,943
1-Aug-17,51.82,52.50,51.82,52.50,1666
31-Jul-17,52.94,52.94,51.75,52.92,3504
28-Jul-17,53.78,53.78,52.15,52.89,4240
27-Jul-17,52.63,53.85,52.12,53.85,2407
26-Jul-17,52.98,52.99,51.87,52.99,1342
25-Jul-17,52.10,52.98,51.71,52.88,26076
24-Jul-17,53.45,53.45,52.01,52.97,1345
21-Jul-17,53.05,53.95,51.65,53.55,10698
20-Jul-17,52.90,53.98,51.60,53.01,32183
19-Jul-17,52.89,53.00,52.01,53.00,3250
18-Jul-17,52.01,52.99,52.01,52.99,9522
17-Jul-17,53.00,53.00,52.03,53.00,3750
14-Jul-17,51.84,53.00,51.84,53.00,9745
13-Jul-17,52.60,52.60,51.61,51.66,752
12-Jul-17,52.79,52.80,51.31,52.80,20420
11-Jul-17,53.00,53.00,52.02,52.95,212
10-Jul-17,51.00,53.00,51.00,52.99,3009
7-Jul-17,52.99,53.00,51.95,51.95,30027
6-Jul-17,52.99,53.00,52.53,53.00,3417
5-Jul-17,52.72,53.00,52.52,52.90,7251
4-Jul-17,52.43,52.91,52.43,52.72,49927
3-Jul-17,53.10,53.10,52.90,52.91,43611
30-Jun-17,53.00,53.00,52.83,53.00,43236
29-Jun-17,53.50,53.50,52.88,53.00,105799
28-Jun-17,52.92,54.00,52.92,54.00,16704
27-Jun-17,53.10,53.95,53.06,53.90,6588
26-Jun-17,53.68,54.00,52.90,54.00,3684
23-Jun-17,52.86,53.84,52.85,53.84,5360
22-Jun-17,53.00,53.84,53.00,53.00,3002
21-Jun-17,53.99,54.00,52.93,53.00,18051
20-Jun-17,53.02,54.40,53.02,54.40,468
19-Jun-17,53.00,54.42,53.00,54.42,405
16-Jun-17,54.30,54.41,52.91,54.41,765
14-Jun-17,53.00,54.30,53.00,54.30,2823
13-Jun-17,52.80,54.00,52.80,53.75,3355
12-Jun-17,54.44,54.44,52.56,54.05,34949
9-Jun-17,53.75,54.59,53.26,54.56,15575
8-Jun-17,54.50,54.50,53.23,53.80,331
7-Jun-17,54.00,55.00,53.51,53.97,5402
6-Jun-17,54.51,54.51,53.55,53.99,1041
5-Jun-17,54.74,54.90,54.03,54.90,4649
2-Jun-17,54.41,54.99,54.05,54.75,7392
1-Jun-17,55.00,55.00,54.70,55.00,545
31-May-17,55.00,55.45,54.40,55.40,6776
30-May-17,55.50,55.50,53.15,55.38,3273
29-May-17,55.50,55.87,55.01,55.01,48709
26-May-17,55.50,55.50,54.80,55.50,3723
25-May-17,55.44,55.87,54.05,55.50,5117
24-May-17,54.89,55.50,54.50,55.40,14881
23-May-17,52.50,55.90,52.50,54.99,31838
22-May-17,52.82,52.95,52.10,52.80,2361
19-May-17,51.80,52.90,51.70,52.83,55483
18-May-17,51.17,51.79,50.60,51.70,9933
17-May-17,49.84,51.16,49.84,51.16,2824
16-May-17,49.30,49.85,48.11,49.50,61942
15-May-17,49.50,49.80,49.38,49.80,40386
12-May-17,50.00,50.00,49.51,49.60,42579
11-May-17,51.77,51.77,49.35,50.00,26647
10-May-17,50.00,51.87,50.00,50.82,13883
9-May-17,51.30,51.40,50.02,50.06,19877
8-May-17,51.75,51.75,51.35,51.47,21087
5-May-17,51.60,52.00,51.30,51.78,11054
4-May-17,52.60,52.61,52.00,52.30,6540
2-May-17,53.22,53.22,52.51,52.66,975
28-Apr-17,53.76,53.76,53.25,53.32,54762
27-Apr-17,53.23,54.00,53.22,53.84,390
26-Apr-17,53.75,55.45,53.22,53.37,15288
25-Apr-17,53.78,53.79,53.36,53.78,46269
24-Apr-17,53.70,53.84,53.50,53.75,119446
21-Apr-17,53.20,53.85,53.20,53.85,2412
20-Apr-17,53.49,53.79,53.49,53.70,129162
19-Apr-17,53.29,53.64,53.11,53.49,832
18-Apr-17,53.78,53.79,53.16,53.31,26955
13-Apr-17,53.37,53.79,52.90,53.79,41404
12-Apr-17,52.80,53.89,51.05,53.53,49840
11-Apr-17,54.51,54.51,52.52,52.98,16629
10-Apr-17,54.97,54.97,54.50,54.85,53781
7-Apr-17,54.22,55.00,54.22,54.97,573
6-Apr-17,54.80,55.00,54.37,54.71,47263
5-Apr-17,55.26,55.38,54.75,54.90,13414
4-Apr-17,55.87,55.87,55.13,55.58,805
3-Apr-17,55.90,55.90,55.00,55.88,4272
31-Mar-17,55.97,55.97,55.32,55.90,60045
30-Mar-17,56.00,56.00,55.40,55.99,5233
29-Mar-17,55.75,55.99,55.40,55.80,2501
28-Mar-17,55.21,55.75,55.20,55.75,3221
27-Mar-17,54.50,56.00,54.50,55.70,4786
24-Mar-17,55.20,56.30,55.20,55.75,1427
23-Mar-17,55.35,55.45,55.00,55.44,12762
22-Mar-17,55.45,55.45,54.15,55.35,2271
21-Mar-17,55.99,56.60,55.24,55.69,5702
20-Mar-17,55.50,55.50,54.90,55.35,1968
17-Mar-17,55.65,55.80,54.80,55.50,5232
16-Mar-17,55.00,55.60,54.81,55.00,27971
15-Mar-17,55.50,55.50,54.50,55.00,36865
14-Mar-17,57.30,57.30,54.15,55.40,56458
13-Mar-17,57.05,57.50,56.90,56.90,5872
10-Mar-17,56.50,57.80,56.50,57.80,10755
9-Mar-17,56.51,57.00,56.50,57.00,1365
8-Mar-17,57.50,57.50,56.50,57.29,4483
7-Mar-17,57.75,58.00,56.75,57.50,1486
6-Mar-17,58.09,58.30,57.45,58.06,20829
3-Mar-17,57.05,58.85,57.05,58.10,17677
2-Mar-17,56.00,57.72,55.65,57.30,24498
1-Mar-17,56.45,56.79,55.71,56.00,11063
28-Feb-17,57.00,57.00,55.91,56.50,5170
27-Feb-17,57.05,57.05,56.52,56.52,199
24-Feb-17,57.00,57.19,57.00,57.00,6635
23-Feb-17,57.58,57.58,57.00,57.00,2230
22-Feb-17,57.40,57.69,57.07,57.08,5393
21-Feb-17,56.50,57.40,56.50,57.25,94506
20-Feb-17,56.04,56.70,56.01,56.40,25228
17-Feb-17,57.00,57.30,55.80,56.04,9160
16-Feb-17,57.35,57.50,57.00,57.00,3622
15-Feb-17,57.45,57.45,57.00,57.35,13314
14-Feb-17,56.00,59.50,55.91,57.45,13544
13-Feb-17,57.45,57.45,55.80,55.99,57525
10-Feb-17,57.40,57.70,57.00,57.30,39431
9-Feb-17,57.03,57.40,57.00,57.30,16548
8-Feb-17,57.20,57.20,57.03,57.03,29449
7-Feb-17,57.51,57.51,57.10,57.20,2575
6-Feb-17,57.97,57.97,57.11,57.21,5265
3-Feb-17,57.00,57.90,57.00,57.50,9430
2-Feb-17,57.13,57.25,56.90,57.20,2054
1-Feb-17,57.65,57.65,57.06,57.29,3947
31-Jan-17,57.91,58.00,57.62,57.65,4724
30-Jan-17,58.00,58.27,57.61,57.90,41803
27-Jan-17,56.70,58.50,56.70,58.00,14350
26-Jan-17,58.50,58.50,56.60,56.60,24930
25-Jan-17,59.30,59.75,58.80,58.99,48476
24-Jan-17,59.95,59.95,57.61,59.20,41222
23-Jan-17,59.35,61.50,57.35,59.50,107366
20-Jan-17,55.95,59.40,55.60,59.40,51690
19-Jan-17,54.31,55.95,52.90,55.95,26983
18-Jan-17,56.00,56.00,54.71,54.72,15901
17-Jan-17,55.44,57.00,55.10,56.00,51360
16-Jan-17,54.50,55.00,54.50,55.00,3229
13-Jan-17,54.78,54.99,53.64,54.00,28076
12-Jan-17,55.20,55.20,54.45,54.45,1786
11-Jan-17,55.10,55.40,54.50,55.19,64370
10-Jan-17,54.95,55.48,54.45,55.00,37394
9-Jan-17,54.00,55.40,54.00,54.99,4613
5-Jan-17,54.00,54.01,53.70,54.00,3205
4-Jan-17,54.00,54.00,53.30,53.40,5547
3-Jan-17,54.00,54.00,53.85,53.99,15286
2-Jan-17,53.95,54.02,53.78,53.90,1455
30-Dec-16,53.70,53.70,53.31,53.60,5831
29-Dec-16,54.20,54.20,53.60,54.00,1150
28-Dec-16,53.51,54.00,53.02,53.93,9375
27-Dec-16,53.80,54.40,53.50,54.40,4032
23-Dec-16,54.70,54.81,52.20,54.70,13781
22-Dec-16,52.45,54.98,52.45,54.80,21470
21-Dec-16,52.20,52.50,52.20,52.45,2765
20-Dec-16,52.30,52.30,48.00,52.20,25327
19-Dec-16,52.50,52.50,51.50,52.20,21078
16-Dec-16,52.60,52.60,51.70,52.50,22833
15-Dec-16,52.77,52.77,52.21,52.60,2984
14-Dec-16,52.10,52.78,52.00,52.10,11447
13-Dec-16,52.79,52.79,52.02,52.10,3263
12-Dec-16,52.45,52.79,52.10,52.50,7530
9-Dec-16,52.79,52.79,52.02,52.21,21546
8-Dec-16,52.79,52.79,52.40,52.60,3646
7-Dec-16,52.80,52.85,52.13,52.50,19708
6-Dec-16,51.28,52.19,51.25,52.08,33969
5-Dec-16,51.33,51.45,51.01,51.26,65396
2-Dec-16,51.10,51.34,50.56,51.02,92806
1-Dec-16,52.97,52.97,50.50,50.50,246944
30-Nov-16,53.70,53.90,53.25,53.50,1828
29-Nov-16,53.35,54.55,53.00,53.07,2069
28-Nov-16,55.00,55.00,53.01,54.50,3033
25-Nov-16,55.30,55.30,54.60,54.70,3636
24-Nov-16,54.90,55.99,54.70,55.05,5878
23-Nov-16,55.47,55.47,54.50,54.70,258
22-Nov-16,53.50,55.00,53.50,54.10,27710
21-Nov-16,54.00,54.50,52.70,54.00,3766
18-Nov-16,54.00,54.00,52.60,54.00,6945
17-Nov-16,54.20,54.20,54.00,54.00,64304
16-Nov-16,54.40,54.40,54.00,54.00,21535
15-Nov-16,54.70,54.70,54.40,54.40,25495
14-Nov-16,54.85,55.00,54.14,54.70,20269
10-Nov-16,54.99,54.99,53.61,54.80,1936
9-Nov-16,53.00,54.00,53.00,54.00,3509
8-Nov-16,54.87,54.98,54.00,54.98,192
7-Nov-16,54.00,54.00,53.91,54.00,9613
4-Nov-16,53.00,54.00,52.56,53.90,3642
3-Nov-16,54.88,54.88,52.66,53.00,12750
2-Nov-16,55.09,55.16,54.15,54.98,21293
31-Oct-16,56.00,56.30,55.21,55.30,771
28-Oct-16,56.00,56.00,55.60,56.00,200
27-Oct-16,56.05,56.20,55.50,55.70,14856
26-Oct-16,56.31,56.50,55.80,56.10,1718
25-Oct-16,55.66,56.10,55.66,56.05,21909
24-Oct-16,55.60,55.95,53.55,55.71,4773
21-Oct-16,55.55,55.60,55.10,55.50,3034
20-Oct-16,56.80,56.80,55.30,55.60,4995
19-Oct-16,56.00,56.80,55.80,56.40,4909
18-Oct-16,55.90,57.00,55.80,56.00,4316
17-Oct-16,55.15,55.90,55.15,55.70,1399
14-Oct-16,54.50,56.00,54.50,55.50,3142
13-Oct-16,53.10,53.80,53.10,53.51,7430
12-Oct-16,53.30,53.30,51.11,52.44,11124
11-Oct-16,54.90,54.90,53.20,53.30,5086
10-Oct-16,55.00,55.95,54.90,54.90,2939
7-Oct-16,58.40,58.40,54.89,54.89,7749
6-Oct-16,58.48,58.96,57.56,57.80,3951
5-Oct-16,57.25,58.00,57.25,57.56,13468
4-Oct-16,56.10,58.33,56.10,57.10,10027
3-Oct-16,55.89,56.48,55.89,56.20,8059
30-Sep-16,54.30,56.30,54.30,55.89,702
29-Sep-16,54.80,54.88,54.20,54.51,853
28-Sep-16,54.94,54.94,53.41,54.00,319
27-Sep-16,54.10,54.48,53.81,54.05,10430
