b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,7.67,7.67,6.91,6.96,9551
14-Sep-17,7.80,7.80,7.66,7.70,586
13-Sep-17,7.81,7.81,7.65,7.80,773
12-Sep-17,7.76,7.84,7.70,7.81,1040
11-Sep-17,7.84,7.84,7.83,7.84,160
8-Sep-17,7.90,7.90,7.90,7.90,20
7-Sep-17,7.90,7.90,7.88,7.88,550
6-Sep-17,7.92,7.92,7.70,7.88,18489
5-Sep-17,7.96,7.96,7.85,7.93,762
4-Sep-17,7.98,7.98,7.60,7.94,74427
1-Sep-17,8.00,8.00,7.97,7.97,329
31-Aug-17,8.02,8.02,8.00,8.00,1650
30-Aug-17,7.90,8.02,7.84,8.02,4549
29-Aug-17,7.93,7.93,7.93,7.93,20
28-Aug-17,7.96,7.96,7.87,7.93,280
25-Aug-17,7.97,7.97,7.97,7.97,20
24-Aug-17,7.90,7.97,7.90,7.97,660
23-Aug-17,7.82,7.93,7.82,7.93,1862
22-Aug-17,7.80,7.81,7.80,7.81,2715
21-Aug-17,7.80,7.80,7.80,7.80,1668
18-Aug-17,7.80,7.82,7.80,7.82,1325
17-Aug-17,7.85,7.85,7.80,7.80,2780
16-Aug-17,7.92,7.92,7.90,7.90,200
14-Aug-17,7.90,7.90,7.90,7.90,100
11-Aug-17,7.99,7.99,7.95,7.95,1170
10-Aug-17,7.94,7.94,7.80,7.85,445
9-Aug-17,7.94,7.94,7.80,7.80,12532
8-Aug-17,7.94,7.95,7.94,7.95,129
7-Aug-17,7.90,7.95,7.90,7.91,291
4-Aug-17,7.97,7.97,7.93,7.95,601
3-Aug-17,7.99,8.00,7.89,7.89,3299
2-Aug-17,7.90,8.32,7.90,8.32,4378
1-Aug-17,7.99,7.99,7.90,7.90,746
31-Jul-17,8.10,8.10,8.00,8.00,413
28-Jul-17,8.05,8.19,8.05,8.15,160
27-Jul-17,8.28,8.28,7.78,8.05,7745
26-Jul-17,8.35,8.35,8.10,8.29,32668
25-Jul-17,8.25,8.35,7.91,8.35,20610
24-Jul-17,8.00,8.20,7.89,8.20,24714
21-Jul-17,8.42,8.42,7.99,8.20,5582
20-Jul-17,8.44,8.44,8.39,8.39,1250
19-Jul-17,8.25,8.40,8.22,8.40,2248
18-Jul-17,8.42,8.42,8.33,8.33,472
17-Jul-17,8.47,8.47,8.45,8.45,175
14-Jul-17,8.47,8.52,8.46,8.46,161324
13-Jul-17,8.57,8.57,8.50,8.50,425
12-Jul-17,8.50,8.55,8.50,8.55,150
11-Jul-17,-,-,-,8.35,0
10-Jul-17,8.35,8.35,8.35,8.35,300
7-Jul-17,8.35,8.35,8.35,8.35,325
6-Jul-17,-,-,-,8.40,0
5-Jul-17,8.46,8.46,8.20,8.40,5883
4-Jul-17,8.45,8.45,8.45,8.45,200
3-Jul-17,8.47,8.50,8.30,8.50,1520
30-Jun-17,8.50,8.50,8.50,8.50,66
29-Jun-17,8.51,8.52,8.51,8.51,560
28-Jun-17,8.52,8.52,8.52,8.52,190
27-Jun-17,8.60,8.60,8.39,8.55,2011
26-Jun-17,8.70,8.70,8.46,8.60,1385
23-Jun-17,8.36,8.50,8.36,8.50,1051455
22-Jun-17,8.37,8.37,8.37,8.37,2050
21-Jun-17,8.38,8.38,8.38,8.38,800
20-Jun-17,8.28,8.28,8.17,8.20,9673
19-Jun-17,8.40,8.40,8.20,8.20,1790
16-Jun-17,8.67,8.67,8.50,8.59,425
14-Jun-17,8.72,8.72,8.60,8.60,400
13-Jun-17,8.79,8.79,8.65,8.73,220
12-Jun-17,8.84,8.84,8.70,8.70,54682
9-Jun-17,8.75,8.89,8.33,8.74,3161
8-Jun-17,8.90,9.00,8.82,8.82,140450
7-Jun-17,8.68,8.90,8.20,8.90,29634
6-Jun-17,8.81,8.90,8.69,8.69,8035
5-Jun-17,8.90,8.99,8.89,8.99,750
2-Jun-17,8.95,8.95,8.80,8.90,12659
1-Jun-17,8.91,8.91,8.90,8.90,635626
31-May-17,9.01,9.01,8.90,8.90,1206
30-May-17,9.02,9.02,9.01,9.01,1700
29-May-17,9.20,9.20,9.10,9.10,2960
26-May-17,9.12,9.25,9.02,9.16,1165
25-May-17,9.15,9.21,9.11,9.19,7340
24-May-17,9.02,9.10,8.85,9.10,5860
23-May-17,9.15,9.20,8.90,9.02,5606
22-May-17,9.10,9.10,8.80,9.02,335068
19-May-17,8.48,8.51,8.48,8.48,2415
18-May-17,8.31,8.50,7.75,8.20,6730
17-May-17,8.00,8.19,7.75,7.75,2823
16-May-17,8.87,8.87,8.00,8.00,35701
15-May-17,9.04,9.04,8.94,8.94,70
12-May-17,9.30,9.30,9.00,9.04,1833
11-May-17,9.20,9.29,9.10,9.10,1538
10-May-17,9.28,9.28,9.28,9.28,60
9-May-17,9.30,9.30,9.00,9.22,537
8-May-17,9.30,9.30,9.30,9.30,4600
5-May-17,9.45,9.45,9.30,9.30,1160
4-May-17,9.50,9.50,9.25,9.40,44875
2-May-17,9.55,9.55,9.55,9.55,145
28-Apr-17,9.13,9.75,9.13,9.66,12521
27-Apr-17,9.06,9.40,8.21,9.40,17785
26-Apr-17,10.17,10.30,9.06,9.06,32999
25-Apr-17,9.88,9.88,9.88,9.88,14
24-Apr-17,10.00,10.00,10.00,10.00,25
21-Apr-17,10.00,10.00,9.94,9.99,375
20-Apr-17,9.76,10.00,9.76,10.00,7841
19-Apr-17,10.44,10.44,10.20,10.20,860
18-Apr-17,10.60,10.60,10.31,10.31,2504
13-Apr-17,10.62,10.62,10.60,10.60,185
12-Apr-17,10.45,11.00,10.45,10.60,18748
11-Apr-17,9.94,10.36,9.94,10.36,256425
10-Apr-17,9.70,10.20,9.70,9.91,8709
7-Apr-17,9.51,9.61,9.51,9.61,740
6-Apr-17,9.52,9.52,9.45,9.51,3097
5-Apr-17,9.50,9.50,9.50,9.50,1000
4-Apr-17,9.47,9.50,9.46,9.50,1460
3-Apr-17,9.55,9.55,9.46,9.47,1424
31-Mar-17,9.55,9.55,9.49,9.49,430
30-Mar-17,9.55,9.55,9.54,9.54,70
29-Mar-17,9.50,9.50,9.50,9.50,11830
28-Mar-17,9.50,9.51,9.50,9.50,1837
27-Mar-17,9.51,9.51,9.40,9.50,2362
24-Mar-17,9.40,9.50,9.40,9.50,4159
23-Mar-17,-,-,-,9.40,0
22-Mar-17,9.45,9.45,9.40,9.40,131
21-Mar-17,9.50,9.50,9.50,9.50,1418
20-Mar-17,9.50,9.50,9.50,9.50,609
