b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1002.00,1009.95,996.00,996.00,214
14-Sep-17,1001.00,1005.00,1001.00,1002.00,48
13-Sep-17,1017.00,1017.00,1002.00,1002.00,99
12-Sep-17,1010.05,1013.50,997.50,1013.50,68
11-Sep-17,1005.80,1020.00,1005.80,1007.00,454
8-Sep-17,990.00,1015.00,990.00,1009.00,1685
7-Sep-17,989.95,1010.05,985.00,990.00,197
6-Sep-17,1000.00,1000.00,988.00,989.00,190
5-Sep-17,989.75,994.00,985.00,990.00,284
4-Sep-17,982.00,995.00,982.00,989.75,7258
1-Sep-17,990.00,1000.00,984.00,985.00,165
31-Aug-17,985.00,990.00,985.00,985.00,157
30-Aug-17,989.00,998.50,979.00,984.00,334
29-Aug-17,999.00,999.00,975.00,990.00,2073
28-Aug-17,990.00,995.00,987.00,994.90,139
25-Aug-17,987.95,990.00,987.50,987.50,182
24-Aug-17,994.00,1000.00,988.00,990.00,589
23-Aug-17,1034.00,1034.00,981.00,1000.00,1355
22-Aug-17,1080.00,1080.00,1028.70,1030.00,418
21-Aug-17,1100.00,1100.00,1095.00,1095.00,17
18-Aug-17,1098.95,1100.00,1098.00,1098.00,53
17-Aug-17,1095.00,1100.00,1090.00,1090.00,55
16-Aug-17,1106.00,1106.00,1100.00,1100.00,59
14-Aug-17,1114.15,1115.15,1105.00,1105.00,210
11-Aug-17,1136.95,1137.00,1114.00,1130.00,165
10-Aug-17,1115.05,1137.00,1115.00,1137.00,253
9-Aug-17,1121.90,1121.90,1111.00,1118.95,43
8-Aug-17,1123.00,1130.00,1110.00,1121.90,276
7-Aug-17,1130.00,1130.00,1122.10,1123.00,24
4-Aug-17,1129.00,1139.95,1120.10,1137.00,2055
3-Aug-17,1146.00,1180.00,1125.00,1125.00,1383
2-Aug-17,1150.00,1150.00,1143.00,1146.00,105
1-Aug-17,1119.00,1138.90,1119.00,1133.90,157
31-Jul-17,1154.50,1154.50,1120.00,1124.45,1978
28-Jul-17,1145.00,1175.00,1137.00,1143.00,458
27-Jul-17,1152.00,1170.00,1146.00,1153.00,409
26-Jul-17,1141.00,1190.00,1141.00,1151.95,393
25-Jul-17,1133.00,1194.00,1128.00,1194.00,514
24-Jul-17,1143.00,1144.00,1120.00,1143.90,78
21-Jul-17,1150.60,1159.00,1130.00,1140.00,454
20-Jul-17,1190.00,1190.00,1163.50,1172.95,203
19-Jul-17,1160.00,1194.90,1140.55,1194.90,165
18-Jul-17,1151.05,1169.95,1151.05,1169.95,22
17-Jul-17,1152.10,1170.00,1152.10,1170.00,28
14-Jul-17,1160.00,1165.00,1140.20,1165.00,213
13-Jul-17,1160.00,1160.00,1160.00,1160.00,21
12-Jul-17,1150.00,1170.00,1150.00,1165.00,138
11-Jul-17,1160.00,1160.00,1150.00,1150.00,54
10-Jul-17,1168.00,1168.00,1160.00,1160.00,28
7-Jul-17,1180.00,1190.00,1165.00,1168.00,180
6-Jul-17,1155.00,1190.00,1155.00,1188.00,914
5-Jul-17,1150.00,1175.00,1150.00,1175.00,58
4-Jul-17,1167.00,1175.00,1148.00,1150.00,138
3-Jul-17,1180.00,1194.95,1175.00,1178.00,113
