b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,5.48,5.50,5.36,5.36,16451
14-Sep-17,5.49,5.49,5.45,5.45,689
13-Sep-17,5.49,5.49,5.49,5.49,505
12-Sep-17,5.30,5.50,5.30,5.50,1810
11-Sep-17,5.50,5.58,5.49,5.49,981
8-Sep-17,5.56,5.56,5.43,5.49,12765
7-Sep-17,5.56,5.64,5.55,5.64,4868
6-Sep-17,5.56,5.68,5.56,5.68,1742
5-Sep-17,5.69,5.69,5.56,5.60,816
4-Sep-17,5.65,5.65,5.56,5.60,1438
1-Sep-17,5.74,5.74,5.57,5.65,1145
31-Aug-17,5.59,5.66,5.55,5.62,35603
30-Aug-17,5.70,5.75,5.59,5.67,45316
29-Aug-17,5.70,5.72,5.52,5.64,142591
28-Aug-17,5.80,5.80,5.64,5.70,99089
25-Aug-17,5.77,5.82,5.59,5.81,118992
24-Aug-17,5.59,5.78,5.53,5.59,73322
23-Aug-17,5.50,5.55,5.46,5.54,42269
22-Aug-17,5.50,5.63,5.45,5.55,75005
21-Aug-17,5.43,5.63,5.43,5.59,4800
18-Aug-17,5.61,5.61,5.61,5.61,960
17-Aug-17,5.49,5.68,5.43,5.61,9341
16-Aug-17,5.48,5.49,5.32,5.49,5787
14-Aug-17,5.40,5.60,5.26,5.45,49296
11-Aug-17,5.44,5.60,5.30,5.40,38285
10-Aug-17,5.31,5.46,5.30,5.44,2280
9-Aug-17,5.47,5.47,5.35,5.47,2797
8-Aug-17,5.40,5.49,5.40,5.48,8607
7-Aug-17,5.27,5.48,5.26,5.38,5096
4-Aug-17,5.40,5.40,5.28,5.35,53041
3-Aug-17,5.40,5.40,5.40,5.40,22009
2-Aug-17,5.46,5.50,5.40,5.41,4808
1-Aug-17,5.59,5.59,5.40,5.45,14224
31-Jul-17,5.70,6.00,5.40,5.40,119464
28-Jul-17,5.50,5.55,5.32,5.50,119481
27-Jul-17,5.95,5.95,5.40,5.50,179655
26-Jul-17,5.38,5.50,5.12,5.45,14142
25-Jul-17,5.45,5.49,5.18,5.18,20976
24-Jul-17,5.79,5.79,5.00,5.45,33299
