b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,13.02,13.10,13.02,13.06,10155
14-Sep-17,12.89,13.04,12.85,13.03,7126
13-Sep-17,13.15,13.15,12.81,12.89,11015
12-Sep-17,13.35,13.36,13.03,13.15,17524
11-Sep-17,13.56,13.56,13.30,13.30,8685
8-Sep-17,13.80,13.86,13.51,13.67,13193
7-Sep-17,14.41,14.45,13.71,13.80,15649
6-Sep-17,14.80,14.80,13.50,14.41,16225
5-Sep-17,14.68,14.85,14.63,14.85,6554
4-Sep-17,14.80,14.80,14.60,14.70,12981
1-Sep-17,15.01,15.05,14.63,14.95,21940
31-Aug-17,15.20,15.29,15.10,15.10,1275
30-Aug-17,15.15,15.30,15.12,15.12,4105
29-Aug-17,15.10,15.25,15.00,15.20,10586
28-Aug-17,15.21,15.45,15.10,15.10,12684
25-Aug-17,15.42,15.60,15.07,15.39,14434
24-Aug-17,14.95,15.64,14.82,15.41,20369
23-Aug-17,14.66,14.96,14.58,14.96,13123
22-Aug-17,14.77,14.77,14.57,14.69,32499
21-Aug-17,14.77,14.90,14.71,14.77,6873
18-Aug-17,14.79,14.90,14.12,14.89,35005
17-Aug-17,15.12,15.49,14.90,14.90,26968
16-Aug-17,15.70,15.70,15.16,15.17,21907
14-Aug-17,15.68,15.75,15.60,15.68,8908
11-Aug-17,15.91,15.94,15.65,15.74,9017
10-Aug-17,15.97,16.34,15.78,16.07,18619
9-Aug-17,16.39,16.39,15.60,15.97,37294
8-Aug-17,16.50,16.64,15.90,16.38,18569
7-Aug-17,16.10,16.60,16.10,16.57,13063
4-Aug-17,16.79,16.79,16.40,16.50,10578
3-Aug-17,16.79,16.79,16.61,16.66,20620
2-Aug-17,17.68,18.00,17.58,17.93,72471
1-Aug-17,17.82,18.22,17.41,17.50,104803
31-Jul-17,18.02,18.89,17.99,18.89,50140
28-Jul-17,18.12,18.15,17.92,18.02,25277
27-Jul-17,18.09,18.19,17.98,18.10,13888
26-Jul-17,17.93,18.36,17.91,18.00,55846
25-Jul-17,17.79,18.12,17.79,17.93,33411
24-Jul-17,17.40,18.00,17.40,17.80,53518
21-Jul-17,17.45,17.45,17.26,17.40,12441
20-Jul-17,17.43,17.48,17.17,17.30,20856
19-Jul-17,16.95,17.47,16.92,17.00,17913
18-Jul-17,16.89,17.01,16.80,16.92,27225
17-Jul-17,16.75,16.89,16.65,16.76,5629
14-Jul-17,16.70,16.75,16.60,16.66,13352
13-Jul-17,16.10,16.50,16.10,16.48,7243
12-Jul-17,16.05,16.20,16.02,16.08,3331
11-Jul-17,16.29,16.29,15.99,16.04,2543
10-Jul-17,16.00,16.30,15.90,16.01,1109
7-Jul-17,15.97,16.00,15.90,15.90,4184
6-Jul-17,16.20,16.29,15.95,15.95,7506
5-Jul-17,16.25,16.35,16.07,16.30,6323
4-Jul-17,16.19,16.39,16.08,16.08,7119
3-Jul-17,15.91,16.39,15.91,16.25,2811
30-Jun-17,15.86,16.04,15.85,15.90,4363
29-Jun-17,16.08,16.08,15.85,15.86,4140
28-Jun-17,15.99,16.08,15.81,15.81,17450
27-Jun-17,16.08,16.08,15.73,16.00,22557
26-Jun-17,16.20,16.40,15.93,15.95,14639
23-Jun-17,16.35,16.35,16.20,16.20,6648
22-Jun-17,16.43,16.49,16.33,16.49,4336
21-Jun-17,16.73,16.73,16.40,16.50,1760
20-Jun-17,16.56,16.69,16.30,16.49,7621
19-Jun-17,16.50,16.73,16.50,16.73,2843
16-Jun-17,16.95,16.95,16.50,16.50,9401
14-Jun-17,16.97,16.97,16.51,16.70,1846
13-Jun-17,16.72,16.87,16.55,16.69,3559
12-Jun-17,16.75,17.00,16.60,16.72,34628
9-Jun-17,16.98,17.00,16.63,16.75,13210
8-Jun-17,16.72,16.87,16.72,16.77,27992
7-Jun-17,17.00,17.10,16.81,17.00,37420
6-Jun-17,16.11,17.00,16.11,17.00,31420
5-Jun-17,16.44,16.44,16.38,16.44,3225
2-Jun-17,16.31,16.57,16.31,16.43,10015
1-Jun-17,16.33,16.46,16.33,16.40,2101
31-May-17,16.30,16.58,16.20,16.31,2160
30-May-17,16.29,16.53,16.25,16.42,21296
29-May-17,16.39,16.75,16.39,16.69,2753
26-May-17,16.23,16.45,16.23,16.39,4906
25-May-17,16.21,16.35,16.00,16.35,9400
24-May-17,16.35,16.35,16.20,16.21,6760
23-May-17,16.41,16.70,16.31,16.35,17713
22-May-17,16.12,16.70,16.12,16.55,30995
19-May-17,16.00,16.50,16.00,16.06,8619
18-May-17,16.00,16.16,15.99,16.00,20352
17-May-17,15.66,16.19,15.66,16.00,17845
16-May-17,16.48,16.48,15.56,16.00,60552
15-May-17,17.30,17.41,17.00,17.13,6505
12-May-17,17.15,17.47,17.00,17.35,8835
11-May-17,17.12,17.48,17.12,17.48,5122
10-May-17,17.38,17.48,17.25,17.47,5102
9-May-17,17.40,17.40,17.11,17.30,5538
8-May-17,17.35,17.45,16.73,17.41,10952
5-May-17,17.81,17.81,17.11,17.35,4491
4-May-17,17.76,18.00,17.70,17.70,52755
2-May-17,17.63,17.84,17.40,17.76,16848
28-Apr-17,17.10,17.63,16.91,17.40,9934
